,ID,INDEX
0,11301,0
1,11302,1
2,11303,2
3,11304,3
4,11401,4
5,11402,5
6,11403,6
7,11404,7
8,12101,8
9,12102,9
10,12103,10
11,12104,11
12,12105,12
13,12106,13
14,12107,14
15,12108,15
16,12109,16
17,12110,17
18,12111,18
19,12112,19
20,12201,20
21,12202,21
22,12203,22
23,12204,23
24,12205,24
25,12206,25
26,12207,26
27,12208,27
28,12209,28
29,12210,29
30,12211,30
31,12212,31
32,13301,32
33,13302,33
34,13303,34
35,13304,35
36,13305,36
37,13401,37
38,13402,38
39,13403,39
40,13404,40
41,13405,41
42,14101,42
43,14102,43
44,14103,44
45,14104,45
46,14105,46
47,14106,47
48,14107,48
49,14108,49
50,14201,50
51,14202,51
52,14203,52
53,14204,53
54,14205,54
55,14206,55
56,14207,56
57,14208,57
58,15101,58
59,15102,59
60,15103,60
61,15104,61
62,15105,62
63,15106,63
64,15107,64
65,15108,65
66,15109,66
67,15110,67
68,15111,68
69,15112,69
70,15113,70
71,15114,71
72,15115,72
73,15116,73
74,15201,74
75,15202,75
76,15203,76
77,15204,77
78,15205,78
79,15206,79
80,15207,80
81,15208,81
82,15209,82
83,15210,83
84,15211,84
85,15212,85
86,15213,86
87,15214,87
88,15215,88
89,15216,89
90,17101,90
91,17102,91
92,17103,92
93,17104,93
94,17105,94
95,17201,95
96,17202,96
97,17203,97
98,17204,98
99,17205,99
100,18301,100
101,18401,101
102,19301,102
103,19401,103
104,20101,104
105,20102,105
106,20103,106
107,20104,107
108,20201,108
109,20202,109
110,20203,110
111,20204,111
112,21301,112
113,21302,113
114,21303,114
115,21401,115
116,21402,116
117,21403,117
118,22301,118
119,22302,119
120,22303,120
121,22401,121
122,22402,122
123,22403,123
124,23301,124
125,23302,125
126,23401,126
127,23402,127
128,24301,128
129,24302,129
130,24303,130
131,24304,131
132,24305,132
133,24306,133
134,24401,134
135,24402,135
136,24403,136
137,24404,137
138,24405,138
139,24406,139
140,25301,140
141,25302,141
142,25303,142
143,25304,143
144,25305,144
145,25306,145
146,25401,146
147,25402,147
148,25403,148
149,25404,149
150,25405,150
151,25406,151
152,26101,152
153,26102,153
154,26103,154
155,26104,155
156,26105,156
157,26106,157
158,26107,158
159,26108,159
160,26201,160
161,26202,161
162,26203,162
163,26204,163
164,26205,164
165,26206,165
166,26207,166
167,26208,167
168,27101,168
169,27102,169
170,27103,170
171,27104,171
172,27105,172
173,27106,173
174,27201,174
175,27202,175
176,27203,176
177,27204,177
178,27205,178
179,27206,179
180,28301,180
181,28302,181
182,28303,182
183,28304,183
184,28305,184
185,28306,185
186,28401,186
187,28402,187
188,28403,188
189,28404,189
190,28405,190
191,28406,191
192,29301,192
193,29302,193
194,29401,194
195,29402,195
196,30301,196
197,30401,197
198,31301,198
199,31401,199
200,32301,200
201,32302,201
202,32401,202
203,32402,203
204,33301,204
205,33302,205
206,33401,206
207,33402,207
208,34301,208
209,34401,209
210,36301,210
211,36302,211
212,36303,212
213,36304,213
214,36305,214
215,36306,215
216,36307,216
217,36401,217
218,36402,218
219,36403,219
