,F
799,1
800,1
801,1
802,1
803,1
804,1
805,2
806,2
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,2
817,1
818,1
819,3
820,2
821,2
822,1
823,1
824,1
825,1
826,6
827,1
828,1
829,1
830,1
831,3
832,1
833,1
834,1
835,1
836,1
837,1
838,4
839,1
840,2
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,4
851,2
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,2
862,3
863,1
864,1
865,1
866,1
867,1
868,1
869,2
870,2
871,1
872,1
873,1
874,1
875,1
876,1
877,2
878,1
879,4
880,2
881,1
882,3
883,1
884,1
885,2
886,1
887,2
888,1
889,1
890,1
891,1
892,1
893,1
894,2
895,1
896,2
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,2
906,1
907,2
908,1
909,1
910,1
911,4
912,1
913,1
914,1
915,1
916,1
917,2
918,2
919,1
920,1
921,2
922,1
923,1
924,1
925,2
926,1
927,1
928,5
929,4
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,2
942,1
943,7
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,3
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,2
963,2
964,8
965,1
966,3
967,1
968,1
969,2
970,1
971,1
972,1
973,2
974,4
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,2
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,4
992,2
993,1
994,1
995,1
996,6
997,1
998,1
999,1
1000,1
1001,1
1002,2
1003,1
1004,1
1005,1
1006,2
1007,1
1008,2
1009,1
1010,1
1011,1
1012,4
1013,3
1014,1
1015,1
1016,2
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,4
1025,1
1026,4
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,3
1035,1
1036,2
1037,1
1038,2
1039,1
1040,1
1041,1
1042,2
1043,1
1044,1
1045,1
1046,1
1047,1
1048,2
1049,4
1050,2
1051,4
1052,1
1053,1
1054,4
1055,1
1056,1
1057,1
1058,1
1059,2
1060,2
1061,1
1062,5
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1069,1
1070,2
1071,2
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1080,2
1081,2
1082,1
1083,1
1084,1
1085,1
1086,1
1087,2
1088,1
1089,2
1090,2
1091,1
1092,2
1093,3
1094,2
1095,3
1096,1
1097,1
1098,3
1099,2
1100,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,1
1111,2
1112,1
1113,1
1114,1
1115,1
1116,1
1117,4
1118,1
1119,1
1120,1
1121,1
1122,1
1123,1
1124,3
1125,1
1126,1
1127,1
1128,2
1129,1
1130,2
1131,4
1132,1
1133,3
1134,1
1135,1
1136,2
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,4
1145,1
1146,3
1147,2
1148,7
1149,1
1150,7
1151,1
1152,1
1153,1
1154,1
1155,4
1156,2
1157,1
1158,2
1159,1
1160,1
1161,1
1162,5
1163,1
1164,1
1165,1
1166,2
1167,1
1168,2
1169,1
1170,1
1171,1
1172,1
1173,1
1174,2
1175,4
1176,1
1177,1
1178,1
1179,1
1180,1
1181,1
1182,2
1183,1
1184,3
1185,3
1186,1
1187,1
1188,1
1189,1
1190,6
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,2
1203,1
1204,2
1205,3
1206,1
1207,2
1208,1
1209,2
1210,1
1211,2
1212,1
1213,1
1214,1
1215,1
1216,2
1217,2
1218,1
1219,1
1220,2
1221,4
1222,3
1223,1
1224,1
1225,1
1226,1
1227,1
1228,1
1229,1
1230,2
1231,5
1232,2
1233,1
1234,1
1235,1
1236,2
1237,1
1238,1
1239,4
1240,1
1241,2
1242,1
1243,2
1244,1
1245,1
1246,1
1247,1
1248,1
1249,1
1250,1
1251,1
1252,1
1253,3
1254,1
1255,1
1256,5
1257,2
1258,2
1259,1
1260,1
1261,1
1262,1
1263,1
1264,1
1265,3
1266,2
1267,1
1268,1
1269,1
1270,1
1271,1
1272,2
1273,1
1274,2
1275,1
1276,1
1277,2
1278,3
1279,3
1280,4
1281,2
1282,1
1283,2
1284,1
1285,1
1286,1
1287,3
1288,1
1289,1
1290,6
1291,1
1292,2
1293,1
1294,1
1295,1
1296,1
1297,1
1298,1
1299,2
1300,2
1301,1
1302,1
1303,2
1304,1
1305,1
1306,1
1307,1
1308,1
1309,2
1310,2
1311,3
1312,1
1313,1
1314,1
1315,1
1316,3
1317,7
1318,1
1319,1
1320,1
1321,1
1322,1
1323,5
1324,1
1325,1
1326,1
1327,4
1328,1
1329,1
1330,1
1331,1
1332,1
1333,1
1334,1
1335,1
1336,1
1337,1
1338,1
1339,1
1340,1
1341,1
1342,1
1343,2
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1357,1
1358,1
1359,2
1360,1
1361,1
1362,1
1363,1
1364,1
1365,1
1366,1
1367,1
1368,1
1369,1
1370,4
1371,1
1372,1
1373,1
1374,1
1375,1
1376,5
1377,1
1378,1
1379,1
1380,1
1381,2
1382,1
1383,1
1384,1
1385,2
1386,1
1387,1
1388,1
1389,1
1390,1
1391,1
1392,1
1393,3
1394,1
1395,3
1396,1
1397,1
1398,1
1399,1
1400,1
1401,6
1402,1
1403,1
1404,3
1405,1
1406,1
1407,1
1408,1
1409,1
1410,1
1411,1
1412,2
1413,1
1414,1
1415,1
1416,2
1417,1
1418,1
1419,1
1420,1
1421,1
1422,1
1423,2
1424,2
1425,1
1426,1
1427,1
1428,1
1429,1
1430,1
1431,1
1432,7
1433,1
1434,1
1435,1
1436,2
1437,2
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,2
1446,1
1447,1
1448,1
1449,1
1450,1
1451,1
1452,1
1453,1
1454,1
1455,1
1456,1
1457,1
1458,1
1459,1
1460,1
1461,1
1462,1
1463,1
1464,2
1465,2
1466,6
1467,1
1468,1
1469,1
1470,1
1471,1
1472,1
1473,1
1474,2
1475,1
1476,1
1477,1
1478,1
1479,1
1480,1
1481,2
1482,1
1483,2
1484,3
1485,1
1486,1
1487,1
1488,1
1489,1
1490,1
1491,1
1492,1
1493,1
1494,1
1495,1
1496,1
1497,2
1498,1
1499,3
1500,1
1501,1
1502,1
1503,1
1504,1
1505,1
1506,1
1507,1
1508,2
1509,2
1510,4
1511,1
1512,1
1513,1
1514,3
1515,1
1516,1
1517,1
1518,1
1519,1
1520,1
1521,2
1522,1
1523,1
1524,1
1525,1
1526,1
1527,2
1528,1
1529,4
1530,2
1531,1
1532,1
1533,1
1534,1
1535,1
1536,1
1537,1
1538,2
1539,1
1540,1
1541,1
1542,4
1543,2
1544,4
1545,3
