,F
0,204
1,235
2,87
3,1
4,225
5,76
6,349
7,70
8,5
9,100
10,106
11,85
12,407
13,88
14,765
15,14
16,233
17,353
18,1276
19,960
20,25
21,221
22,937
23,21
24,743
25,1
26,62
27,753
28,389
29,582
30,806
31,206
32,9
33,2164
34,958
35,696
36,441
37,634
38,2168
39,975
40,43
41,171
42,286
43,279
44,441
45,134
46,89
47,865
48,265
49,324
50,501
51,354
52,192
53,23
54,108
55,26
56,180
57,26
58,879
59,138
60,660
61,594
62,112
63,18
64,89
65,32
66,94
67,40
68,31
69,22
70,271
71,118
72,124
73,8
74,86
75,548
76,1293
77,95
78,90
79,353
80,62
81,74
82,31
83,15
84,18
85,30
86,112
87,52
88,612
89,361
90,231
91,520
92,248
93,76
94,6
95,199
96,100
97,178
98,288
99,41
100,252
101,171
102,602
103,124
104,115
105,29
106,294
107,65
108,153
109,127
110,248
111,79
112,672
113,103
114,351
115,432
116,214
117,256
118,1
119,39
120,877
121,327
122,717
123,235
124,60
125,423
126,198
127,334
128,134
129,281
130,144
131,396
132,691
133,425
134,288
135,613
136,461
137,306
138,1
139,266
140,263
141,6
142,24
143,717
144,347
145,275
146,660
147,13
148,12
149,149
150,177
151,466
152,195
153,301
154,477
155,744
156,279
157,155
158,164
159,185
160,146
161,101
162,238
163,245
164,23
165,110
166,178
167,414
168,159
169,324
170,71
171,109
172,31
173,2
174,82
175,34
176,137
177,17
178,43
179,97
180,107
181,33
182,379
183,331
184,150
185,214
186,861
187,7
188,862
189,862
190,234
191,23
192,341
193,3
194,139
195,155
196,635
197,290
198,165
199,220
200,257
201,60
202,3
203,326
204,237
205,344
206,551
207,246
208,274
209,190
210,161
211,93
212,432
213,455
214,384
215,23
216,133
217,21
218,18
219,153
220,307
221,209
222,125
223,31
224,191
225,32
226,288
227,50
228,59
229,16
230,943
231,1279
232,155
233,57
234,444
235,656
236,153
237,1185
238,1266
239,694
240,27
241,359
242,37
243,127
244,117
245,205
246,3
247,73
248,71
249,99
250,191
251,31
252,68
253,105
254,270
255,337
256,258
257,134
258,616
259,60
260,11
261,45
262,84
263,77
264,19
265,133
266,49
267,15
268,23
269,2
270,38
271,26
272,11
273,10
274,10
275,34
276,36
277,47
278,5
279,18
280,70
281,30
282,54
283,14
284,18
285,22
286,54
287,2
288,67
289,280
290,142
291,900
292,93
293,483
294,279
295,204
296,19
297,262
298,487
299,65
300,416
301,190
302,2534
303,323
304,856
305,1048
306,941
307,330
308,1182
309,1053
310,365
311,994
312,692
313,51
314,10
315,5
316,12
317,4
318,4
319,1
320,11
321,13
322,2
323,1
324,15
325,23
326,1
327,6
328,32
329,323
330,138
331,48
332,110
333,257
334,324
335,28
336,203
337,50
338,109
339,113
340,54
341,319
342,62
343,493
344,618
345,79
346,351
347,133
348,27
349,66
350,122
351,37
352,323
353,78
354,103
355,199
356,237
357,136
358,112
359,165
360,68
361,117
362,25
363,34
364,77
365,11
366,25
367,162
368,194
369,59
370,235
371,45
372,291
373,664
374,158
375,112
376,139
377,106
378,394
379,313
380,271
381,28
382,37
383,197
384,17
385,84
386,393
387,37
388,98
389,580
390,171
391,68
392,36
393,111
394,113
395,17
396,267
397,31
398,114
399,115
400,87
401,233
402,89
403,93
