,SPEED,DATE,DISTANCE,AMOUNT,TIMESLICE,TIME,ID,UUID
418,68.45,20210620,22468.86,70,1,1181.77,75102,C56CB05CE8EC2C6FE05307098F0AE1DA
419,66.39,20210620,36057.24,102,1,1955.11,75201,C56CB05DA60E2C6FE05307098F0AE1DA
420,62.54,20210620,28202.74,115,1,1623.44,75202,C56CB05D80EE2C6FE05307098F0AE1DA
421,69.58,20210620,10056.86,33,1,520.32,76101,C56CB05D67E22C6FE05307098F0AE1DA
422,68.97,20210620,4449.0,19,1,232.22,76102,C56CB05D2A372C6FE05307098F0AE1DA
423,69.51,20210620,5591.43,20,1,289.58,76201,C56CB05D80B52C6FE05307098F0AE1DA
424,75.76,20210620,11582.84,49,1,550.37,76202,C56CB05D11F32C6FE05307098F0AE1DA
425,62.99,20210620,41621.0,143,1,2378.73,77101,C56CB05D1DBC2C6FE05307098F0AE1DA
426,59.72,20210620,22721.1,49,1,1369.71,77201,C56CB05D1E312C6FE05307098F0AE1DA
427,34.73,20210620,6301.65,60,1,653.23,78101,C56CB05D74612C6FE05307098F0AE1DA
428,34.12,20210620,5107.26,91,1,538.94,78102,C56CB05D4F5F2C6FE05307098F0AE1DA
429,30.12,20210620,6992.17,121,1,835.66,78201,C56CB05D43192C6FE05307098F0AE1DA
430,28.98,20210620,13746.43,163,1,1707.75,78202,C56CB05D74982C6FE05307098F0AE1DA
431,22.94,20210620,15222.75,146,1,2389.03,79301,C56CB05D42D52C6FE05307098F0AE1DA
432,29.34,20210620,13124.45,130,1,1610.58,79302,C56CB05D2A782C6FE05307098F0AE1DA
433,35.77,20210620,10124.99,102,1,1019.08,79401,C56CB05D11992C6FE05307098F0AE1DA
434,16.93,20210620,8609.57,107,1,1830.45,79402,C56CB05D11532C6FE05307098F0AE1DA
435,28.4,20210620,1469.14,20,1,186.26,80101,C56CB05D8D172C6FE05307098F0AE1DA
436,31.89,20210620,2812.3,37,1,317.52,80201,C56CB05D4F462C6FE05307098F0AE1DA
437,46.4,20210620,2634.13,27,1,204.39,81101,C56CB05DA5EB2C6FE05307098F0AE1DA
438,20.4,20210620,1489.54,16,1,262.89,81102,C56CB05D11B52C6FE05307098F0AE1DA
439,37.26,20210620,1742.59,15,1,168.38,81201,C56CB05D1DF42C6FE05307098F0AE1DA
440,43.03,20210620,2306.17,27,1,192.94,81202,C56CB05D4F122C6FE05307098F0AE1DA
441,51.33,20210620,5036.62,64,1,353.22,82101,C56CB05D94FB2C6FE05307098F0AE1DA
442,40.35,20210620,11093.84,100,1,989.76,82102,C56CB05D67A52C6FE05307098F0AE1DA
443,30.96,20210620,3554.93,81,1,413.35,82103,C56CB05D4F952C6FE05307098F0AE1DA
444,27.7,20210620,5023.51,63,1,652.79,82104,C56CB05D5B4B2C6FE05307098F0AE1DA
445,35.23,20210620,2420.57,19,1,247.35,82105,C56CB05D11D72C6FE05307098F0AE1DA
446,23.43,20210620,2401.37,42,1,368.9,82106,C56CB05D74412C6FE05307098F0AE1DA
447,25.77,20210620,3249.53,52,1,453.98,82201,C56CB05D27972C6FE05307098F0AE1DA
448,30.15,20210620,3257.03,36,1,388.84,82202,C56CB05D80692C6FE05307098F0AE1DA
449,32.84,20210620,9322.51,93,1,1021.9,82203,C56CB05D99072C6FE05307098F0AE1DA
450,25.35,20210620,8070.69,71,1,1146.22,82204,C56CB05D05A32C6FE05307098F0AE1DA
451,42.0,20210620,15494.01,98,1,1327.96,82205,C56CB05D4F5E2C6FE05307098F0AE1DA
452,39.47,20210620,8515.83,91,1,776.7,82206,C56CB05DA57F2C6FE05307098F0AE1DA
453,48.58,20210620,3598.8,23,1,266.67,83101,C56CB05D4F6E2C6FE05307098F0AE1DA
454,61.29,20210620,5125.92,42,1,301.1,83102,C56CB05D992E2C6FE05307098F0AE1DA
455,65.69,20210620,8045.67,42,1,440.93,83103,C56CB05D4F432C6FE05307098F0AE1DA
456,61.01,20210620,8843.6,72,1,521.85,83104,C56CB05D8CA82C6FE05307098F0AE1DA
457,59.29,20210620,9594.16,63,1,582.52,83105,C56CB05D67A92C6FE05307098F0AE1DA
458,60.02,20210620,27879.0,210,1,1672.25,83201,C56CB05D1DB02C6FE05307098F0AE1DA
459,61.05,20210620,23233.74,171,1,1370.06,83202,C56CB05DA1472C6FE05307098F0AE1DA
460,62.59,20210620,14079.6,69,1,809.83,83203,C56CB05D8D4B2C6FE05307098F0AE1DA
461,54.37,20210620,13194.69,78,1,873.66,83204,C56CB05CED5E2C6FE05307098F0AE1DA
462,48.84,20210620,21758.24,112,1,1603.71,83205,C56CB05D808A2C6FE05307098F0AE1DA
463,21.63,20210620,7295.26,64,1,1214.08,84101,C56CB05D05992C6FE05307098F0AE1DA
464,25.2,20210620,7374.55,133,1,1053.44,84102,C56CB05CE8F42C6FE05307098F0AE1DA
465,22.35,20210620,12614.43,111,1,2031.96,84103,C56CB05D94D92C6FE05307098F0AE1DA
466,24.26,20210620,14134.66,168,1,2097.47,84104,C56CB05D99332C6FE05307098F0AE1DA
467,34.56,20210620,10769.53,126,1,1121.9,84105,C56CB05DA0F42C6FE05307098F0AE1DA
468,33.74,20210620,16105.1,173,1,1718.6,84106,C56CB05D98EB2C6FE05307098F0AE1DA
469,30.54,20210620,21965.27,161,1,2588.91,84201,C56CB05D5B402C6FE05307098F0AE1DA
470,36.4,20210620,19997.96,200,1,1977.83,84202,C56CB05D8C982C6FE05307098F0AE1DA
471,23.86,20210620,27207.18,420,1,4105.64,84203,C56CB05D8CDD2C6FE05307098F0AE1DA
472,22.86,20210620,26515.21,241,1,4174.93,84204,C56CB05D36D92C6FE05307098F0AE1DA
473,17.71,20210620,5713.17,91,1,1161.55,84205,C56CB05D94E92C6FE05307098F0AE1DA
474,29.01,20210620,8514.45,51,1,1056.71,84206,C56CB05D4F472C6FE05307098F0AE1DA
475,55.93,20210620,18897.11,180,1,1216.32,85101,C56CB05D4F5B2C6FE05307098F0AE1DA
476,58.73,20210620,82382.6,496,1,5050.05,85102,C56CB05D5B562C6FE05307098F0AE1DA
477,55.3,20210620,49007.67,307,1,3190.6,85201,C56CB05CE8992C6FE05307098F0AE1DA
478,58.72,20210620,10452.45,86,1,640.83,85202,C56CB05D67DE2C6FE05307098F0AE1DA
479,46.5,20210620,1596.95,12,1,123.63,86101,C56CB05CE8C72C6FE05307098F0AE1DA
480,43.56,20210620,2122.22,18,1,175.39,86102,C56CB05D993D2C6FE05307098F0AE1DA
481,37.7,20210620,1963.46,20,1,187.47,86105,C56CB05D74102C6FE05307098F0AE1DA
482,36.25,20210620,3185.7,32,1,316.4,86106,C56CB05D99442C6FE05307098F0AE1DA
483,25.67,20210620,3806.98,39,1,533.85,86107,C56CB05D80D32C6FE05307098F0AE1DA
484,21.41,20210620,3481.33,40,1,585.28,86108,C56CB05D67902C6FE05307098F0AE1DA
485,39.07,20210620,6809.49,45,1,627.4,86109,C56CB05D11752C6FE05307098F0AE1DA
486,33.66,20210620,8739.96,100,1,934.78,86110,C56CB05D2AA72C6FE05307098F0AE1DA
487,30.6,20210620,4004.88,43,1,471.09,86111,C56CB05D05242C6FE05307098F0AE1DA
488,41.2,20210620,3962.11,22,1,346.22,86112,C56CB05D11B62C6FE05307098F0AE1DA
489,27.36,20210620,1795.99,14,1,236.35,86113,C56CB05D8D4E2C6FE05307098F0AE1DA
490,35.2,20210620,5791.24,58,1,592.23,86114,C56CB05D999B2C6FE05307098F0AE1DA
491,32.68,20210620,4483.13,32,1,493.91,86115,C56CB05D4F102C6FE05307098F0AE1DA
492,31.48,20210620,16665.65,179,1,1905.6,86116,C56CB05D42FB2C6FE05307098F0AE1DA
