,F,T,S,E
0,3,3,0,16_16_16_0
1,8,8,1,0_0_0_0_1
2,2903,42,2,91_4_4_90_4_4_4_91_92_4_4_4_4_3_92_4_4_125_125_162_125_125_51_125_162_50_50_51_125_51_163_152_165_165_123_79_78_118_117_119_236_167_167_167_167_168_56_105_105_168_168_236_238_238_206_238_238_167_167_167_168_117_95_95_97_1288_1288_1288_9_9_116_116_9_9_116_116_68_10_10_116_116_68_142_9_68_142_68_68_68_68_68_9_9_68_9_9_9_9_116_116_71_77_110_110_71_77_110_70_77_110_110_71_15_15_146_110_110_71_71_110_15_76_110_77_15_15_71_111_71_71_110_110_146_146_15_76_15_15_110_69_69_95_167_167_167_56_238_238_236_238_56_56_56_56_168_167_167_167_167_59_96_119_167_95_95_96_96_11_95_113_151_152_47_152_47_152_47_152_90_163_165_113_95_13_69_71_12_72_119_119_96_97_79_71_110_15_15_110_110_15_110_76_71_111_71_71_14_14_70_76_77_15_15_146_15_77_15_15_15_15_76_110_71_70_70_71_111_78_79_72_119_118_117_117_96_96_97_167_167_167_65_167_167_167_167_167_167_168_168_56_105_105_238_237_238_238_237_238_238_56_238_238_238_238_206_238_168_119_119_96_97_117_119_119_119_97_117_119_119_96_96_119_167_167_167_168_1287_105_169_58_168_66_167_167_167_167_66_168_167_66_169_169_105_58_238_204_241_241_202_202_241_241_241_241_202_178_202_241_241_178_202_179_202_241_242_205_204_204_178_241_178_202_105_56_105_66_66_167_167_66_167_167_66_66_97_123_118_96_96_1288_97_72_72_13_144_37_152_152_37_113_114_113_151_113_114_113_47_152_48_49_152_49_152_152_47_152_151_114_114_37_37_114_152_47_152_47_49_152_47_152_151_49_152_152_124_124_124_49_114_114_37_152_47_152_152_47_152_113_113_114_37_47_152_152_47_124_124_49_49_47_48_37_37_114_114_37_47_124_124_49_152_47_152_37_37_37_152_47_47_49_152_37_151_152_37_165_165_165_165_164_165_165_165_165_165_165_114_113_113_113_113_113_12_97_144_144_72_73_144_144_144_72_73_72_12_116_11_95_95_95_12_70_79_79_12_79_70_123_78_70_71_80_80_80_79_79_71_13_118_118_167_167_167_169_169_56_236_56_105_167_66_236_238_66_97_119_119_96_70_70_79_144_97_113_37_114_152_47_152_163_124_124_124_124_2
3,237,42,5,188_5_109_5_109_5_5_5_5_5_5_5_5_5_5_5_5_109_5_5_5_109_5_5_5_5_5_5_5_5_5_5_103_103_103_103_103_7_103_7_103_5
4,8,5,8,170_170_170_8
5,3,2,13,
6,34,21,19,18_18_280_280_17_17_18_280_280_17_17_18_280_18_18_18_18_18_18_18_18_18_18_18_18_19
7,3813,42,20,1204_1204_1333_1334_1188_21_21_1278_1240_1206_882_1206_1204_1205_1235_1235_1232_1235_1207_1154_1154_1153_1153_1232_1233_878_1154_1153_1154_1207_1154_1234_1234_1207_1207_1154_1154_1153_1234_1153_1209_1149_21_1206_882_882_881_1193_880_1204_1211_1193_1209_1209_1293_1207_1207_1207_1237_877_878_1237_1232_1232_1234_1233_1233_1153_1207_1201_1207_1154_1207_1153_1232_1234_1232_1234_1234_1237_1236_1210_1204_1204_1225_21_1206_1206_1205_1225_1205_1204_1204_880_879_1191_877_877_1361_1182_1184_1184_1240_1240_1189_1334_1195_1140_1140_1142_1333_1334_882_1137_1322_1322_1218_1189_1218_1218_1218_1189_1145_1240_1143_1322_1322_1137_1143_1342_1336_1184_1184_1181_1181_1240_1150_1150_1149_1184_1336_1176_1194_1140_1143_21_1333_1334_1334_1142_1140_1278_1156_1156_1278_1140_1278_1140_1140_1278_1140_1155_1156_1140_1140_1140_1278_1140_1140_1240_1150_882_1334_882_882_1145_1240_1189_1322_1144_1142_1149_1176_1150_1176_1336_1184_1204_1204_1204_1235_1235_1232_1235_1149_1180_1174_1180_1149_1144_1240_1240_1238_1238_1278_1156_1140_1278_1142_1142_1333_1334_1336_1238_1182_21_21_1188_1204_1293_1201_1201_1293_1237_1235_1235_1293_1200_1200_1201_1200_1201_1207_1208_1154_1293_1293_1201_1207_1207_1154_1293_1293_1154_1154_1154_1235_1235_1228_1209_1211_1209_1211_1149_1150_1238_1150_1238_1238_1238_1150_1151_1180_1180_1336_1334_1334_1176_1182_1184_1182_1176_1149_1180_1180_1149_1184_1149_1181_1176_1193_1180_1180_1180_1180_1181_1149_1150_1150_1151_1238_1152_1238_1150_1180_1235_1235_1191_1209_1211_1235_1234_1180_1234_1232_1234_1234_1209_879_1204_1204_881_1225_1225_1205_1205_1225_1205_21_1206_21_1215_1216_1222_1223_1216_1222_1222_1223_1223_1222_1218_1218_1218_1222_1223_1222_1223_1218_1223_1222_1223_1217_1222_1222_1223_1215_1215_1222_1223_1133_1223_1223_1223_1216_1215_1217_1222_1219_1218_1218_1223_1217_1215_1222_1218_1218_1188_1323_1176_1176_1181_1180_1148_1148_1150_1238_1219_1218_1188_1240_1211_1204_1228_21_1204_1205_1225_1205_21_1206_1182_1184_1206_1206_1206_882_882_1322_1323_1149_1180_1192_1180_1180_1180_1174_877_1193_1193_1206_882_1142_882_882_1229_1229_1228_1228_1210_1193_1210_1229_1230_1228_1229_1228_1194_1333_1333_1334_1334_1333_1333_1333_1140_1140_1142_1240_1150_1150_1181_1181_878_1237_1237_1234_1234_1232_1293_1293_1234_1235_1235_1232_1234_1234_877_1237_1203_1209_1209_1211_1211_1333_1333_1333_1334_1194_1205_1225_881_1225_1205_1225_1205_881_1182_1140_1278_1182_1322_1322_1322_1142_1141_1278_1142_1322_1322_1334_1204_1204_1204_1204_20
8,1,1,21,
9,4840,42,27,127_376_376_127_415_379_414_437_414_414_441_441_437_437_437_413_414_437_413_437_441_129_129_441_441_441_437_414_414_414_441_437_414_437_437_129_441_441_129_129_129_442_442_129_441_415_415_128_127_127_127_85_85_86_86_441_129_129_130_129_129_129_129_415_131_88_129_437_129_131_434_434_324_331_403_438_438_403_330_401_324_324_403_438_438_438_331_405_404_407_408_394_394_1376_411_329_329_456_134_134_388_89_1297_1297_1297_1377_1297_333_329_134_1376_411_411_452_89_89_316_1376_1376_394_324_324_396_395_396_384_271_401_400_401_383_427_427_323_410_400_400_400_262_271_384_271_271_403_271_271_271_265_383_265_383_427_427_425_428_428_428_426_427_427_428_428_271_271_271_271_271_271_330_271_262_262_271_271_271_330_401_324_402_402_424_428_428_425_424_427_429_428_429_428_427_426_266_265_265_383_266_434_1297_1297_1377_1296_394_394_324_324_400_330_330_401_401_330_400_401_400_401_271_384_262_271_262_271_403_403_1376_412_411_1376_424_1296_1296_428_427_428_428_427_428_428_428_424_424_1296_1296_1296_330_400_400_401_324_402_410_400_400_394_434_434_399_399_399_132_132_417_399_398_398_399_132_132_398_312_89_379_415_415_27_131_27_436_333_333_333_333_403_383_265_271_271_271_268_398_399_455_436_436_436_1297_405_407_406_404_405_404_404_407_404_406_407_406_436_436_436_1377_320_454_436_436_333_333_333_28_28_387_459_455_459_134_459_456_459_312_436_453_405_405_406_89_452_404_404_406_411_411_459_134_456_455_459_436_436_1297_1297_329_1297_1297_454_436_454_345_430_430_431_430_432_431_432_432_433_433_436_316_320_341_316_320_1297_1297_320_1297_434_396_434_405_408_404_405_405_408_407_405_316_316_312_436_404_406_406_433_455_436_316_430_432_344_344_344_345_344_430_430_430_430_433_344_344_344_344_344_344_344_344_431_431_430_341_1377_1297_1377_1297_411_333_412_1376_452_452_436_436_133_133_132_399_398_399_398_389_133_394_1376_1376_331_411_1376_394_321_323_323_321_323_323_323_323_323_322_323_322_321_321_323_323_1296_333_333_333_28_403_271_324_330_402_396_1296_1296_329_320_454_265_266_266_265_424_425_425_384_402_402_262_271_330_271_262_271_271_391_438_438_403_403_402_402_324_411_394_394_28_312_436_329_1377_1297_434_434_312_436_387_331_394_329_28_333_28_456_316_433_433_432_431_430_430_430_430_433_345_345_432_316_316_453_452_1377_454_454_453_454_316_436_436_436_387_333_28_28_396_406_402_384_324_402_402_330_408_415_415_416_415_415_416_437_129_437_441_441_129_130_130_87_379_379_415_416_130_131_131_379_379_85_86_379_86_415_415_415_415_131_131_379_379_443_376_376_85_127_376_128_130_376_25_127_379_415_415_276
