,F,T,S,E
0,31,24,6,109_109_109_109_109_109_109_109_109_109_109_109_109_109_109_109_109
1,38,24,7,103_7_7_7_7_7_7_7_7_7
2,5,2,9,142_142_67_9
3,1086,24,12,97_118_117_97_123_168_57_105_105_168_167_167_167_167_167_166_168_105_57_56_58_56_105_105_236_238_238_236_238_236_56_56_236_236_238_238_238_56_56_56_238_57_57_56_56_238_238_238_236_105_57_105_57_168_58_168_168_105_96_118_78_1288_1288_123_95_79_145_110_110_15_15_15_146_15_15_76_146_110_95_79_110_77_110_123_95_13_151_163_47_48_152_152_49_114_37_163_114_114_48_37_152_47_152_37_37_152_49_49_114_163_114_114_37_152_151_152_47_47_47_163_49_49_37_113_37_37_163_37_49_47_47_152_49_49_37_37_114_113_113_118_118_97_97_123_123_96_96_1288_1288_73_74_95_110_79_79_69_70_70_77_77_146_15_76_15_15_147_146_76_15_76_15_76_95_11_11_73_113_73_79_111_111_96_118_95_96_117_59_167_167_167_167_167_59_66_65_167_166_66_168_65_118_1288_123_71_95_123_95_96_118_167_167_167_65_167_58_118_97_1288_123_95
4,2238,24,29,426_424_424_426_394_394_331_402_402_411_328_327_436_89_89_430_431_430_430_430_430_430_89_89_456_456_459_456_459_456_411_394_411_134_394_412_412_1376_412_452_89_89_430_431_430_430_430_316_316_316_316_454_1297_320_1297_1297_320_329_454_320_320_1297_316_1377_1377_1297_320_320_320_1377_1297_89_434_394_402_402_330_402_402_402_330_401_324_424_428_428_428_424_434_434_331_402_438_403_271_271_271_401_330_262_324_402_324_330_262_271_271_271_402_427_428_324_394_406_404_404_130_130_416_88_88_88_130_277_131_131_87_88_130_88_87_87_87_130_130_87_130_416_88_89_452_271_268_271_268_271_271_401_400_330_401_324_434_330_329_328_328_434_434_404_406_407_404_407_434_434_428_426_425_428_271_271_438_438_438_403_403_384_391_438_403_1375_262_261_262_261_1375_1375_1371_1371_1374_1374_1374_261_262_400_323_323_322_323_322_425_428_428_425_427_436_456_436_316_341_1297_320_436_436_134_436_134_29_312_436_459_459_456_436_436_436_328_320_320_430_433_436_341_89_436_312_312_314_1377_1377_320_29_394_322_323_322_323_330_400_410_401_400_400_324_330_438_403_403_265_383_266_266_265_383_383_434_424_425_329_329
5,50,24,34,160_160_160_160_161_161_161_161_160_160_161
6,27,9,35,153_156_156_156_154_155_154_155_156_156_35_153
7,2,1,41,376_41
8,7,5,43,309_308_43_43_309_43
9,2,2,49,49
10,8,3,51,92_50_162_51
11,54,14,54,157_158_158_158_157_159_157_159_54_158_55_158_158_157
12,1,1,81,82_81
13,1,1,85,85
14,61,24,91,90_3_92_125_125_162_125_125_125_125_125_50_92_50_92_125_125_50_92_51_50_125_51_92_91
15,2,2,96,96
16,31,19,100,127_93_83_93_83_100_100_100_82_100_100_100_100_93_93_100_83_100_100
17,1,1,102,102
18,178,24,106,106_106_235_106_235_235_234_182_182_182_182_182_239_106_106_1292_182_182_182_182_182_182_240_106_107_182_182_182_234_106_234_235_234_234_233_182_182_106_106_234_234
19,1,1,108,108
20,4,4,116,116
