,F,T,S,E
0,5,5,0,16_16_16_16_16_0
1,6,6,1,1
2,40,21,2,4_4_4_4_4_4_4_4_4_4_4_4_90_91_4_4_4_4_4_4_3_2_4_90_4_4
3,169,42,6,5_5_5_5_5_5_5_5_109_188_188_5_109_109_5_5_109_5_5_5_109_5_5_5_5_5_5_109_5_5_109_5_109_109_6_5_5_5_5_5_5_5_5_5_5_7_5_103_103_103_7_7_7_103
4,9,6,8,170_170_8_170
5,103,42,9,9_9_68_142_142_142_68_142_142_68_142_142_68_142_67_68_68_9_68_68_68_68_116_9
6,2051,42,11,95_119_167_167_167_167_167_167_167_1287_56_167_167_167_238_237_238_237_105_105_168_105_118_167_167_167_167_167_167_168_65_66_167_167_167_167_167_167_168_168_168_168_58_65_167_65_168_168_66_65_66_168_168_56_238_238_238_237_238_206_238_238_236_238_56_105_105_105_56_105_105_105_57_105_57_105_167_167_167_167_167_167_167_167_168_66_58_97_1288_1288_96_119_118_96_118_97_117_117_123_118_96_96_117_117_118_97_113_74_73_72_114_113_113_113_116_116_95_144_144_118_96_118_96_167_66_65_236_238_238_238_237_236_236_236_56_236_238_167_167_167_167_57_105_105_31_169_169_105_105_105_56_56_236_56_105_119_98_96_117_119_111_110_110_77_111_110_71_110_15_15_15_76_15_76_71_71_71_110_110_71_71_71_110_70_69_69_110_15_15_15_15_15_15_146_15_146_76_146_110_110_71_72_123_123_79_70_79_79_79_69_69_110_71_70_70_71_71_70_70_71_13_13_95_72_78_95_78_79_70_78_95_73_72_144_72_144_74_113_96_97_97_1288_123_119_118_118_98_97_1288_73_113_73_73_73_113_73_73_12_71_71_79_143_79_78_95_13_144_11_80_80_80_79_12_144_144_71_77_77_110_110_77_14_71_77_77_111_71_71_77_111_123_95_144_144_110_15_76_15_76_110_71_71_12_95_95_144_72_11_95_144_13_11_78_79_12_79_78_144_96_123_13_95_13_72_113_123_97_167_66_66_66_58_57_105_56_178_202_241_241_178_202_241_241_241_241_202_178_178_178_241_202_241_202_202_203_178_178_241_241_205_205_205_204_202_178_241_242_241_178_205_202_241_178_241_204_178_56_1287_169_169_167_167_167_167_96_96_123_123
7,1,1,15,
8,3,3,18,17_17_18
9,47,20,19,280_18_18_18_18_18_18_17_17_280_18_19_280_19_18_258_258_259_17
