,F,T,S,E
0,21,11,6,109_109_5_5_109_5_5_109_5_109_5_109_109_109_6
1,16,7,12,79_78_1282_79_1282_78_1282_12
2,34,11,29,387_332_387_1294_387_387_1294_30_30_30_30_29
3,2,1,47,48_47
4,3,2,50,51_50
5,3,2,57,104_105_104_57
6,1,1,58,168_58
7,128,30,59,167_167_167_167_167_167_167_59_65_64_167_167_167_167_167_167_167_167_167_167_167_59_59_167_167_167_65_65_167_65_59_59_167_167_58_65_167_167_167_167_65_65
8,6,5,67,142_142_142_142_67
9,4,3,74,73_74
10,1,1,77,111_77
11,1,1,86,87_86
12,1,1,96,97_96
13,7,5,103,7_7_103
14,1,1,106,107_106
15,1,1,118,118
16,13,4,121,139_139_137_138_120_121_121
17,1,1,148,149_148
18,1,1,154,155_154
19,1,1,159,159
20,2,2,169,168_169
21,1,1,178,203_178
22,6,4,181,196_196_181
23,2,2,193,192_193
24,6,6,199,200_200_200_200_200_200_199
25,1,1,205,205
26,1,1,206,237_206
27,1,1,222,223_222
28,1,1,225,226_225
29,8,6,236,206_237_206_206_236
30,7,4,240,240_183
31,1,1,241,241
32,1,1,257,257
33,1,1,262,268_262
34,432,30,269,384_384_426_425_425_385_268_271_269_270_402_270_271_268_268_269_262_271_268_269_270_385_395_331_331_396_395_332_331_395_331_395_396_395_386_428_426_427_427_426_425_427_426_427_425_385_326_427_427_425_426_426_425_326_424_395_395_425_394_331_331_332_332_387_387_30_30_30_30_387_1294_332_394_396_395_395_387_331_424_426_427_428_428_427_427_268_268_269_438_403_384_402_271_271_268_402_268_269_384_262_271_268_271_268_385_385_270_403_403_384_384_271_327_387_325_332_332_387_395_394_331_424_424_425_330_402_385
35,1,1,273,273
36,1,1,277,277
37,1,1,298,298
38,1,1,299,299
39,11,7,300,300_1054_300_1051
40,2,2,301,301
41,23,10,308,309_43_308_308_310_310_309_43_309_310_310_308
42,1,1,310,310
43,148,17,312,134_314_312_454_454_435_314_454_319_318_319_319_317_317_318_318_319_320_318_319_319_329_329_329_329_329_329_319_329_327_328_328_329_320_328_329_329_329_329_320_316_454_316_315_316_316_341_341_316_316_315_89_388_388_453_453_435_404_404_405_406_408_406_408_404_404_405_404_408_407_408_406_408_408_435_454_432_433_316_316_454_314_313_312
44,1,1,314,314
45,5,3,327,328_329_328_327
46,1,1,329,
47,10,6,340,335_338_334_335_340
48,4,4,341,316
49,3,1,347,647_584_347
50,3,2,348,737_348
51,29,17,349,651_746_349_746_746_746_746_349_746_746_746_349_349_746_649_746_349_349_746_650_349
52,8,4,354,562_562_614_663_354
53,1,1,355,355
54,2,1,360,655_632_360
55,1,1,362,550_362
56,5,3,364,552_717_553_365_364
