,F,T,S,E
0,8,8,0,16_16_16_16_16_16_16_16_0
1,3980,24,1,90_163_152_105_1287_1287_167_167_167_238_56_57_56_105_168_168_167_167_167_169_168_167_167_167_167_167_66_32_32_32_96_32_9_9_9_68_234_235_235_233_234_233_234_107_233_108_108_234_234_234_182_241_241_241_179_179_241_241_242_242_178_241_179_179_179_179_56_167_167_167_167_167_110_110_70_113_74_152_47_124_152_156_156_99_99_99_99_99_99_99_99_33_99_99_161_161_99_161_161_161_99_99_99_99_161_99_99_99_99_99_99_155_156_154_155_156_154_154_154_154_155_156_156_154_155_155_154_153_155_154_154_36_152_152_164_165_165_165_152_47_152_152_165_152_125_162_4_90_38_38_4_4_4_162_125_125_4_4_4_125_4_4_3_90_4_90_90_4_4_4_90_4_92_125_125_125_92_92_125_50_125_162_92_91_92_162_4_4_4_2_1_152_49_152_152_148_164_152_47_152_124_124_124_163_37_37_124_124_152_113_165_164_113_114_152_152_112_239_182_139_120_120_101_101_101_101_101_102_101_120_139_140_141_120_120_139_120_120_184_138_184_184_184_140_120_138_140_120_120_120_138_138_139_120_140_120_120_120_120_139_141_140_140_239_239_182_182_182_139_120_120_120_120_120_182_182_110_15_15_69_69_70_70_110_110_146_146_15_76_15_76_146_147_15_15_146_75_75_15_75_75_15_75_75_15_75_146_110_14_95_95_13_75_69_167_169_169_182_182_239_234_234_108_239_239_182_31_117_142_170_188_188_188_188_188_188_188_5_188_109_109_109_5_109_188_5_5_5_5_109_188_188_188_188_188_188_188_103_188_188_103_103_170_170_170_170_170_170_170_170_170_170_170_170_170_170_170_170_170_68_9_116_95_1288_66_79_167_167_66_169_167_167_167_60_169_105_105_1287_238_167_167_169_152_152
2,2,2,15,
3,78,24,17,258_258_61_258_259_258_258_258_258_258_258_258_258_53_61_17_61_61_258
4,2785,24,20,1140_1140_1238_1235_1155_1140_1150_1151_1152_1152_1240_1188_1189_1189_1336_1144_1238_1140_1207_1154_1201_1201_1153_1153_1208_1293_1209_1211_1211_1228_1211_1232_1234_1210_1209_1209_1210_1193_1235_1234_1207_1154_1207_1234_1209_1211_1180_1232_1234_1211_1211_1334_1180_1234_1154_877_1188_1322_1143_1322_1189_1188_1188_1189_1322_21_1225_881_1225_1225_1209_1209_1228_1210_1211_1211_1228_1203_1203_1209_1205_1225_881_1225_1206_881_21_1205_1225_1218_1188_1143_1184_1184_1229_1231_1230_1231_1230_1229_1228_278_278_1209_1209_1237_1235_1234_1202_1199_1197_1197_1197_1197_1197_1202_1199_1197_1197_1202_1208_1199_1197_1202_1197_1208_1199_1202_1197_1208_1197_1199_1199_1208_1202_1203_1209_1209_278_1202_1202_1199_1202_1208_1293_1293_1153_1202_1208_1201_1207_1234_1232_1234_1237_1235_1235_1235_1234_1153_1293_1234_1211_1152_1238_1143_1240_1143_1184_1334_1150_1148_1240_1143_1188_1322_1322_1219_1218_1218_1218_1238_1238_1238_1240_1143_1322_1143_1238_1278_1278_1140_1156_1278_1140_1150_1181_1181_1211_1237_1234_1234_1235_1234_1234_1234_876_1151_1152_1181_1334_1322_1238_1322_1230_1228_1231_1230_1228_1229_1228_1231_1231_1230_1229_1228_1334_1334_1195_884_884_884_884_1334_1278_1278_1278_1156_1156_1278_1156_1278_1140_1184_1184_1333_1333_1334_881
5,3228,24,28,436_400_410_401_400_400_400_410_400_271_428_428_384_271_403_438_438_438_402_394_1376_412_412_412_428_429_428_459_455_459_407_323_401_330_400_400_401_402_402_330_394_434_329_411_459_412_412_412_1376_428_429_428_400_323_400_262_271_438_403_271_271_271_262_271_1296_427_1297_1377_1377_1377_1377_1297_432_1377_1377_452_452_406_404_434_403_384_403_271_262_262_271_271_331_329_329_434_1377_345_345_345_1377_320_459_459_455_341_436_436_345_345_341_398_398_399_399_132_398_132_398_398_398_390_44_390_304_304_304_304_304_399_399_417_417_132_417_417_398_417_398_398_417_436_452_452_452_406_404_405_395_407_407_320_320_436_436_345_345_436_320_1297_407_396_426_427_333_333_412_1376_412_394_412_454_262_262_401_402_271_271_268_455_429_429_333_333_333_411_403_266_266_383_266_265_266_383_383_383_403_266_266_266_266_266_391_391_392_391_438_403_271_427_412_412_402_271_324_400_323_321_323_321_400_271_384_134_312_436_454_1377_1297_333
6,4,2,40,94_39_40
7,831,24,42,380_380_41_380_380_40_40_40_41_26_26_26_274_275_274_275_276_276_274_274_276_27_129_129_379_26_379_415_416_415_415_415_442_441_442_129_437_437_442_437_415_415_415_442_437_26_26_131_84_25_443_25_84_84_443_25_25_84_25_25_25_443_376_376_84_85_24_84_84_443_443_443_84_443_443_443_84_84_443_443_442_415_380_41_380_41_380_380_380_281_283_282_263_263_422_281_440_422_283_380_263_381_282_281_263_283_263_422_440_280_283_380_380_380_380_380_42_380_41_128_86_380_129_442_442_442_87_415_87_416_277_379_131_130_26_26_26_26_26_275_274_276_276_273_272_273_272_273_275_27_26_26_26_380_380
8,147,24,43,310_311_311_311
9,140,24,54,159_158_158_158_158_158_159_157_55_55_158_157_54_157_158_158
