,F,T,S,E
0,5,5,0,16_16_16_16_16_0
1,6,6,1,1
2,29,11,2,4_4_4_4_4_4_4_4_90_3_2
3,2369,42,5,5_5_5_5_5_5_5_5_109_5_5_5_109_5_5_109_5_109_5_5_5_5_109_5_5_109_109_109_188_5_5_5_109_103_103_9_9_68_9_68_68_142_142_116_144_11_95_79_167_167_167_167_167_167_105_56_167_167_167_167_167_167_59_66_118_167_167_167_168_66_167_167_66_97_97_97_117_118_167_168_68_142_142_68_67_68_9_116_116_70_70_95_72_95_70_95_73_73_73_113_118_96_95_167_167_167_168_238_238_168_119_98_119_118_96_1288_123_70_11_95_144_96_97_118_117_66_66_117_117_118_167_167_167_238_238_238_238_238_238_56_57_56_238_237_56_238_238_56_56_105_105_56_105_105_1287_168_168_168_168_168_237_238_238_56_105_168_105_58_56_238_238_236_167_167_167_238_238_238_169_56_168_169_169_236_105_238_236_56_56_236_56_167_167_167_167_167_167_167_167_95_95_71_71_14_14_71_71_14_14_14_14_14_14_14_14_71_77_71_110_110_71_110_77_77_71_110_71_71_77_77_110_111_15_76_76_111_71_77_77_71_76_77_71_111_14_13_80_80_79_70_69_69_110_15_75_15_75_146_15_75_71_71_110_15_75_15_75_75_71_71_71_71_110_110_111_77_111_15_15_15_76_71_110_15_75_15_69_69_144_144_68_68_10_10_9_10_9_68_10_10_68_142_68_10_10_10_116_10_72_79_79_79_13_80_78_79_123_119_117_96_119_96_119_117_119_119_97_119_119_167_58_58_236_236_238_236_167_167_118_97_123_113_113_73_113_113_73_79_79_143_79_71_79_79_79_11_96_96_97_97_117_167_66_167_167_167_119_70_70_95_95_144_78_116_116_68_68_68_9_170_170_170_170_170_8_170_9_170_170_170_170_170_170_7_5_5_103_103_103_5_5_5_5_7_7
4,1,1,14,14
5,29,16,18,259_259_259_259_259_17_259_259_259_259_259_259_259_259_17_17_259_259_18_259
6,19,18,19,280_18_19
7,3794,42,20,1204_1204_1204_21_21_21_1333_1334_1334_1218_1188_1240_1322_1181_1232_1232_1234_1234_1236_1333_1334_1333_1334_1336_1140_1150_1140_1144_1240_21_21_1206_21_21_1236_1234_1234_1154_1153_1293_1153_1208_1153_1154_1293_1232_1232_1234_1153_877_1181_1180_1182_1149_1150_1238_1238_1152_1151_1151_1361_1140_1144_1240_1240_1206_1333_1333_1334_1180_1180_877_1192_877_1192_1192_1181_1232_1233_1153_1154_1153_877_1181_877_1237_1237_1234_1193_1204_1228_1193_1193_1193_1194_1228_1210_880_1194_1209_1210_879_1228_1204_1195_1140_1141_1142_1240_1240_1238_1142_1142_1240_1335_21_1225_1225_1204_1205_1205_1206_1334_1336_1137_1189_1322_1322_1336_1184_1148_1181_1149_1336_1238_1240_1240_1184_1189_1218_1336_1333_1333_1334_1333_1333_877_1192_1191_1181_1180_1180_877_1193_879_1204_21_1206_21_21_1140_1152_1152_1238_1151_1150_1238_1322_1137_884_1223_1223_884_1223_1133_1223_884_884_1223_884_1223_1133_884_884_883_1334_1210_1209_1234_1235_1235_1235_1207_1201_1207_1207_1153_1154_1293_1293_1154_1208_1207_1201_1207_1293_1154_1207_1235_1235_1235_1209_1234_1235_1235_1232_876_876_876_1180_877_1211_1188_1188_1216_1223_1222_1215_1217_1222_1215_1216_1223_1133_884_1133_884_884_884_884_884_1189_1278_1278_1140_1278_1140_1140_1140_1157_1156_1156_1140_1278_1140_1140_1278_1140_1140_1140_1278_1140_1156_1140_1155_1140_1140_1278_1142_1142_1142_1142_1240_1142_1238_1149_1181_1149_1240_1181_1180_1180_1150_1148_1148_1149_1142_1204_1208_1208_1208_1199_1199_1199_1202_1208_1199_1199_1202_1197_1208_1197_1208_1202_1198_1197_1197_278_1209_1211_1333_1334_1137_1322_1322_884_884_1225_1225_1205_1225_1204_1205_1225_1205_1205_1205_1205_1228_1322_1322_1333_1333_1334_1333_1334_1211_1180_1211_1211_1237_1235_1234_1211_1211_1237_1234_1233_1235_1234_1233_1237_1235_1237_1188_1205_1206_884_21_1206_1225_1225_1205_1194_1211_1230_1229_1229_1229_1228_1228_1210_1192_1176_1176_1181_1180_1322_1333_1334_1150_1361_1322_1322_1322_1188_1205_1205_881_1204_1228_1191_1234_1234_1237_1232_1234_1232_1237_877_877_877_1237_1232_1234_1234_878_877_1180_1180_1181_1181_1184_1137_1336_1194_1334_1152_1238_1142_1140_1149_1149_1180_1176_1180_1192_1237_878_1237_1235_1232_1232_1237_1210_1211_1209_1193_21_1322_1188_1240_1240_1181_1152_1228_1191_1192_1235_1232_1237_1237_876_877_1149_1149_1322_1142_1322_1188_1206_21_21_21_1205_1205_1204_1204_1204_1204_20
8,40,15,25,443_376_376_376_376_376_127_376_127_127_127_127_376_127_85_25_25
9,555,42,26,415_415_129_129_129_129_129_87_130_129_87_88_379_416_86_86_415_416_27_131_87_415_415_415_131_131_415_416_130_277_379_379_131_415_87_131_131_89_87_27_27_25_25_376_443_376_127_127_376_376_127_84_85_376_127_129_25_84_85_84_85_127_129_128_128_86_128_128_128_129_128_379_379_131_415_415_416_415_415_415_415_415_129_441_441_437_437_414_437_414_414_414_437_437_414_413_414_414_441_437_437_441_441_437_414_414_441_441_129_129_129_129_441_129_129_441_128_131_274_274_274_274_276_274_274_273_274_274_27_276_276_274_275_274_274_275_276_276_27_26
