,F,T,S,E
9099,1,1,632,632
9100,1,1,637,
9101,1,1,685,722_685
9102,1,1,694,694
9103,1,1,699,699
9104,1,1,712,712
9105,1,1,721,721
9106,1,1,738,738
9107,1,1,763,764_763
9108,1,1,776,777_776
9109,1,1,780,780
9110,1,1,784,903_784
9111,3,3,796,796
9112,171,40,797,212_797_797_212_797_212_1068_1068_1068_212_212_212_1067_1067_1114_1074_1074_1067_1074_1074_1075_1074_1074_1074_1074_1074_1075_1067_1068_1067_798_798_1068_212_212_212_212_798_1067_1067_1067_1067_1067_1067_1068_797_212_212_212_212_212_212_1067_1068_1068_212_797
9113,1,1,801,861_801
9114,1,1,802,802
9115,1,1,807,807
9116,2,1,813,948
9117,2,2,815,816_815
9118,1,1,852,916_852
9119,1,1,858,
9120,14,10,866,868_867_866
9121,1,1,877,877
9122,4,3,880,20_20_1204
9123,1,1,895,895
9124,1,1,898,899_898
9125,1,1,910,910
9126,1,1,969,969
9127,2,2,973,814_973
9128,1,1,1011,1011
9129,3,2,1032,1030
9130,1,1,1035,1035
9131,1,1,1055,1055
9132,1,1,1066,1066
9133,3,2,1078,1121_1121_1078
9134,1,1,1084,1085_1084
9135,1,1,1087,1087
9136,1,1,1114,1114
9137,1,1,1118,1118
9138,1,1,1133,1133
9139,2,1,1153,1293_1153
9140,2,1,1154,1207_1154
9141,2,2,1160,1259_1259_1160
9142,3,3,1171,1171
9143,1,1,1198,1198
9144,5,4,1206,21_21_1206
9145,1,1,1217,1217
9146,1,1,1220,1220
9147,1,1,1237,1237
9148,2,2,1247,1247
9149,1,1,1260,1260
9150,1,1,1265,1265
9151,1,1,1286,1286
9152,1,1,1299,1299
9153,1,1,1312,
9154,1,1,1336,
9155,1,1,1351,1351
9156,1,1,1353,1353
9157,1,1,1366,1366
9158,1,1,1390,1390
9159,1,1,9,9
9160,1,1,12,143_12
9161,1,1,25,85_25
9162,1,1,31,31
9163,1,1,54,55_54
9164,1,1,60,60
9165,3,2,88,87_88
9166,1,1,97,
9167,3,3,103,103
9168,3,3,135,135
9169,3,3,151,114_114_151
9170,1,1,154,154
9171,4,4,169,169
9172,1,1,178,
9173,2,2,237,
9174,1,1,251,252_251
9175,1,1,276,276
9176,1,1,281,281
9177,5,2,298,1018_298
9178,1,1,310,310
9179,1,1,323,323
9180,1,1,348,348
9181,9,4,360,655_655_684_632_360
9182,1,1,367,367
9183,3,2,400,401_400
9184,1,1,408,
9185,1,1,427,427
9186,2,2,430,431_431_430
9187,1,1,442,442
9188,1,1,449,449
9189,1,1,462,463_462
9190,1,1,484,485_484
9191,1,1,491,491
9192,11,8,504,503_503_503_504_503_504
9193,1,1,511,511
9194,13,11,517,516_516_515_516_516_516_516_516_516_517
9195,1,1,523,523
9196,1,1,525,525
9197,2,2,557,557
9198,2,1,560,743_560
9199,1,1,594,594
9200,3,2,611,704_641_611
9201,1,1,613,613
9202,5,4,618,736_736_617_619_617_618
9203,1,1,631,631
9204,1,1,636,636
9205,1,1,659,659
9206,2,2,665,738_665
9207,2,2,669,668_669
9208,4,2,677,505_506_678_677
9209,1,1,684,684
9210,1,1,700,700
9211,1,1,724,724
9212,2,2,729,513_729
9213,2,1,733,734_733
9214,1,1,742,742
9215,14,7,775,932_933_933_775_933_775_775_933_774_775
9216,11,7,778,779_214_214_779_779_806_214_779_214_778
9217,3,3,781,781
9218,2,1,783,824_783
9219,3,2,793,793
9220,1,1,808,808
9221,5,4,811,811
9222,1,1,853,853
9223,1,1,856,856
9224,1,1,871,871
9225,8,5,875,1311_1266_1266_1266_1266_875
9226,1,1,887,987_887
9227,9,4,946,946_949_951
9228,1,1,957,958
9229,4,3,962,908_962
9230,1,1,968,968
9231,1,1,974,974
9232,1,1,978,979_978
9233,1,1,992,992
9234,2,2,1005,1004_1005
9235,3,3,1012,296_296_1012
9236,13,6,1015,1286_300_1051_1051_299_300_301_1286_1286_1286_301_1286_1015
9237,1,1,1019,1019
9238,5,2,1021,1050_1020_1021
9239,2,2,1023,1023
9240,1,1,1034,1034
9241,1,1,1044,1047_1044
9242,1,1,1048,1048
9243,1,1,1051,1051
9244,1,1,1067,1067
9245,2,2,1098,1076_1098
9246,1,1,1117,1117
9247,1,1,1130,1130
9248,1,1,1158,
9249,1,1,1202,1208_1202
9250,3,2,1216,1223_1222_1223_1216
9251,4,3,1218,1215_1218
9252,6,4,1224,1220_1224
9253,221,65,1245,1246_1246_1248_1248_1246_1247_1246_1247_1247_1246_1246_1244_1244_1247_1247_1247_1247_1247_1247_1247_1247_1247_1247_1247_1247_1247_1247_1247_1247_1247_1247_1247_1247_1251_1248_1270_1270_1249_1249_1251_1270_1249_1251_1248_1247_1246_1247_1246_1247_1247_1247_1247_1247_1247_1247_1247_1247_1247_1247_1247_1247_1246_1247_1247_1247_1251_1249_1249_1248_1251_1248_1247_1247_1247_1247_1247
9254,1,1,1252,1253_1252
9255,1,1,1274,1275_1274
9256,1,1,1288,1288
9257,1,1,1291,1291
9258,1,1,1297,
9259,1,1,1310,1310
9260,6,3,1328,1330_1330_1330_1329_1328
9261,4,4,1334,1333_1333
9262,10,7,1359,358_358_1359_358
9263,1,1,1372,1375_1372
9264,1,1,1387,1387
9265,1,1,2,2
9266,1,1,17,18_17
9267,1,1,91,92_91
9268,1,1,96,
9269,4,3,104,104
9270,1,1,108,108
9271,1,1,133,133
9272,1,1,149,149
9273,1,1,191,191
9274,1,1,194,194
9275,1,1,221,221
9276,6,6,228,227_227_227_227_227_228
9277,1,1,242,242
9278,1,1,252,252
9279,1,1,253,253
9280,1,1,254,254
9281,2,2,267,267
9282,1,1,274,274
9283,1,1,341,341
9284,1,1,350,350
9285,2,2,364,364
9286,1,1,411,
9287,1,1,413,414_413
9288,3,2,433,432_433
9289,3,2,435,453_454_453_435
9290,1,1,437,437
9291,1,1,438,438
9292,1,1,444,445_444
9293,1,1,459,459
9294,1,1,466,466
9295,1,1,468,468
9296,3,2,473,753_753_472_473
9297,1,1,478,478
9298,2,1,494,727_494
9299,9,4,500,744_498_500_499_500
9300,1,1,518,518
9301,2,1,521,732
9302,2,1,531,531
9303,1,1,533,533
9304,4,2,538,685_538
9305,1,1,540,540
9306,2,2,590,590
9307,1,1,603,603
9308,6,3,620,621_745_745_621_620
9309,1,1,624,624
9310,1,1,637,637
9311,2,2,657,656_657
9312,1,1,670,
9313,2,1,672,673_672
9314,1,1,680,680
9315,1,1,689,689
9316,1,1,697,697
9317,2,2,698,485_698
9318,1,1,705,705
9319,1,1,706,707_706
9320,1,1,709,709
9321,2,2,730,513_730
9322,1,1,752,752
9323,1,1,785,785
9324,1,1,786,892_786
9325,2,2,787,832_787
9326,1,1,799,799
9327,1,1,805,805
9328,6,3,809,982_810_809
9329,1,1,816,816
9330,2,2,817,818_818_817
9331,1,1,831,1299_831
9332,1,1,844,964_844
9333,2,2,881,1205_881
9334,1,1,883,883
9335,1,1,884,884
9336,1,1,894,895_894
9337,1,1,897,897
9338,1,1,905,905
9339,1,1,961,961
9340,2,1,1013,1014_1013
9341,81,41,1026,1025_1025_1025_1025_1025_1025_1024_1024_1024_1024_1024_1024_1026_1026_1025_1025_1024_1024_1024
9342,1,1,1031,1031
9343,2,2,1058,1059_1059_1058
9344,8,5,1068,1068
9345,5,4,1093,1094_1092_1094_1094_1093
9346,1,1,1110,1110
9347,1,1,1154,1154
9348,2,2,1164,1164
9349,1,1,1182,
