,F,T,S,E
0,88,30,5,7_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_9_9_9_8_9_9_9_9_9_8_7
1,2,2,13,14_14_13
2,1,1,18,19_18
3,2,2,31,32_32_31
4,15,9,45,43_43_43_43_43_43_43_43_44_45
5,4,3,50,50_51_50
6,3,3,57,56_56_57
7,22,22,59,58_58_58_58_58_58_58_58_58_58_58_58_58_58_58_58_58_58_58_58_58_59
8,1,1,64,64
9,3,3,66,65_65_66
10,1,1,67,68_67
11,1,1,79,80_79
12,20,20,89,90_90_90_90_90_90_90_90_90_90_90_90_90_90_90_90_90_90_90_90_89
13,3,3,91,91
14,7,3,107,109_110_110_109_108_107
15,4,4,117,118_118_118_118_117
16,18,13,126,125_125_125_125_125_125_125_126_125_127
17,75,30,132,133_133_131_133_133_133_133_133_133_134_133_131_131_133_135_134_134_133_134_134_133_131_134_131_131_131_133_131_133_131_133_131_133_131_133_133_134
18,8,7,136,137_137_137_137_137_137_136
19,7,4,145,147_147_147_146_145
20,11,6,149,148_148_150_150_148_148_149
21,1,1,150,
22,5,4,155,156_156_156_154_156_155
23,106,30,158,161_159
24,173,30,166,171_170_169_170_172_171_172_171_170_169_170_170_170_171_171_170_169_170_169_171_171_171_170_170_170_170_169_169_169_170_170_170_169
25,104,30,173,174_176_176_175_175_173_173_176_175_176_175_176_175_174_175_176_176_175_175_173_176_176_176
26,3,3,177,178_178_178_177
27,2,2,179,179
28,4,4,183,184_184_184_184_183
29,15,11,195,196_196_194_194_194_194_194_194_194_194_196_196_194_195
30,17,14,207,209_209_208_208_208_208_209_208_208_208_208_208_208_208_207
31,140,30,218,219_217_217_217_220_220_219_219_217_222_222_221_220_222_222_222_222_220_222_222_220_219_217_219_219_217_217_222_222_222_222_222_220_220_222_222_219_220_219_217_217_219_222_221_217_217_217_219_220_219_222_222_221_222_222_220_220
32,11,11,223,222_222_223
33,6,2,235,237_236_234_235
34,1,1,246,247_246
35,3,1,258,260_259_258
36,5,4,262,261_261_262
37,1,1,270,271_270
38,23,13,276,277_277_276_277
39,1,1,291,292_291
40,3,2,297,298_296_297
41,8,2,299,300_298_301_300_299
42,2,2,306,307_307_306
43,2,2,322,323_323_322
44,1,1,327,327
45,1,1,355,356_355
46,1,1,362,362
47,1,1,371,372_371
48,7,3,391,392_393_394_392_391
49,1,1,414,414
50,1,1,423,423
51,9,5,428,429_429_429_427_429_429_428
52,1,1,435,436_435
53,3,2,437,436_437
54,7,5,439,438_440_440_438_440_438_439
55,84,30,444,443_445_443_445_445_445_445_445_443_443_445_443_445_443_443_443_445_443_445_443_445_443_445_443_445_443_445_443_443_445_445_445
56,1,1,445,
57,1,1,448,448
58,3,2,449,451_450_449
59,1,1,462,463_462
60,72,30,465,466_465_466_465_466_466_466_466_464_466_466_464_466_464_466_464_466_464_466_464_464_466_464_464_466_464_464_464_467_464_464_464_466_466
61,3,2,471,472_471
62,1,1,477,478_477
63,2,1,479,480_479
64,2,2,484,485_483_484
65,7,7,488,487_487_487_487_487_487_488
66,6,4,490,490_489_490
67,14,8,491,492_493_493_493_493_493_492_491
68,24,24,495,496_496_496_496_496_496_496_496_496_496_496_496_496_496_496_496_496_496_496_496_496_496_496_496_495
69,11,9,497,498_498_498_498_498_498_498_498_497
70,50,26,499,502_502_502_500_502_502_501_501_502_502_502_502_501_501_502_502_502_501_502_502_501_501_502_502_502_502_502_502_501_501_502_502_501_500_499
71,6,6,504,503_503_503_503_503_504
72,23,18,505,504_504_504_503_503_503_503_503_504_504_504_505
73,6,6,506,506
74,5,4,508,509_508_507_508
75,27,17,517,518_516_518_518_518_518_518_518_518_518_520_519_519_520_519_519_518_518_518_518_518_518_517
76,5,4,520,519_519
77,1,1,535,535
