,F,T,S,E
252,2,2,519,518_519
253,1,1,521,521
254,1,1,535,
255,2,1,588,595_588
256,1,1,589,589
257,2,1,638,
258,1,1,639,639
259,4,2,657,658_657
260,2,1,667,667
261,2,2,676,675_676
262,11,6,684,602_602_602_601_602_684
263,1,1,707,
264,1,1,726,726
265,1,1,731,731
266,1,1,743,743
267,1,1,776,776
268,1,1,793,793
269,1,1,798,798
270,1,1,808,808
271,1,1,814,814
272,3,2,828,889_889_828
273,1,1,833,833
274,1,1,850,850
275,1,1,874,874
276,4,2,876,876
277,1,1,903,903
278,1,1,912,912
279,1,1,922,923_922
280,1,1,953,953
281,1,1,954,954
282,2,2,981,981
283,1,1,1015,1015
284,1,1,1019,
285,1,1,1022,1023_1022
286,1,1,1060,1060
287,1,1,1104,1115_1104
288,1,1,1121,1121
289,1,1,1123,1123
290,1,1,1125,1125
291,2,1,1129,1130_1129
292,1,1,1134,1220_1134
293,3,3,1138,1139_1167
294,1,1,1167,1168
295,3,2,1169,1169
296,1,1,1173,
297,1,1,1185,1185
298,2,2,1205,1225_1225_1205
299,1,1,1253,1253
300,4,3,1256,496_1256
301,1,1,1261,1261
302,1,1,1262,1262
303,1,1,1278,1278
304,3,2,1310,1309_1310
305,1,1,1345,1345
306,1,1,1363,1363
307,6,6,14,14
308,2,2,145,110_145
309,2,2,146,146
310,5,5,198,185_198
311,69,22,224,224_211_224_223_223_223_223_223_223_223_1384_1384_223_223_223_223_211_211_226_226
312,1,1,226,226
313,1,1,235,
314,1,1,261,
315,2,2,262,262
316,25,13,278,1202_1197_1208_1208_1199_1208_1208_1199_1208_1199_1208_1202_1202_1198_1198_1197_278
317,2,2,288,289_289_288
318,1,1,308,308
319,1,1,340,340
320,1,1,346,593_346
321,1,1,367,367
322,1,1,381,
323,1,1,391,391
324,1,1,413,414_413
325,1,1,417,417
326,4,2,422,280_422
327,10,5,437,413_129_441_437
328,1,1,479,479
329,10,5,515,589_589_514_514_515
330,2,2,516,516
331,1,1,622,
332,2,2,636,636
333,1,1,690,690
334,1,1,697,
335,2,2,732,521_732
336,1,1,741,741
337,1,1,754,754
338,3,2,763,764_763
339,44,16,787,831_1299_1299_831_831_831_892_786_786_831_787_892_891_891_1299_891_831_831_832_832_831_832_787_832_786_831
340,1,1,790,
341,1,1,797,797
342,3,3,809,810_810_810_809
343,6,4,817,954_818
344,1,1,826,826
345,1,1,899,902_899
346,2,2,923,924_924_923
347,1,1,928,928
348,1,1,936,936
349,40,17,938,1387_912_911_911_938_938_1387_938_938_937
350,1,1,944,944
351,4,4,957,956_963_963_957
352,1,1,958,958
353,1,1,963,963
354,2,2,982,982
355,8,5,1028,997_999_998_1028
356,1,1,1043,1043
357,2,2,1061,1066_1061
358,4,4,1064,1063_1063_1063_1064
359,1,1,1070,1070
360,2,1,1078,1078
361,1,1,1083,1083
362,3,1,1086,1087_1086
363,6,3,1089,1109_1089
364,5,3,1097,1097_1126_1097
365,1,1,1120,1120
366,1,1,1122,1122
367,1,1,1124,1124
368,4,2,1151,1152
369,1,1,1168,1168
370,1,1,1201,1201
371,1,1,1202,1202
372,1,1,1238,
373,1,1,1270,1270
374,1,1,1286,1286
375,1,1,1299,1299
376,5,3,1327,1326_1327
377,1,1,1338,1338
378,1,1,1339,1340_1339
379,3,3,2,2
380,2,2,9,9
381,1,1,38,38
382,1,1,66,
383,4,4,68,
384,6,6,69,69
385,3,2,116,
386,1,1,154,154
387,2,2,161,161
388,12,12,173,173
389,2,2,179,179
390,3,2,212,797_798_212
391,1,1,273,273
392,1,1,276,
393,1,1,310,310
394,2,1,355,563_356
395,1,1,393,393
396,1,1,397,397
397,1,1,403,438_403
398,1,1,410,410
399,1,1,414,414
400,1,1,429,429
401,2,2,475,475
402,2,1,484,
403,1,1,488,
404,2,1,495,1014_639_495
405,2,2,514,
406,1,1,572,
407,1,1,615,615
408,1,1,669,669
409,3,3,671,671
410,1,1,685,685
411,1,1,689,689
412,2,2,698,698
413,2,2,710,710
414,1,1,726,756_726
415,1,1,742,742
416,3,3,743,743
417,1,1,758,
418,1,1,762,762
419,4,3,766,765_766
420,1,1,779,779
421,1,1,814,
422,2,2,824,
423,1,1,825,825
424,1,1,830,959_830
425,1,1,835,
426,1,1,846,872_846
427,1,1,850,
428,1,1,873,873
429,2,2,874,874
430,1,1,876,876
431,8,4,903,784_904_784_903
432,1,1,906,
433,2,1,911,1386_911
434,1,1,912,912
435,1,1,919,919
436,1,1,925,925
437,1,1,927,927
438,1,1,929,929
439,2,1,931,
440,2,1,939,940_939
441,2,2,952,952
442,1,1,953,953
443,1,1,972,973_972
444,2,2,996,996
445,1,1,1037,1037
446,1,1,1044,1044
447,2,1,1066,1082_1066
448,2,2,1121,1078_1121
449,3,2,1129,1130_1129
450,2,2,1133,1133
451,1,1,1156,1156
452,2,1,1158,1158
453,4,3,1203,1209_1209_1209_1203
454,1,1,1208,1208
455,1,1,1224,1224
456,1,1,1245,1246_1245
457,1,1,1253,1253
458,1,1,1274,1275_1274
459,1,1,1277,1277
460,3,3,1278,1278
461,2,2,1293,1293
462,2,2,1363,1363
463,5,3,1364,1365_1365_1364
464,4,3,1367,1368_1368_1367
465,1,1,1388,1388
466,2,2,27,27
467,3,2,49,124
468,1,1,81,82_81
469,1,1,84,84
470,1,1,110,110
471,1,1,122,122
472,2,2,169,169
473,2,2,172,172
474,1,1,261,261
475,1,1,272,272
476,3,2,302,303_302
477,1,1,305,306_305
478,1,1,311,311
479,5,2,340,338_335_340
480,1,1,356,
481,1,1,399,399
482,1,1,400,400
483,7,5,416,416_416_415
484,2,1,474,656_474
485,1,1,483,
486,1,1,491,1390_491
487,1,1,493,493
488,1,1,494,494
489,6,4,496,1256_496
490,1,1,501,502_501
491,1,1,526,531_526
492,6,2,540,700_541
493,1,1,556,556
494,1,1,626,626
495,1,1,628,628
496,2,1,640,640
497,1,1,643,643
498,1,1,676,676
499,1,1,681,708_681
500,1,1,699,699
501,3,2,702,
502,5,5,730,
503,1,1,763,763
