,F,T,S,E
0,24,16,6,109_5_109_5_109_5_109_5_109_5_109_109_109_109_109_109_109_109_109_6
1,2,1,7,103_7
2,52,13,12,95_95_73_72_72_78_79_79_79_79_78_79_78_78_79_78_1282_78_143_143_143_12_95
3,3,3,19,18_18_19
4,1,1,20,1204_20
5,1,1,25,85_25
6,4906,96,28,387_387_387_314_454_454_328_329_329_329_329_329_329_329_329_328_328_329_320_329_329_329_329_328_315_454_315_315_329_320_30_30_387_30_387_387_387_331_331_395_395_331_324_324_324_395_387_424_426_428_427_428_428_427_425_428_427_427_424_425_426_426_427_427_426_425_424_425_425_429_428_428_396_396_332_387_1376_411_1376_411_387_332_324_331_331_271_396_324_324_434_396_396_330_401_384_384_1376_411_411_411_411_411_412_1376_134_455_134_134_134_1376_314_454_454_89_435_435_388_89_453_333_30_132_398_134_459_456_456_134_390_390_390_390_44_399_132_399_389_389_399_132_417_398_398_417_459_134_456_134_399_398_399_134_387_327_387_453_454_435_1297_433_433_436_436_454_341_341_316_316_454_454_436_315_454_388_454_404_404_406_407_407_404_454_435_408_408_394_394_403_402_426_428_427_427_426_271_271_271_269_268_269_385_268_271_271_271_384_396_396_271_271_271_262_262_271_271_324_396_434_396_429_428_428_427_429_428_428_429_428_429_424_424_424_424_425_427_426_428_428_429_429_428_426_427_428_424_384_403_384_330_402_402_268_324_396_324_328_329_328_328_329_28_312_328_328_385_438_403_403_384_324_324_396_396_407_408_407_407_406_405_404_407_406_407_406_404_404_404_404_405_406_89_388_89_89_453_454_435_435_89_89_435_453_408_435_388_453_388_89_435_89_453_454_320_329_320_320_1297_329_329_328_329_329_329_328_329_329_329_327_329_1297_1297_315_388_453_89_453_454_454_387_387_325_396_434_396_331_331_387_424_424_402_384_271_271_262_384_402_403_384_262_271_438_403_438_403_402_271_262_271_271_424_325_402_268_385_402_331_395_395_331_395_331_394_387_387_28_411_332_387_387_387_332_331_396_396_424_427_425_425_427_427_426_428_426_425_425_425_427_427_426_402_384_271_384_394_331_331_395_394_394_331_395_387_325_387_394_331_395_270_402_402_384_268_271_271_268_271_268_269_438_403_403_384_385_425_424_327_326_396_394_394_331_324_332_331_325_395_426_428_326_425_426_427_427_426_425_427_427_426_425_424_425_427_425_426_425_269_268_271_269_268_384_384_330_402_402_269_384_385_262_268_268_268_270_403_384_268_269_270_385_396_395_331_394_394_331_396_385_402_424_425_271_384_270_269_270_424_326_325_324_394_331_396_396_325_424_326_325_395_387_387_312_456_456_134_134_312_312_456_456_134_134_436_315_454_435_453_453_408_453_453_453_454_435_316_436_316_316_315_314_314_315_454_341_341_316_89_89_388_388_388_453_453_407_435_407_408_405_406_406_407_406_407_405_406_408_435_315_454_435_454_316_341_316_314_30_312_30_312_314_312_312_312_314_314_327_327_1294_387_30_312_312_312_314_387_1294_395_387_326_268_268_271_384_403_403_424_425_403_438_403_385_403_384_438_271_268_268_268_271_262_271_262_271_326_324_324_327_425_426_326_271_384_385_403_403_403_384_384_438_403_403_330_271_385_271_402_394_394_332_396_331_134_315_436_315_436_314_436_314_134_387_30_1294_134_134_456_459_459_134_134_456_134_134_387_387_134_312_312_134_315_436_134_454_315_436_454_315_134_312_133_134_453_316_316_341_316_316_341_454_453_454_315_315_436_134_459_134_456_134_312_312_316_316_315_314_312_312_30_30_387_332_387_332_28_30_30_1294_30_312_134_312_314_312_316_315_315_314_314_312_134_312_314_134_312_314_408_435_453_388_407_407_408_408_454_454_1296_329_1296_1296_1296_327_329_1296_329_1296_329_1295_1295_1296_329_329_1296_1296_1296_1294_317_1297_1297_1377_1297_319_317_319_319_317_317_318_318_317_1297_1297_318_1297_319_317_1297_319_317_319_319_316_316_316_341_316_316_341_329_318_317_1297_320_1296_1297_328_317_433_316_316_341_454_435_408_407_406_407_407_407_408_453_454_453_408_408_408_453_452_452_453_89_452_452_435_341_341_454_433_314_315_316_341_316_433_436_345_431_430_432_430_432_430_345_345_345_432_432_432_431_431_432_430_430_433_433_431_345_433_433_432_431_432_316_341_316_341_341_665_738_738_650_349_349_349_349_737_349_737_746_746_349_649_746_650_746_648_649_746_349_737_737_349_349_737_737_349_648_649_651_746_349_746_349_648_649_650_349_349_737_737_349_349_349_349_349_737_649_650_746_746_349_651_746_349_746_651_650_349_737_737_348_647_584_347_347_647_647_347_347_347_649_648_648_584_647_347_584_584_593_593_346_346_342_316_341_316_342_1297_1377_1297_319_1297_320_317_1377_1377_1297_1297_320_454_320_320_1297_1297_320_454_319_1377_1297_320_320_1297_1297_320_319_454_408_435_436_436_436_313_312_436_459_134_459_134_133_389_134_417_333_333_333_333_333_333_333_332_333_28_333_333_333_333_28_329_328_327_453_453_388_316_312_134_411_1376_411_324_387_459_456_459_134_134_134_329_329_329_329_327_1376_411_411_411_411_1376_1376_411_411_412_328_329_328_329_427_427_426_426_424_427_427_402_384_268_271_268_324_400_400_330_401_324_323_387_394_333_28_331_387_324_402_268_403_403_383_384_384_330_402_330_324_387_387_425_425_427_429_429_428_426_325_394_395_387_324_394_394_396_454_435_89_388_435_388_453_454_435_407_405_405_408_407_406_406_406_407_408_396_387_29_30_436_134_312_312_328_1297_1297_319_316_316_316_341_454_435_454_341_316_315_315_314_312_454_453_453_435_406_406_407_405_406_408_407_408_408_453_453_388_312_314_453_453_454_314_30_332_28
7,12,10,29,29
8,1,1,34,160_34
9,3,2,37,38_151_38_37
