,F,T,S,E
0,8940,24,1,4_38_91_38_38_4_38_92_38_38_4_90_4_4_90_90_4_4_4_90_92_90_4_4_125_51_125_162_125_162_163_152_114_114_114_152_165_165_152_47_163_90_163_152_164_149_149_148_165_152_152_163_37_37_47_47_152_163_114_73_31_31_138_31_238_238_238_238_238_105_1287_169_169_167_167_167_167_167_167_167_168_105_57_167_184_184_139_140_120_120_120_139_137_139_141_141_140_120_102_139_141_139_120_120_184_1292_235_234_234_107_108_108_107_108_108_234_182_1292_108_233_108_108_234_234_108_235_234_234_234_182_145_145_95_152_163_49_124_165_165_148_165_1341_149_148_148_1341_114_163_155_154_154_154_156_154_156_155_154_154_154_99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_161_161_161_161_161_161_161_161_161_156_154_155_154_155_156_156_155_36_37_152_47_47_163_163_110_71_70_167_167_167_236_238_180_180_180_180_180_180_180_180_180_179_242_179_180_180_180_180_179_179_241_167_167_167_169_167_105_32_32_60_167_167_167_32_32_32_32_1288_95_95_95_72_72_79_15_15_146_146_15_15_15_15_16_0_16_16_16_16_16_16_16_16_16_16_0_15_147_146_79_71_70_110_13_144_14_170_170_103_103_188_188_188_188_188_188_188_188_188_188_188_188_188_109_188_188_188_188_188_188_188_188_188_188_188_103_103_103_103_170_170_170_170_170_170_142_142_116_9_68_170_170_170_170_170_170_68_170_170_116_10_123_184_32_32_167_105_169_167_167_10_75_75_75_75_147_146_70_114_79_79_11_75_75_69_69_140_120_140_182_182_182_120_239_239_182_182_139_140_141_240_182_182_140_120_102_102_102_102_102_102_120_120_120_120_120_184_184_140_139_120_32_167_169_169_167_167_169_238_238_238_105_169_168_65_32_114_47_152_163_152_152_37_37_37_165_165_164_165_114_152_152_37_152_49_125_125_162_92_162_376_380_40_40_40_40_40_40_1379_1379_1379_1379_1379_1379_1379_1379_1379_100_100_100_1379_39_40_40_40_40_376_84_376_415_442_442_414_380_380_380_380_380_380_380_84_25_25_443_443_376_376_376_131_277_415_415_415_442_131_26_84_27_274_276_274_275_275_276_27_274_275_275_273_275_276_380_39_443_443_376_25_443_443_443_127_376_25_25_443_126_126_39_39_1379_1379_1379_1379_380_380_380_380_380_380_380_380_380_415_415_380_380_304_304_390_390_304_381_381_422_280_280_422_281_282_281_422_280_280_422_284_283_283_380_380_381_281_263_283_284_283_283_263_390_390_304_390_390_304_304_304_390_421_421_390_263_282_280_280_422_422_282_263_284_283_283_263_421_390_304_263_263_304_310_310_311_311_310_311_311_311_411_411_434_396_434_316_398_398_132_398_389_132_417_389_389_399_132_132_398_398_132_262_262_384_438_427_427_452_459_329_1297_1376_434_271_262_271_400_1376_1376_412_333_452_134_436_345_1297_329_328_400_400_271_393_393_393_391_391_393_391_393_393_393_392_438_393_392_393_384_384_438_384_403_438_271_262_271_271_384_333_412_424_1376_412_412_427_412_1376_411_333_329_1295_1296_1295_1296_452_345_345_431_430_430_345_345_345_430_430_436_427_428_429_427_427_329_1377_341_434_405_404_404_345_341_455_455_436_436_341_1297_1297_434_333_426_427_426_271_403_403_438_268_271_271_428_428_412_1376_412_411_323_401_324_266_266_383_266_266_266_265_383_266_265_383_271_403_271_271_400_271_323_400_271_320_1377_1377_345_333_28_333_411_394_394_410_261_262_262_271_400_271_271_394_412_1296_320_320_135_455_456_436_429_428_429_428_403_403_394_455_398_398_398_417_398_398_132_417_398_417_398_417_398_390_131_414_437_442_437_437_442_27_276_26_415_442_83_84_84_25_376_437_24_84_379_379_100_100_100_162_162_4_90_4_4_4_4_4_4_4_4_4_38_4_4_4_4
1,5,4,17,18_18_18_18_17
2,4,4,19,19
3,2789,24,20,1153_1293_1207_1207_1154_1208_1293_1293_1207_1154_1207_1153_1207_1201_1201_1207_1153_1293_1153_1207_1207_1207_1153_1293_21_1225_1225_1230_1230_1211_1211_1209_1151_1238_1238_1333_1333_1140_1278_1156_1140_1278_1140_1140_1140_1140_1156_1140_882_1149_1235_1235_1235_1232_1237_1334_1333_1333_1184_1322_1190_1322_1194_1189_1188_1211_1211_1232_1232_1234_1234_1152_1150_1232_1205_881_1209_1211_1228_1230_1230_1230_1230_1228_1228_1231_1231_1231_1230_1229_1209_1211_1211_1211_1211_1211_1225_1225_884_1205_1225_1205_1206_1205_884_884_884_884_884_884_883_1334_1189_1189_1148_1148_1336_1148_1238_1152_1238_1188_1188_1188_1180_1234_1232_1235_1235_1235_1232_1235_1209_1209_1209_1209_1209_1231_1231_1231_1231_1229_1229_1210_1211_1211_1333_1333_1334_1210_1334_1238_1140_1140_1188_1137_1218_1218_1322_1322_1238_1334_1334_1333_1150_1238_1184_1140_1157_1156_1278_1157_1156_1156_1140_1278_1140_1156_1140_1156_1140_1278_1140_1140_1140_1209_1234_1237_1237_1209_1225_1225_1228_1229_1228_1228_881_881_1205_1205_21_1234_1234_1234_1234_1211_1333_1333
4,127,24,55,158_158_158_158_158_158_55_54_159_55_54_159_158_54_158
5,11,5,61,258_61
6,2,2,84,84
7,1,1,110,
8,2,1,116,
9,17,17,135,135
