,F,T,S,E
0,73,15,3,162_50_125_50_3_3_3_91_90_90_3_92_91_125_125_125_3_90_90_50_51_162_162_92_92_91_3_92_50_50_92_51_92
1,47,24,6,109_5_109_5_5_109_5_5_5_109_109_5_109_5_109_5_109_5_109_109_109_109_5_109
2,1,1,8,170_8
3,732,24,9,142_142_72_95_72_95_123_79_76_146_146_15_76_15_110_15_110_146_15_15_15_110_76_146_15_77_110_15_146_15_11_11_152_37_37_152_47_49_152_47_49_48_47_124_49_163_163_37_37_114_114_47_47_49_164_114_90_163_90_37_37_163_49_152_49_152_47_124_124_49_37_114_47_47_152_49_114_114_163_49_152_49_37_49_48_152_124_124_163_37_114_165_164_113_113_74_73_73_97_117_117_118_97_144_73_74_73_95_95_143_123_73_73_116_116_116_96_96_96_1288_1288_123_79_79_15_110_77_76_15_77_146_79_144_79_79_1288_123_1288_1288_96_118_96_96_118_96_97_117_96_118_97_123_79_79_116_142_142_142_142_9_68_68_9_142_142_9_67_9
4,1,1,13,13
5,2280,24,20,1218_1188_1189_881_881_1333_1181_882_1334_20_20_1205_1193_1334_21_1205_1206_1206_1140_1140_1156_1156_1140_1278_1140_1278_1140_1140_1140_1156_1156_1155_1140_1336_1336_1176_1137_1322_1322_1189_1189_1189_1189_1188_1188_1322_1240_1238_1140_1278_1278_1140_1278_1140_1155_1140_1336_1181_1208_1208_1153_1207_876_876_1235_1232_1237_877_877_1174_1174_1150_1181_1181_1151_1238_1238_1143_1181_1336_1180_1180_1192_1235_1232_1235_1232_1234_1234_1234_1232_1235_1235_1234_1234_1235_1235_1235_1207_1207_1153_1201_1207_1207_1180_1232_1232_1207_1234_1235_1235_1234_1234_1235_1234_1209_1211_1211_1211_1193_1210_879_876_1210_1211_1193_1192_1192_879_1234_1234_1207_1150_1150_1181_1238_1238_1238_1152_1238_1238_1151_1152_1152_1238_1148_1181_1184_1184_1336_1193_20_20_20_20_20_20_1333_1334_1334_1336_1336_1191_1211_1211_1336_1209_1229_1229_1228_1228_1231_1231_1230_1231_1230_1230_1231_1231_1229_1228_1229_1228_1211_882_1333_1334_1334_1211_1175_1184_1188_1218_1322_1322_1206_1336_1204_20_20_1204_1210_1334_1225_1225_881_1205_881_21_1206_21_1206_1195_1230_1231_1231_1230_1228_1228_1229_1228_1228_1204_1228_1179_1148_1150_1143_1238_1184_1334_1144_1141_1184_1184_1184_1179_1205_21_1206_21_1205_1211
6,2455,24,29,89_345_341_316_316_416_416_87_88_87_88_87_277_277_89_89_333_28_330_401_394_134_312_412_411_424_427_428_428_424_402_401_400_400_403_402_324_1376_436_436_430_430_345_433_433_430_433_430_430_345_316_436_436_134_459_455_455_436_316_459_28_411_459_436_430_411_459_459_427_401_438_403_403_403_271_271_271_271_403_400_330_321_321_324_428_429_429_427_329_384_271_271_384_384_271_271_271_384_271_271_268_271_262_271_394_434_434_434_323_89_404_131_87_87_277_130_131_131_27_277_277_88_89_341_345_316_436_341_1377_329_1297_1377_341_320_320_1297_1297_320_320_1297_320_320_407_407_434_428_428_428_394_394_394_394_323_323_321_403_271_271_428_428_424_459_455_436_327_1377_1377_430_341_436_316_456_312_412_394_29_312_436_459_456_134_312_412_1376_412_262_271_400_400_400_330_330_425_28_28_412_333_28_436_28_1376_1376_394_324_324_330_324_327_1297_320_320_341_341_341_436_430_432_316_394_394_333_333_28
7,52,24,34,160_161_161_160_161_161_160_161_160_160_160_161
8,3,3,42,380_380_380_42
9,94,24,54,157_159_55_159_157_157_158_54_159_159_157_157_158_158_158
10,411,24,57,65_65_65_56_238_238_238_238_56_56_56_237_238_56_238_56_57_105_105_57_57_105_105_167_167_167_168_66_167_167_167_167_167_167_66_168_167_167_167_167_167_167_167_167_167_167_167_167_58_65_167_65_65_167_167_56_168_168_169_169_168_58_168_56_105_105_56_238_56_56_105_56_104_168_168_168_58_169
11,4,4,68,68
12,15,14,70,70
13,74,24,83,127_25_25_127_127_127_376_443_443_127_376_443_376_85_376_93_100_82_83_127_127_100_100_100_100_100_100_93_100_93_82_127
14,1,1,86,87_86
15,1,1,88,131
16,1,1,90,90
17,2,2,102,101_102
18,25,15,103,7_7_7_7_103_7
19,155,24,106,107_106_234_106_106_106_233_234_234_183_183_239_239_234_107_106
20,1,1,108,108
21,1,1,113,113
22,3,2,116,
23,114,24,121,137_139_138_139_138_101_139_140_138_139_139_140_140_101_120_140_138_139_139_140_139_138_141_140_141_140_101_139_139_138_137_102_101_120_139_139_120_137_120_138_101_120_101_120_101_139_120_101
24,5,3,129,437_441_441_129
25,2,1,132,399_132
26,1,1,133,133
27,11,11,135,135
28,1,1,138,
29,4,3,140,141_140
30,2,1,148,149_148
31,94,24,153,156_154_156_155_35_156_156_154_156_155_154_153_156_155_156_153_156
32,1,1,169,
33,203,24,172,980_980_172_980_172_172
34,2,2,173,227_227_173
35,201,24,178,241_205_242_242_241_179_179_205_242_205_241_241
36,1,1,179,179
37,407,24,181,247_190_186_186_186_186_181_195_247_186_186_181_247_181_247_181_189_190_190_191_189_190_191_186_181_247_197_253_197_196_196_186_185_185_196_186_247_246_246_246_246_246_246_192_201_193_194_192_194_194_189_189_191_189_189
38,6,6,185,185
39,1,1,198,198
40,18,13,208,252_208_208_208_208_252_208
41,1,1,212,213_212
42,4,4,215,807_807_807_807_215
43,764,24,217,950_950_947_951_950_951_951_950_949_813_948_948_216_1356_918_1355_759_759_918_1356_1356_1355_759_970_758_759_970_968_968_969_969_918_761_941_941_761_942_941_918_758_1356_1355_1355_759_918_1355_918_1356_941_761_918_970_1380_1356_1356_917_945_763_216_216_824_763_216_218_812_216_216_812_948_813_215_807_808_974_808_814_219_885_824_783_885_218_824_783_824_824_221_220_221_221_221_221_218_824_824_824_783_824_783_823_1298_909_1298_885_885_887_886_885_886_885_220_764_824_783_221_219_823_216_812_812_763_764_764_763_763_217_948_812_812_811_764_764_764_763_812_216_813_947_948_808_808_814_814_217
44,2,2,221,220_221
45,32,24,222,1384_223_223_223_223_223_223_223_1384_223_1384_223_223_223_223_1384_223_223_223_223_223
46,1,1,229,254_229
47,7,4,249,249_250_249
48,64,19,251,1281_248_248_1281_248_248_248_252_248_252_252_251_1281_248_248
49,18,7,265,266_266_383_383_265_383
50,14,14,267,267
51,1,1,273,273
52,5,3,274,274_275
53,2,2,277,277
54,83,24,278,1197_1202_1202_1202_1208_1199_1208_1202_1202_1199_1199_1199_1198_1199_1199_1208_1208_1208_1202_1202_1199_1197_1199_1202_1208_1208_1199_1199_278_1198_1208_1199_1197_278
55,2,1,283,284_283
56,1,1,288,288
57,4,2,290,460_290
58,2,2,293,294_294_293
59,44,15,296,296_1011_296_1010_296_296_1010_1011_1012_1011_1012_297_297_639_1033_1033_1014_1014_1013_1013
60,567,24,297,1035_1005_1035_1005_1034_1017_1017_1017_1016_1003_1017_1017_1003_1008_1017_1034_1035_1006_1003_1003_1034_1006_1003_1006_1034_1034_1035_1034_1002_1002_1034_1006_1007_1034_1002_1002_1008_1017_1016_1003_1017_1035_1018_1018_1021_1056_1056_1054_1054_301_299_1005_1035_1035_1004_1035_1004_298_298_298_1019_1019_1018_297_297_1019_1019_1035_1035_1004_297_1056_298_300_1018_1018_1035_1005_1004_296_297_1019_1019_1056_1056_301_1054_301_301_1054_1054_301_301_1054_301_301_1019_1019_1056_1018_1018_297_301_1019_1019_1056_1018_1054_1054_1054_1019_1018_303_302_303_302_301_300_1019_1019_1021_1035_1005_1019_1056
61,1,1,309,309
62,23,17,340,338_335_335_329_335_335_335_340
63,4,4,342,342
