,F,T,S,E
0,6,5,29,387_30_30_30_30_30_29
1,1,1,41,42_41
2,2,1,78,1282_78
3,1,1,86,87_86
4,1,1,103,103
5,1,1,108,108
6,2,2,130,129_130
7,1,1,137,138_137
8,1,1,153,156_153
9,3,3,169,168_168_169
10,2,2,217,811_811_217
11,4,3,256,257_61_61_257_256
12,3,2,300,1051_300
13,1,1,305,306_305
14,1,1,309,309
15,1,1,310,310
16,2,1,312,453_388_312
17,2,2,318,319_318
18,75,50,340,329_329_329_329_329_329_329_329_329_329_329_329_329_329_329_329_329_329_329_327_329_329_329_329_328_328_329_329_329_327_327_327_327_329_327_329_328_329_329_329_329_329_329_329_329_329_329_329_329_329_329_329_329_329_340
19,1,1,360,632_360
20,1,1,366,543_366
21,1,1,370,532_370
22,2,2,383,265_383
23,10,5,385,325_325_424_326_424_326_326_325_385
24,2,1,386,386
25,1,1,395,395
26,1,1,397,397
27,1,1,413,414_413
28,3,1,484,733_539_484
29,1,1,486,1357_486
30,2,2,487,528_528_487
31,1,1,498,499_498
32,3,2,505,713_713_505
33,1,1,508,509_508
34,1,1,526,526
35,1,1,533,533
36,5,5,536,537_537_537_537_537_536
37,7,6,542,543_543_543_543_366_543_542
38,1,1,544,721_544
39,2,2,549,548_549
40,2,2,575,352_575
41,1,1,578,578
42,1,1,580,580
43,1,1,581,634_581
44,1,1,585,712_585
45,7,5,614,354_354_614
46,1,1,620,745_620
47,1,1,654,654
48,1,1,674,1308_674
49,6,4,677,462_677
50,5,5,679,1255_1255_1255_1255_1255_679
51,1,1,681,681
52,2,1,686,686
53,1,1,691,692_691
54,1,1,695,696_695
55,1,1,706,707_706
56,2,2,715,643_715
57,3,2,736,735_736
58,1,1,751,751
59,1,1,755,755
60,14,9,759,917_917_917_917_759_759_917_917_917_917_917_760_759
61,4,2,771,794_851_772_772_771
62,1,1,812,812
63,1,1,831,1299_831
64,1,1,837,837
65,3,3,838,837_838
66,1,1,856,856
67,1,1,865,865
68,19,8,866,864_865_864_862_863_867_866
69,1,1,933,933
70,3,3,937,938_1387_1387_937
71,1,1,962,962
72,2,2,988,995_995_988
73,1,1,993,994_993
74,1,1,1004,1020_1004
75,1,1,1005,1005
76,1,1,1007,1007
77,8,4,1008,1017_1009_1009_1008_1017_1016_1008
78,1,1,1009,1009
79,1,1,1040,1040
80,1,1,1048,1048
81,1,1,1058,1059_1058
82,1,1,1061,1066_1061
83,1,1,1065,1065
84,1,1,1073,1095_1073
85,1,1,1121,1121
86,1,1,1126,1128_1126
87,7,5,1136,1137_1137_1137_1136
88,1,1,1141,1141
89,4,4,1143,1144_1144_1144_1144_1143
90,2,2,1174,1180_1180_1174
91,2,1,1175,1191_1175
92,7,3,1177,1336_1178_1342_1178_1177
93,1,1,1179,1190_1179
94,1,1,1186,1186
95,2,1,1195,1334_1335_1195
96,1,1,1196,1196
97,1,1,1248,1251_1248
98,2,2,1280,1280
99,4,3,1294,387_387_1294
100,1,1,1310,1310
101,1,1,1323,1323
102,2,2,1342,1335
103,1,1,1351,1351
104,4,4,1358,1362_1362_1362_734_1358
105,1,1,1371,1374_1371
106,1,1,1381,1381
107,4,2,59,166_64_59
108,1,1,148,149_148
109,1,1,231,243_231
110,1,1,268,269_268
111,3,2,297,1035_1004_297
112,3,2,299,1018_298_299
113,2,2,317,317
114,1,1,353,451_353
115,1,1,355,355
116,1,1,406,406
117,1,1,432,433_432
118,5,3,463,490_463
119,2,2,477,476_477
120,1,1,497,497
121,1,1,512,512
122,1,1,513,730_513
123,1,1,535,535
124,1,1,545,555_545
125,1,1,552,553_552
126,1,1,579,579
127,1,1,583,583
128,1,1,584,584
129,1,1,618,618
130,1,1,647,647
131,1,1,653,653
132,2,1,665,738_665
133,2,2,671,752_671
134,1,1,678,678
135,2,2,680,630_680
136,1,1,685,685
137,1,1,707,707
138,1,1,710,710
139,3,2,718,719_1290_718
140,1,1,733,733
141,1,1,734,734
142,1,1,749,749
143,2,2,753,754_754_753
144,1,1,761,761
145,2,2,781,782_782_781
146,2,2,791,791
147,4,3,844,845_845_844
148,1,1,853,859_853
149,1,1,869,1360_869
150,2,1,899,902_899
151,1,1,900,900
152,1,1,909,1298_909
153,1,1,967,968_967
154,1,1,1020,1021_1020
155,1,1,1062,1081_1062
156,1,1,1082,1082
157,1,1,1090,1095_1090
158,1,1,1167,1167
159,1,1,1183,1183
160,1,1,1216,1216
161,1,1,1217,1217
162,3,2,1234,1232_1233_1234
163,1,1,1243,1243
164,1,1,1257,1257
165,1,1,1291,1291
166,1,1,1308,1309_1308
167,2,2,1333,1334_1334_1333
168,1,1,1356,1356
169,1,1,1361,1361
170,1,1,1386,1386
171,5,5,31,32_32_32_32_32_31
172,4,3,132,399_399_399_132
173,1,1,140,140
174,1,1,149,149
175,1,1,160,161_160
176,1,1,254,254
177,2,2,265,383_265
178,1,1,269,269
179,2,2,295,1049_1049_295
180,1,1,305,306_305
181,1,1,315,315
182,10,4,331,395_395_331_396_395_386
183,1,1,332,332
184,1,1,352,352
185,2,2,366,366
186,1,1,430,431_430
187,1,1,446,447_446
188,1,1,504,504
189,2,2,508,509_509_508
190,1,1,517,518_517
191,1,1,533,533
192,1,1,546,546
193,3,3,548,549_549_548
194,1,1,551,551
195,1,1,555,555
196,1,1,568,568
197,1,1,590,590
198,1,1,623,623
199,1,1,632,632
200,2,1,634,635_634
201,1,1,641,704_641
202,1,1,654,654
203,2,2,670,670
204,6,4,686,1357_1357_486_686
205,1,1,700,700
206,1,1,719,719
207,1,1,740,740
208,5,4,742,606_606_742
209,2,1,745,745
210,2,2,847,790_847
211,1,1,855,905_855
212,1,1,856,856
213,1,1,908,908
214,1,1,918,918
215,1,1,942,942
216,1,1,1007,1034_1007
217,1,1,1051,1051
218,2,2,1061,1065_1061
219,1,1,1076,1076
220,1,1,1079,1080_1079
221,1,1,1121,1121
222,1,1,1123,1123
223,1,1,1158,1159_1158
224,2,1,1164,1166_1165_1164
225,1,1,1175,1191_1175
226,1,1,1186,1186
227,1,1,1215,1215
228,1,1,1218,1218
229,2,2,1227,880_1227
230,3,2,1247,1251_1249_1248_1247
231,1,1,1274,1275_1274
232,1,1,1282,1282
233,1,1,1289,1289
234,1,1,1316,1316
235,1,1,1318,1319_1318
236,1,1,1335,1335
237,1,1,1370,1370
238,1,1,1382,1382
