,F,T,S,E
0,783,24,1,49_152_152_114_161_99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_161_161_161_160_161_161_99_99_99_99_99_161_161_161_99_154_154_155_156_154_154_156_154_154_156_154_156_155_156_156_156_155_154_156_155_154_36_114_163_49_49_48_4_91_4_4_125_125_162_50_51_162_125_125_50_92_125_4_4_4_90_4_90_4_90_90_4_4_90_4_90_4_90_92_92_90_4_90_4_90_125_125_125_125_125_162_125_90_4_91_4_90_4_4_90_4_92_91_92_92_162_125_125_125_51_92_92_91_4_4_4_91_4_4_2_124_152_124_163_49_152_152_152_163_49_124_163_49_152_47_49_37_164_37_151_113_164_164_148_165_165_1341_148_148_149_149_148_164_164_37_47_49_152_47_47_152_37_114_152_124_163_152_152_1
1,7,7,5,188_188_188_188_188_188_188_5
2,70,24,6,5_188_188_5_5_5_109_5_5_109_5_5_5_109_5_5_5_109_5_5
3,51,24,7,103_103_103_103_103_103_103_103_103
4,46,20,8,170_170_170_170_170_170_170_170_170_170_170_170_170_170_8
5,2470,24,9,68_68_9_142_68_95_9_116_66_238_179_241_241_179_204_238_238_242_238_238_238_56_1287_1287_116_95_123_95_95_69_76_76_146_76_77_111_96_32_184_101_121_120_233_233_234_108_108_234_234_234_239_239_108_108_234_182_182_183_182_184_184_139_120_120_120_101_101_102_139_184_184_184_140_120_120_120_141_141_141_140_184_184_184_184_139_140_120_141_184_184_184_139_139_120_101_120_102_120_140_32_32_117_96_167_167_167_1287_167_167_167_167_167_167_167_66_1287_105_58_105_167_167_167_167_167_167_167_167_167_123_123_123_74_167_167_167_69_79_110_76_110_110_146_146_15_15_110_110_15_15_146_15_69_110_110_146_15_146_15_147_15_75_15_15_146_15_95_73_1288_73_95_169_169_167_167_169_169_120_120_184_141_139_120_120_120_120_184_120_184_120_120_140_140_184_97_1288_95_69_13_95_117_169_169_60_238_238_241_241_242_179_241_179_238_105_105_105_66_66_96_1288_1288_9
6,4,4,11,11
7,41,24,17,258_258_258_258_258_258_258_258_258_258_258_258_258_258_258_61_258_258_258_258_258_258_258_258_17
8,3282,24,20,1238_884_1201_1293_1235_1235_1235_1293_1293_1207_1207_21_1225_1140_1278_1156_1156_1278_1140_1278_1278_1140_1140_1140_1156_1156_1153_1211_1334_1334_1211_20_1211_1211_1234_1211_1150_1150_1322_1188_1205_21_21_1333_1334_1334_1209_1211_1229_1231_1230_1231_1230_1230_1229_1228_1228_1205_1205_1205_881_1211_1235_1235_1235_1235_1336_1238_1238_1238_1238_1152_1148_1238_1152_1152_1151_1152_1184_1182_1148_1211_1209_1229_1230_1231_1231_1230_1229_1334_1209_1205_1225_1225_1205_1188_1137_1188_1188_1238_1238_1152_1151_1152_1151_1151_1238_1141_1333_1333_1195_1322_1322_1148_1148_1150_1209_1209_1211_876_1228_1231_1230_1231_1230_1229_1230_1230_1229_1228_1211_1234_1234_1226_1201_1234_1209_1180_1152_1150_1151_1238_1225_1205_1235_1235_1234_1235_1235_1234_877_1234_1235_1235_1234_1234_1201_1148_1222_1222_1218_1217_1222_1222_1222_1223_1133_1133_1133_884_884_883_1217_1215_1222_1223_1222_1223_1217_1217_884_884_884_1133_1222_1218_1223_1223_1133_884_884_884_1322_1197_1199_1202_1199_1202_1208_1208_1202_278_1197_1203_1208_1208_1199_1199_1208_1199_1208_1208_1202_1202_1197_1209_1197_1199_1199_1202_1197_1208_1209_1203_1197_1208_1199_1208_1199_1199_1197_1209_1197_1199_1197_278_1209
9,2934,24,28,271_271_271_403_410_400_401_1295_1295_1295_1295_1296_1296_1376_1376_1376_434_438_403_438_403_384_384_271_271_271_262_271_271_384_384_265_265_383_383_429_429_428_428_427_1377_1377_430_452_133_133_312_436_134_459_459_321_321_321_428_427_428_411_1376_394_411_329_412_412_400_400_321_321_321_321_321_262_262_384_438_403_438_403_271_262_271_271_434_452_1377_1297_1377_1377_1377_1377_1377_1377_1377_320_404_434_430_430_316_316_320_1297_455_455_455_436_436_345_345_436_320_320_320_320_320_341_459_459_320_320_320_333_333_333_452_404_452_428_427_271_323_1376_28_428_330_333_333_333_28_459_133_436_1297_320_320_133_89_312_341_320_452_452_428_333_28_271_262_410_330_400_401_400_330_271_271_330_402_438_403_403_402_271_402_434_394_394_412_412_394_329_333_321_400_401_403_271_428_428_426_394_412_411_333_333
