,F,T,S,E
0,161,24,3,90_4_4_4_4_90_90_4_4_4_4_4_4_4_92_91_92_92_91_4_4_38_90_90_4_4_4_91_92_92_4_4_4_90_4_4_4_125_125_125_125_125_162_50_50_51_125_162_51_125_4_4
1,163,24,5,109_109_5_109_5_5_109_5_109_5_109_5_5_109_5_109_5_5_103_103_7_103_5_188
2,2718,24,9,142_142_142_68_68_116_56_168_168_167_167_167_59_167_167_167_167_167_66_97_95_96_167_167_167_167_167_167_167_167_105_238_238_238_56_238_56_56_238_238_241_178_241_241_179_242_242_178_241_179_179_238_238_167_167_167_169_168_105_167_146_15_75_110_110_110_95_79_95_143_70_79_71_70_143_95_97_117_32_32_96_96_32_119_117_32_32_32_234_234_233_106_234_233_182_234_182_182_182_234_108_108_182_182_182_182_182_234_234_108_108_182_182_234_182_182_108_108_108_239_239_182_182_182_184_139_139_141_140_140_120_120_120_120_138_137_139_138_141_141_120_120_120_120_101_139_139_141_139_120_102_102_121_102_140_32_32_32_139_139_120_120_140_120_120_139_139_120_101_120_31_118_1288_123_123_1288_73_72_165_152_152_113_152_152_49_152_47_47_49_152_113_113_152_47_152_47_152_37_114_113_49_152_47_152_152_37_47_49_37_113_37_163_90_163_37_124_49_47_152_37_152_152_114_163_37_37_152_2_124_124_152_124_90_90_152_37_152_152_37_165_164_148_148_149_149_148_148_165_165_165_164_165_165_165_99_99_99_33_33_66_168_117_14_95_11_99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_97_116_123_1288_1288_112_13_73_144_110_145_110_110_146_15_15_15_76_146_146_15_15_15_146_15_75_15_75_146_15_75_15_15_15_75_15_145_110_69_169_167_179_241_1287_105_105_168_167_167_66_117_167_66_169_168_105_105_56_105_105_168_9_9_142_142_9_68_68_9_9_142_9_68_67_116_9_9_67
3,24,24,17,18_18_18_18_18_18_18_18_18_18_18_18_18_18_18_18_18_18_18_18_18_18_18_18
4,2810,24,20,1156_1156_1156_1278_1278_1140_1232_1235_1235_1201_1201_1207_1240_1238_1180_1230_1229_1229_1228_1230_1228_1230_1230_1229_1333_1143_1143_1238_1238_1141_1143_1238_1152_1238_1238_882_1334_1336_1235_1232_1235_1232_1234_1237_1211_1211_1211_1211_1211_877_879_881_881_1204_1205_1205_1225_1205_1225_21_21_21_1322_1322_1136_1322_1222_1223_1222_1218_1218_1222_1223_1223_1223_1222_1223_1215_1223_1222_1215_1217_1222_1322_1232_1234_1207_1293_1207_1207_1153_1293_1207_1154_1235_1235_1235_1235_879_278_1209_1210_1206_882_1334_1334_1140_1156_1238_1238_1238_1150_1152_1152_1152_1152_1152_1238_1238_1152_1184_1333_1333_1204_1334_884_883_883_1225_1225_1205_1225_1322_1322_1322_1218_1189_1230_1231_1229_1230_1228_1228_876_876_1234_1234_1235_1235_1235_1235_1234_1234_1237_1211_1211_1237_1234_1150_1240_21_1205_21_884_884_1133_1133_1223_1222_1222_1218_1215_1222_1223_1217_1222_1223_1222_1217_1218_882_21_1228_1231_1231_1230_1230_1229_1230_1228_1210_1210_1234_1235_877_1176_1336_1334_1334_1176_1148_1148_1152_1152_1238_1184_884_884_883_882_1336_1184_1240_1142_1334_1334_1209_1209_1211_1210_1230_1231_1231_1228_881_1211_1148_1148_884_1225_881_881_1225_1225_1205_21_1180_1181_1148_1184_1234_1234_1153_1199_1199_1202_1208_1199_1202_1197_1202_1197_1197_1197_1197_1197_1197_1202_1197_1197_1208_1199_1202_1197_1197_279_1197_1198_279_278_279_278_1202_1153_1201_1293_1153_1234_1235_1234_1148_1148_1148_1142_1278_1140_1322_1188_1188_1188_1205
5,3849,24,28,391_403_391_438_391_391_438_403_403_400_400_410_396_394_384_403_341_454_1377_411_271_262_271_402_402_434_404_404_434_434_1376_329_330_271_261_1372_261_262_262_271_271_384_384_271_271_271_271_271_262_261_271_400_401_402_428_425_428_428_427_428_429_429_428_394_333_333_28_1376_459_459_459_459_456_328_459_455_455_436_436_436_430_430_431_1297_1297_1297_320_1297_1377_1377_459_1376_1376_434_434_436_436_1376_1376_411_404_404_26_26_26_26_26_277_26_26_277_274_274_274_275_275_275_274_274_273_274_275_27_274_274_275_275_275_275_26_26_276_276_442_441_437_442_437_437_129_88_415_416_415_442_442_442_442_87_87_416_415_414_87_443_443_443_443_380_41_380_41_380_41_380_41_380_41_380_41_376_443_443_380_41_380_41_380_41_380_41_380_41_380_41_380_380_380_380_380_263_380_380_380_380_26_25_25_24_24_84_84_376_376_85_376_127_85_443_128_443_443_84_84_93_93_100_100_100_93_100_100_93_93_100_100_100_93_93_93_26_25_26_26_25_25_25_24_24_84_85_380_41_380_41_442_442_442_87_131_276_27_274_274_274_275_379_379_379_27_27_379_131_86_26_436_316_341_316_436_436_406_345_345_345_345_432_406_135_399_398_398_398_398_398_399_452_454_396_436_433_316_398_46_46_46_45_46_46_46_45_390_44_390_304_417_417_398_398_417_132_417_398_132_417_132_417_399_398_390_396_428_427_428_427_424_333_333_321_329_329_1377_1377_1377_320_345_345_345_320_341_436_436_29_427_428_428_324_428_429_384_271_271_262_271_328_436_455_1376_394_333_406_406_434_388_407_400_400_400_400_401_271_262_271_266_266_266_266_265_383_266_383_266_266_266_402_402_323_329_320_1377_1377_1297_320_452_323_330_400_400_262_271_271_330_384_271
6,87,24,34,161_161_161_161_161_161_161_161_161_161
7,72,13,35,155_154_154_154_154_155_156_155_35_153
8,11,10,36,36
9,147,24,43,310_310_311_311_311_311_311
10,132,24,54,158_158_157_157_158_54_55_159_158_157_54_54
11,2,2,61,258_258_61
12,2,1,116,116
13,13,13,122,122
14,6,3,148,148_149
15,4,4,150,150
16,185,24,172,984_980_980_984_980_980_172_984
17,16,16,177,177
18,466,24,180,247_195_189_191_189_191_189_191_191_189_189_191_189_186_246_246_186_186_186_189_189_190_191_189_191_189_186_253_253_197_197_196_181_247_181_247_247_247_195_247_195_185_194_247_247_189_186_186_186_192_192_194_194_246_189_189_191_186_247_180
19,1,1,195,
20,14,14,198,198
21,209,24,208,208_252_228_227_227_227_228_228_228_228_228_227_227_227_227_227_227_227_227_228_227_228_228_227_800_799_839_800_839_840_792_792_841_913_227_173_174_799_792_792_792_227_227_252
22,1,1,212,798_212
