,F,T,S,E
0,184,30,5,109_109_109_109_109_103_103_109_5_109_5_109_5_109_5_109_5_109_5_188_5_109_5_103_103_109_5_5_109_109_109_188_5_109_5_109_5_5_5_109_188_188_109_109_5_5_103_103_103_103_170_9_170_9_170_9_170_170_170_8_170_9_170_9_9_9_142_142_142_67_142_67_142_142_142_142_142_142_142_142_9_8_103_109_7_103
1,1,1,8,170_8
2,56,20,13,72_14_71_14_72_72_72_14_72_14_72_14_143_72_14_14_143_74_73_113_73_74_73_73_72_14_14_72_14_72_14_72_14_72_14_12_143_95_95_12_143_72_14_14_72_14_144_73_72_13
3,1,1,17,18_17
4,1,1,28,333_28
5,736,30,29,387_30_387_387_327_30_30_387_395_395_385_384_330_271_268_271_271_268_438_403_403_402_385_326_325_424_327_426_425_425_329_328_328_327_262_271_384_387_387_332_387_387_387_387_396_396_329_329_328_328_328_329_328_329_329_329_30_30_30_30_387_387_387_331_332_332_387_30_456_134_134_454_315_316_454_314_316_313_314_312_134_388_134_314_312_312_30_312_314_30_312_134_314_313_315_433_316_315_436_315_314_312_30_134_402_384_268_271_384_384_385_426_428_424_427_428_424_424_425_426_427_426_325_271_271_271_271_269_268_403_438_438_384_403_384_402_402_326_427_425_427_426_427_424_426_425_426_425_424_402_271_268_330_402_402_395_324_394_394_394_331_402_384_330_402_387_396_396_395_456_314_134_312_1294_30_29_30_29_30_1294_328_327_328_329_327_387_395_395_394_331_324_331_402_384_271_403_384_384_401_330_330_402_402_385_395_425_326_395_331_395_331_331_331_384_384_385_271_268_324_387_30_30
6,1,1,34,160_34
7,32,14,42,263_263_380_40_40_40_40_40_40_40_40_41_380_380_380_263_380_380_380_380_380_380_380_42
8,29,11,43,310_310_308_308_43_310_309_43_310
9,7,3,51,92_91_92_125_50_51
10,22,22,53,52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_53
