,F,T,S,E
0,3692,24,1,90_163_152_152_47_47_49_124_124_49_152_113_37_152_47_49_124_152_48_37_113_114_113_152_47_124_49_152_37_152_124_114_37_152_152_49_152_152_152_38_38_38_4_4_90_4_4_162_125_50_125_125_125_162_4_92_92_4_4_91_4_4_4_4_92_91_4_4_2_124_124_163_124_154_154_155_155_161_99_99_99_99_161_99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_161_161_161_156_156_154_154_154_154_156_154_156_154_154_155_155_36_38_37_38_163_4_4_92_92_4_4_4_4_1_125_162_162_51_162_4_4_4_4_4_90_90_38_90_38_152_165_164_165_165_165_165_37_152_152_37_37_37_152_37_113_74_70_95_70_69_70_79_76_110_15_15_146_111_70_15_15_15_110_146_146_15_15_15_145_110_145_110_15_75_75_15_15_147_15_15_110_110_73_123_123_97_118_118_32_32_32_32_32_32_139_120_102_102_101_101_120_139_184_184_138_140_120_139_120_120_120_139_120_101_120_102_101_101_102_141_141_141_141_140_141_139_120_120_139_120_102_102_101_102_120_139_139_120_120_234_234_234_233_234_234_108_233_234_234_182_234_108_108_183_182_183_108_108_108_182_182_184_32_32_32_32_238_179_179_179_241_179_241_242_242_242_179_180_179_179_179_105_1287_169_167_167_167_167_167_167_167_105_167_167_167_105_105_167_167_167_66_184_184_184_184_184_97_97_167_167_167_167_167_168_66_66_168_105_1287_238_238_238_238_238_238_105_168_105_56_167_167_66_169_169_105_167_167_60_142_68_68_116_68_142_68_68_170_188_5_5_109_5_188_5_5_188_5_5_188_188_188_188_188_188_188_188_188_188_188_188_188_170_170_170_103_170_170_68_68_14_112_170_68_170_103_5_103_103_170_8_170_9_142_68_116_167_167_1287_105_120_120_141_120_120_140_120_120_139_120_120_101_138_31_1288_73_79_70_79_123_1288_13_95_117_105_105_169_110_152_16_16_16_16_16_16_16_16_16_0
1,29,10,17,258_258_18_18_259_17
2,2604,24,20,1235_1235_1232_1237_1234_1234_1335_1240_1240_1156_881_1205_20_1322_1322_1188_1188_20_1205_20_1210_1234_1235_1235_1232_1207_1207_1197_1199_1202_1202_1208_1208_1238_1238_1278_1278_1278_1140_1155_882_21_21_1206_1206_1225_1225_1205_21_1206_1334_1336_1237_1235_1232_1232_1234_1234_1207_1207_1208_1293_1208_1207_1154_1153_1293_1207_1154_1153_1201_1201_1150_1238_1238_1143_1141_1205_881_1225_1205_1188_1188_1189_1133_884_1133_1140_1140_1140_1140_1140_1278_1140_1278_1140_1278_1278_1156_1156_1140_1278_1140_1278_1140_1140_1140_1143_1143_1240_1148_1240_1238_1238_1238_1322_1188_1188_1188_1209_1209_1209_1211_1211_1209_1209_1211_1211_1211_1333_1333_1333_1333_1333_1333_1195_1334_1231_1231_1231_1228_1228_1228_1231_1229_1230_1231_1230_1229_1230_1229_1228_1206_1225_1225_1205_881_1191_1150_1150_1234_877_1234_1234_1235_1232_1235_1237_1203_1203_1209_1209_1211_1211_1209_884_1322_884_883_1225_1225_1205_1205_1230_1231_1230_1228_1228_1229_1228_1211_1211_1150_1232_1218_1188_1188_1184_1179_1152_1152_1150_1150_1238_1151_1144_1191_1211_1237_1237_1234_1234_1153_1293_1293_1228_1230_1228_1205_1225_1211_1211_1193_1322_1218_1194_1156_1278_1322_1150_1150_1238_1238_1152_1150_1238_1152_1152_1238_1238_1148_1180_1234_1237_1209_1176_1148_1148_1205
3,29,13,21,21_21_21
4,4096,24,28,428_400_410_271_403_403_403_384_266_265_265_266_266_452_452_452_432_345_430_433_432_1377_1377_1376_1297_1297_329_320_320_430_1297_1377_1377_1297_430_430_452_384_271_271_271_271_403_331_434_428_428_428_427_429_429_429_429_428_427_1375_1374_261_261_1375_271_434_1297_394_396_402_427_427_271_261_262_262_271_271_438_403_403_403_324_400_400_321_411_402_323_323_401_333_333_456_459_329_135_132_398_398_399_417_132_398_390_390_390_132_398_398_398_399_132_459_436_459_459_389_390_46_46_46_46_45_46_46_45_44_333_333_333_333_333_333_412_1376_411_396_434_345_452_329_1297_1377_1297_320_345_345_430_436_404_405_316_345_430_320_341_436_459_455_455_399_398_398_398_455_455_1297_335_340_340_135_436_394_394_324_323_321_321_323_321_324_321_323_400_400_330_271_403_262_271_427_320_320_434_271_271_262_262_261_261_1374_1375_1375_261_261_261_261_262_271_402_402_424_429_428_402_262_271_271_271_436_436_404_434_434_407_26_379_26_26_131_442_437_437_380_380_380_380_380_380_380_380_380_380_380_380_380_380_41_40_39_380_310_310_311_310_311_380_39_39_39_39_380_39_380_380_380_311_311_263_282_381_282_263_281_422_422_281_381_263_263_283_282_422_440_422_439_280_422_440_422_280_422_440_263_381_282_282_263_380_380_39_26_25_41_376_127_84_84_443_376_376_85_443_276_275_276_274_274_275_275_275_333_26_26_442_415_415_441_441_129_129_277_131_379_277_129_129_441_437_442_441_379_415_415_416_416_129_437_437_442_416_127_84_84_443_443_442_442_442_415_415_26_276_27_25_84_443_127_84_85_128_442_26_86_131_432_345_454_345_345_320_412_28_329_341_312_384_266_383_266_266_266_383_266_383_271_271_410_400_402_271_330_402_428_429_427_427_1376_333
5,143,24,54,159_158_158_158_158_157_158_158_157_158_158_158
6,1,1,61,61
7,1,1,68,
8,83,22,83,93_82_82_93_93_93_100_100_93_93_93_100_84_83
9,2,2,94,1379_1379_94
10,1,1,108,
11,27,21,122,101_101_122
12,1,1,141,141
13,17,13,148,149_148_148_148_148_148_148_148_149_148
14,15,15,150,150
15,167,24,172,984_980_980_984_984_172
16,7,7,173,227_227_227_227_227_227_227_173
17,1,1,176,872_176
18,24,24,177,
19,498,24,181,247_199_189_189_189_189_186_192_192_189_189_191_190_186_186_186_190_189_189_189_189_191_191_247_247_195_194_181_195_247_195_194_247_247_246_186_181_247_246_186_186_189_191_191_189
20,1,1,194,194
21,156,24,207,209_209_209_209_227_228_227_227_227_227_227_800_227_227_174_799_799_800_800_840_800_227_227_228_209_209_209_209_228_209_252_207
22,9,4,215,807_807_814_814_808_808_807_215
23,467,24,216,813_783_885_824_218_218_886_885_885_903_784_784_811_763_812_813_949_951_951_951_950_950_951_951_951_813_951_947_807_215_215_807_813_811_811_217_763_812_216_811_216_812_813_813_808_814_807_808_814_813_948_813_813_811_219_219_216_216_885_886_886_885_824_783_218_823_784_824_824_885_903_1331_1332_1332_1331_1331_1331_1329_1330_1331_1329_1332_1330_1330_1330_921_920_785_785_784_784_783_219_811_811_811_216
24,11,7,222,223_1384_223_222_223
25,9,6,225,225_225_224_225
26,2,2,228,228
27,1,1,235,235
28,83,22,248,1281_251_1281_1281_248_248_251_248
29,2,2,250,249_250
30,24,24,267,
31,2,1,272,273_272
32,19,7,278,1202_1199_1199_1197_1198_1197_1198_1197_1197_278
33,4,2,283,284_284_283
34,463,24,288,289_732_287_289_289_287_289_287_289_521_489_677_461_461_677_461_489_290_290_491_461_678_678_677_461_490_464_677_677_461_461_461_490_290_460_491_491_489_290_460_489_461_461_678_678_713_503_503_504_503_504_504_1370_713_713_1370_1370_1370_1370_466_466_465_677_465_678_677_504_713_503_1370_713_465_678_504_503_504_465_466_466_678_677_677_510_489_491_460_464_461_464_491_290_464_464_464_462_464_464_489_290_290_460_489_489_489_489_489_489_489_509_464_462_677_461_461_461_464_460_491_290_489_290_290_290_289_289_732_287_287_289_287_289_289_289_289_289_289_290_289_521_289_732_520_520_521_520_289_287_289_289
35,55,13,295,1030_294_295_296_295_1032_1032_1032_1011_1012_1012_296_1012_296_1013_1010_1011_1010_1012_1011_1012_296_295_1049_1012_1013
36,6,2,297,1035_1004_297
37,340,24,298,1015_1015_1019_301_300_1054_1054_300_300_1015_303_303_302_302_1054_1051_1054_1054_300_303_302_301_301_1054_301_1021_1021_1035_1004_1018_1019_1019_1021_1021_1004_1021_301_1005_1004_1012_296_1018_1018_1019_299_298_297_297_1004_1056_1056_1018_298_1019_297_1005_1005_1004_1004_1019_1056_1019_1018_1035_1036_1035_1005_1005_1004_297_1004_1036_1035_1036_1036_1035_1056_298_1018_1019_1021_1019_1021_1021_1021_298_298_1021_1021_1019_1056_301_301_303_302
38,1,1,311,311
39,2,2,338,339_337_338
40,5,5,340,340
41,1,1,345,
