,F,T,S,E
0,1,1,3,90_3
1,4,2,12,78_79_78_1282_12
2,1,1,21,1206_21
3,1,1,49,49
4,6,2,51,91_92_51
5,4,3,55,157_157_55
6,4,3,57,104_105_104_57
7,1,1,60,60
8,3,3,68,67_67_68
9,7,1,72,95_143_1288_113_74_73_72
10,3,2,83,100_83
11,2,2,85,84_85
12,1,1,86,86
13,2,1,87,130_87
14,1,1,88,88
15,1,1,107,107
16,1,1,110,145_110
17,1,1,111,111
18,5,3,123,1288_96_1288_96_123
19,1,1,125,125
20,2,2,153,153
21,3,1,154,156_155_154
22,1,1,158,158
23,1,1,181,196_181
24,3,1,183,240_183
25,3,2,197,200_201_201_197
26,1,1,199,199
27,2,1,212,214_213_212
28,1,1,220,221_220
29,3,2,225,932_932_775_225
30,1,1,229,244_229
31,1,1,233,234_233
32,1,1,249,894_249
33,1,1,269,269
34,21,8,270,271_410_401_401_402_402_402_330_330_268_268_385_270_269_270
35,1,1,273,273
36,1,1,276,276
37,1,1,280,281_280
38,1,1,289,521_289
39,2,2,290,460_290
40,2,2,291,292_291
41,1,1,293,294_293
42,5,2,296,1012_294_295_296
43,1,1,297,297
44,2,2,300,1051_1051_300
45,4,2,301,302_301
46,3,1,305,306_305
47,1,1,311,311
48,1,1,313,313
49,2,2,314,314
50,1,1,315,315
51,1,1,316,316
52,1,1,317,318_317
53,8,2,319,1297_435_454_341_319
54,2,1,324,386_331_324
55,2,2,326,424_326
56,51,13,329,335_328_329_335_316_319_408_314_313_313_315_315_314_435_435_454_454_316_454_341_316_341_320_320_329_329_329_329_329_329_329_329_340_328
57,2,2,346,593_593_346
58,3,2,355,563_563_355
59,3,2,361,655_654_655_361
60,12,2,362,1312_638_1289_549_552_364_363_362
61,2,1,365,717_553_365
62,27,4,366,543_543_544_367_483_485_483_483_484_685_538_368_717_551_552_552_553_365_366
63,15,3,369,751_370_485_1357_486_1358_1357_685_686_369
64,11,2,371,528_528_527_535_534_535_533_533_532_532_370_371
65,1,1,374,374
66,1,1,382,382
67,1,1,391,438_391
68,1,1,392,393_392
69,2,2,401,400
70,1,1,411,412_411
71,2,1,418,419_418
72,6,3,426,427_425_426
73,1,1,437,441_437
74,2,1,447,747_447
75,32,7,449,557_559_576_559_576_664_664_557_448_447_351_558_449_449_448_564_564_557_559_557
76,2,1,450,451_450
77,2,1,458,459_458
78,3,1,460,463_490
79,2,1,461,462_461
80,5,3,465,506_465_466_465
81,2,1,468,469_468
82,2,1,473,752_753_473
83,1,1,476,477_476
84,3,1,487,529_488_487
85,1,1,491,491
86,26,8,494,495_1013_1013_1014_1014_1011_1011_1012_1012_295_296_295_296_1013_1013_1014_639_495_494
87,6,5,504,503_503_503_504
88,15,5,526,751_531_487_528_528_527_371_526
89,1,1,544,
90,1,1,545,545
91,2,1,546,740_546
92,2,1,550,550
93,5,3,560,743_743_561_560
94,14,3,566,1320_568_585_568_567_1320_565_1320_566
95,1,1,577,578_577
96,3,2,583,582_583
97,5,4,586,573_572_573_586
98,3,2,589,596_596_589
99,1,1,590,590
100,1,1,591,591
101,1,1,611,611
102,11,7,614,663_663_663_614_614_354
103,2,2,635,636_636_635
104,13,6,647,444_347_647_648_648_647_444_347_347_584_647
105,2,2,648,649_648
106,1,1,651,651
107,1,1,654,
