,F,T,S,E
0,80,30,2,4_4_91_4_4_4_4_4_4_4_4_4_4_4_4_92_92_4_4_4_4_90_4_4_4_90_91_4_90_91_4_4_4_91_4_4_4_92_92_91_91_4_4_2
1,203,30,6,109_109_5_109_5_5_5_109_188_188_5_109_109_109_188_188_188_109_103_103_109_109_188_188_188_5_103_103_109_188_5_188_109_109_5_109_5_109_5_109_188_188_188_188_5_109_109_109_109_5_188_103_103_103_103_103_170_170_170_170_170_170_170_170_170_170_8_170_170_170_170_170_170_170_170_103_188
2,1,1,9,67_9
3,1,1,13,72_13
4,20,19,17,258_258_258_258_258_258_258_258_258_258_258_258_258_258_258_258_258_258_258_18_17
5,2084,30,25,127_127_86_437_441_441_129_441_441_131_87_87_86_380_380_380_380_380_380_380_380_380_42_380_380_380_380_380_380_380_380_380_39_40_39_39_40_41_41_380_380_380_263_380_42_443_84_85_376_127_127_127_85_376_376_127_127_88_87_26_26_26_276_276_27_272_273_273_274_275_274_274_275_275_276_134_324_427_426_429_428_428_427_402_385_401_271_270_268_268_269_384_424_328_329_329_328_328_328_328_329_328_268_271_269_271_411_329_328_329_328_327_134_436_436_407_388_388_454_316_316_89_89_314_89_388_435_454_1377_1377_328_1297_1297_1297_454_1297_1297_1297_327_387_30_30_394_271_324_330_262_324_324_425_424_426_426_424_426_428_427_427_426_424_428_428_427_428_426_425_429_428_429_428_428_427_426_424_424_426_427_427_428_427_424_426_424_327_325_268_271_271_438_403_384_385_324_396_331_387_28_387_332_395_387_331_331_395_313_1294_134_456_313_134_312_312_454_316_341_316_454_436_134_134_134_454_454_454_431_433_432_431_430_430_430_345_345_433_432_432_430_431_312_134_134_333_333_333_333_333_333_333_28_452_452_89_453_452_453_388_435_388_89_404_407_404_405_435_435_408_407_406_404_404_406_404_407_404_407_406_407_406_404_405_406_405_406_407_408_452_452_312_341_316_341_316_312_134_134_134_312_312_396_396_396_411_411_394_394_330_324_324_330_324_330_396_428_385_1376_1376_411_411_330_134_456_456_134_134_134_313_314_316_316_454_315_453_89_89_453_388_453_435_435_454_454_316_30_30_387_387_387_424_320_316_316_316_320_328_329_328_327_271_401_330_330_402_402_325_438_403_403_384_384_271_396_434_434_396_396_411_411_394_394_328_329_1377_1297_1297_320_320_1297_1297_454_320_317_319_1297_317_319_1297_1297_316_316_454_454_453_453_407_454_454_433_316_432_345_345_30_30_394_403_384_384_268_329_385_401_330_401_402_427_327_324_332_333_333_333_28_333_27_26_26_87_88_379_87_131_88_26_26_26_275_274_275_275_276_276_27_277_26_26_379_88_87_87_127_127_127_84_85_85_441_437_437_441_129_441_414_414_414_414_437_414_414_414_414_413_441_86_130_131_131_131_87_87_86_86_26_26_26_379_379_127_127_376_127_87_127_127_129_441_129_442_441_437_437_129_437_441_129_130_88_87_128_127_85_25
6,3,2,28,332_28
7,304,30,31,32_32_32_32_32_32_32_32_32_32_32_32_32_32_182_182_183_183_183_240_240_182_182_182_240_182_240_240_182_182_183_184_140_139_139_140_120_120_102_102_102_102_102_102_102_102_101_102_102_101_120_139_139_184_137_138_184_137_120_120_120_120_101_139_138_137_120_120_121_121_138_140_140_139_140_120_121_139_139_140_120_139_140_139_140_101_120_121_137_184_184_120_140_140_120_140_31_32_31_32
8,22,19,33,99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_33
9,16,11,34,160_160_161_34_34_160
10,93,30,35,155_155_154_154_155_156_155_155_154_154_155_156_34_34_160_160_153_99_99_99_99_99_99_33_161_161_160_33_160_160_35_153_153_34
11,7,7,36,36
12,116,30,41,380_310_43_43_43_43_308_310_310_310_43_380_380_42_41
13,6,3,51,125_125_50_51
14,558,30,58,168_56_206_206_237_238_237_56_238_238_238_206_206_237_237_206_206_237_236_206_237_238_238_56_56_206_56_168_168_168_57_168_57_168_167_167_167_65_65_66_66_167_167_167_167_167_167_168_56_57_104_105_105_57_105_57_57_105_105_105_105_105_105_105_168_168_167_167_167_59_168_168_167_167_167_65_97_118_168_66_66_117_33_33_96_97_118_96_96_118_118_96_96_167_167_167_57_105_104_104_56_57_168_57_167_65_168_168_168_168_168_168_167_167_167_167_167_167_65_65_167_167_167_59_59_65_65_168_57_168
15,1,1,66,66
16,2,2,89,89
17,20,10,107,234_234_233_233_106_106_234_106_106_106_233_233_106_107
18,12,5,111,110_14_111_76_77_71
19,156,28,114,48_151_151_151_114_114_114_114_114_114_114_114_114_47_47_36_36_114_114_151_114_114_114_114_114_114_113_37_37_38_38_90_90_163_163_49_152_47_152_152_47_152_48_152_47_152_47_152_49_49_124_163_49_163_152_152_152_47_48_49_48_152_47_47_152_152_47_152_152_152_49_124_152_152_151_114
20,208,30,116,67_67_9_9_67_78_1282_78_79_79_78_143_143_78_78_70_95_72_72_95_72_95_72_95_73_95_143_72_95_79_71_71_79_70_78_78_95_95_72_143_12_95_70_78_72_72_95_95_116
