,F,T,S,E
0,16,13,0,16_16_16_16_16_16_16_16_16_16_0_16
1,3558,24,1,152_152_152_124_49_49_152_113_113_114_37_47_152_47_152_152_163_113_114_114_163_152_37_37_152_154_99_99_33_99_161_99_99_99_99_99_99_99_161_161_99_99_99_33_33_161_99_99_99_99_99_99_161_99_154_154_155_154_156_156_156_155_154_154_154_155_155_36_37_163_47_152_49_163_163_49_49_124_163_90_4_4_4_4_4_4_4_4_92_4_4_4_50_125_50_51_125_92_91_4_4_92_4_4_126_125_1_162_4_162_91_162_125_162_4_4_126_125_125_125_51_162_162_4_4_4_4_90_4_152_152_114_163_37_152_47_47_152_152_167_167_167_1287_238_238_105_1287_105_105_66_168_97_32_32_32_32_32_32_32_32_32_32_32_32_32_32_123_72_143_70_146_146_15_15_146_110_116_168_167_167_167_168_168_167_167_167_167_167_66_66_167_167_167_66_66_66_169_169_105_238_238_238_241_179_179_179_179_241_179_242_238_238_105_105_169_169_167_167_167_167_167_234_108_108_1292_108_233_234_107_234_234_240_183_108_235_234_108_239_239_239_239_182_182_139_120_102_102_102_102_102_101_102_102_102_102_102_120_120_139_140_184_184_120_120_139_141_140_140_184_139_120_121_120_120_141_140_184_184_120_120_184_184_140_139_140_140_184_120_120_120_139_120_120_32_32_120_140_120_120_32_32_32_32_32_31_32_167_167_167_145_112_116_96_95_73_73_15_15_146_15_75_110_75_75_69_69_75_75_75_75_69_69_70_13_14_11_116_142_170_103_103_5_5_188_188_188_5_5_109_5_5_109_188_5_5_188_109_5_5_188_188_188_188_188_188_188_188_188_109_109_103_103_7_170_170_170_170_170_170_170_170_170_170_8_170_170_9_170_170_170_9_68_68_60_110_145_75_96_95_68_68_142_142_142_9_9_9_68_116_95_15_110_110_70_79_79_72_96_169_169_57_56_238_105_1287_167_167_1288_165_165_165_164_165_165_165_114_37_37_90_163_163_152_90_4
2,6,6,10,10
3,30,19,17,258_258_258_258_258_258_258_258_258_258_258_258_258_258_258_258_258_258_258_18_17
4,3,3,19,19
5,2570,24,20,1204_1209_1235_1235_1235_1150_1140_883_1238_1142_1238_1238_1143_1204_1334_1333_1228_1209_1209_1235_1235_1202_1199_1197_278_278_1197_1197_1208_1197_1197_1197_278_278_1197_1208_1208_1293_1153_1140_1155_1155_1140_1140_1140_1140_1140_1156_1140_1156_1278_1278_1140_882_1209_1209_1211_1154_1207_1234_1293_1207_877_1225_1205_1238_1240_1182_1184_1184_1336_1188_1322_1143_1322_1322_1322_1195_1203_1203_1209_1209_1210_1210_1334_1334_1234_877_1334_1334_1334_1334_1334_1152_1238_1151_1238_1181_1184_1184_1148_1152_1151_1238_1189_1322_1322_1188_1188_1234_877_1150_1148_1148_1211_1211_1211_1210_1235_1235_1235_1235_1235_1237_1235_1234_1176_1210_1211_1184_1322_1136_1143_1336_1334_1334_21_1225_1225_1205_1225_1225_1205_21_21_1206_21_1140_1184_1191_1211_1237_1234_1235_1235_1232_1154_1293_1207_1201_1201_1202_1202_1197_1199_1202_1197_1197_1197_1202_1197_1208_1208_1199_1199_1202_1202_1202_1293_1153_1153_1153_1207_1207_1232_1210_1205_1205_881_881_1334_1230_1230_1228_1230_1229_1230_1231_1228_1231_1230_1228_1231_1230_1228_1230_1229_1230_1230_1229_1143_1143_1143_1151_1238_1151_1152_1152_1184_1156_1278_1155_1182_1148_1181_1211_1234_20_1205_1228_1231_1230_1231_1230_1229_1228_881_1205
6,1,1,22,22
7,4529,24,25,443_84_84_25_415_415_379_130_416_437_25_25_85_443_443_376_85_443_443_127_128_380_380_263_380_380_380_380_380_380_380_41_380_41_380_41_380_41_380_40_1379_1379_93_100_93_82_93_126_93_126_126_93_94_1379_1379_1379_39_380_310_311_311_310_417_402_265_265_383_266_266_383_266_330_410_400_400_271_384_402_329_1296_329_262_271_271_271_271_271_271_400_401_330_402_321_330_402_403_391_438_438_403_402_426_426_1376_394_1376_328_1297_89_452_452_434_434_394_459_459_459_459_436_430_345_345_452_452_1377_1377_436_333_333_333_402_402_330_271_261_262_262_271_392_393_392_391_393_393_392_391_438_391_438_403_403_323_323_1376_1376_402_391_438_403_262_271_262_271_271_271_434_434_427_427_424_428_429_428_428_424_424_429_428_427_429_424_428_426_455_132_417_390_304_282_263_390_304_304_283_284_284_280_422_422_381_381_281_263_263_381_283_282_281_282_381_264_263_304_263_304_304_263_304_380_304_284_280_422_422_422_281_382_382_283_380_281_284_284_283_306_306_305_398_398_132_417_390_417_417_398_132_132_390_46_46_46_46_45_1377_1377_320_320_1297_1297_404_404_434_404_404_404_452_404_404_407_436_342_342_342_316_342_316_320_1377_1377_320_320_341_316_345_345_345_430_430_345_430_345_436_344_436_333_330_323_321_323_323_323_26_437_442_437_442_26_26_26_131_26_416_415_442_131_274_274_274_275_274_274_274_276_276_27_276_26_26_415_26_131_131_380_311_437_442_27_26_26_380_414_26_26_26_442_380_26_26_333_436_342_320_1297_436_345_432_345_436_312_29_436_411_1376_411_323_436_320_328_1376_428_424_401_330_400_400_401_323_384_271_262_271_333_333_333_28_333_1376_1376_271_271_330_383_383_383_438_403_390_390_390_390_390_390_304_390_304_390_398_417_417_398_132_132_399_398_132_132_398_399_311_310_46_46_45_46_398_398_46_380_380_380_1379_1379_1379_1379_1379_1379_39_380_414_437_442_437_277_379_379_86_415_415_84_84_443_25
8,1,1,45,45
9,4,4,46,46
