,F,T,S,E
0,2,2,6,109_109_6
1,1,1,7,103_7
2,1,1,30,30
3,16,8,37,47_124_163_49_49_47_151_49_152_47_47_48_163_37
4,1,1,47,
5,1,1,58,168_58
6,1,1,65,65
7,5,2,68,95_116_67_68
8,7,3,72,113_1288_1288_73_74_72
9,2,2,77,110_111_77
10,75,12,87,130_25_84_84_84_85_87_127_379_277_88_277_89_131_89_131_89_86_86_87_416_88_131_416_130_416_416_131_131_277_277_85_85_86_130_130
11,2,1,90,90
12,1,1,93,100_93
13,1,1,96,96
14,6,3,104,1287_1287_168_105_105_104
15,1,1,106,107_106
16,4,2,114,148_165_164_114
17,2,2,127,127
18,2,1,131,
19,1,1,161,161
20,13,8,162,92_50_91_92_50_92_51_162
21,2,2,178,203_203_178
22,1,1,181,196_181
23,1,1,187,187
24,33,10,210,211_215_215_215_215_214_214_213_798_211_210_210_211_798_214_215_214_213_798_211_798_798_212_224_210
25,265,13,218,764_891_823_218_218_218_823_886_1299_959_959_829_830_784_783_919_919_903_903_832_788_887_886_886_885_823_887_886_886_910_910_909_1298_891_831_831_1299_1299_959_888_828_889_828_829_830_788_832_893_893_784_785_892_892_786_787_787_786_783_785_785_788_832_788_786_920_1331_1330_1329_1330_1332_1332_1332_1331_1330_1329_1331_920_920_921_979_979_979_832_832_788_832_786_893_786_892_892_831_1299_831_830_829_1299_892_910_891_910_886_888_888_887_987_886_783_783_823_765_764
26,1,1,220,221_220
27,1,1,241,241
28,1,1,265,383_265
29,3,3,266,266
30,1,1,268,268
31,1,1,276,276
32,1,1,283,382_283
33,2,2,290,460_290
34,1,1,292,292
35,1,1,293,293
36,1,1,295,295
37,1,1,297,297
38,168,14,299,1051_1051_1051_1051_301_1036_1036_1035_1035_297_1004_1036_1035_1005_297_1005_1035_1019_1021_1004_1004_1020_1021_1019_1019_1004_1019_1019_1021_1050_299_300_301_303_302_302_300_1019_1020_1019_295_293_293_294_463_463_463_463_489_490_490_460_290_1055_293_292_291_290_491_491_291_292_1055_292_293_295_293_294_295_1012_1018_1018_298_1012_296_296_297_298_298_299_1050_1018_1051_300_301_302_1257_728_300_299
39,3,3,303,303
40,4,3,322,323_394_323_322
41,1,1,324,325_324
42,7,4,331,331_331_386_394
43,29,13,335,336_340_338_334_336_336_334_334_338_334_336_336_336_339_339_338_339_334_334_335
44,11,4,341,435_454_314_315_341_316_341
45,7,1,344,431_432_433_345_344
46,1,1,346,593_346
47,1,1,349,350_349
48,22,7,352,451_559_449_743_743_561_561_743_743_743_450_451_451_560_451_450_352
49,2,1,355,563_355
50,1,1,356,356
51,1,1,357,357
52,2,2,358,1359_1359_358
53,6,2,360,654_655_655_361_359_360
54,9,2,362,551_363_550_362
55,4,1,363,548_549
56,208,15,365,552_717_553_543_368_361_360_361_362_550_363_363_364_553_365_367_720_720_366_545_544_720_720_721_720_720_720_720_721_544_544_368_537_686_369_369_368_367_638_542_542_543_554_540_539_1357_733_733_538_538_555_486_485_486_484_483_739_368_538_485_483_485_538_485_539_686_486_483_369_662_662_686_486_484_556_555_555_556_486_1358_757_662_686_686_486_1358_1363_1362_1362_1358_1357_686_733_1357_733_485_739_483_484_740_540_540_539_540_555_555_740_539_540_546_545_720_366_365
57,2,2,368,
58,67,13,370,531_534_535_703_700_541_541_535_703_703_699_541_541_734_734_701_699_541_699_700_702_714_714_702_702_701_700_701_701_702_714_702_703_535_534_534_533_533_532_751_686_369_532_532_370
59,2,2,371,371
60,3,2,373,512_1276_374_374_373
61,1,1,381,381
62,1,1,387,1294_387
63,1,1,388,453_388
64,1,1,391,438_391
65,1,1,399,399
66,1,1,417,417
67,1,1,426,427_426
68,1,1,444,444
69,69,15,449,557_559_664_664_1302_664_1302_576_1302_559_664_664_448_557_448_557_449_664_664_351_449_664_447_448_350_350_564_448_557_449_559_664_576_576_559_664_664_558
70,1,1,452,452
71,1,1,456,456
72,6,2,457,459_458_457
73,1,1,460,
74,2,1,461,463_462_461
75,9,3,465,506_466_503_504_504_505_506_466_465
76,12,4,475,476_1170_1164_1164_1163_1163_477_477_477_476_475
77,3,2,477,1173_1173_1172
78,1,1,490,490
79,1,1,500,500
80,4,1,515,596_589_517_516_515
81,23,7,521,732_520_286_287_287_732_519_519_520_289_288_288_287_732_520_521
82,1,1,526,526
83,1,1,543,
84,1,1,557,
85,2,2,570,571_569_570
86,2,1,583,584_583
87,1,1,585,711_585
88,1,1,590,590
89,1,1,619,619
90,1,1,623,623
91,1,1,635,636_635
92,2,1,638,1289_638
93,22,12,639,1014_296_296_1013_1013_1033_1013_1033_1033_1014_1013_1014_639
94,2,2,650,649_650
95,1,1,651,651
96,1,1,652,652
97,1,1,656,656
98,1,1,668,668
99,1,1,677,677
100,2,1,679,1255_679
101,1,1,691,691
102,1,1,694,694
103,1,1,717,
104,3,2,726,727_640_727_726
105,1,1,729,729
106,2,2,745,499_745
107,2,1,760,761_760
108,1,1,767,768_767
109,4,3,769,1083_770_770_769
110,300,13,771,796_796_796_1388_1388_1388_796_841_792_792_793_793_796_851_851_1388_1388_1389_772_794_794_795_1263_964_964_844_844_845_845_1264_843_843_964_964_844_964_847_176_872_176_872_846_846_847_849_848_848_843_1265_1265_776_776_794_852_985_777_985_916_916_985_985_1265_776_1265_985_794_1264_794_1263_845_845_1264_795_1265_777_1265_985_916_852_852_851_773_1388_1389_1388_771_792_793_796_849_935_789_789_934_934_934_790_789_935_936_934_789_936_791_790_791_791_771_771_1389_773_791
111,4,4,778,778
112,5,2,780,873_782_781_780
113,1,1,785,785
114,2,1,791,
115,1,1,794,
116,2,1,797,798_797
117,2,1,799,839_800_799
118,41,7,802,853_859_855_854_860_801_861_870_870_853_853_859_869_868_868_869_853_855_854_855_860_861_926_1241_804_804_803_907_802
119,35,12,806,971_971_971_971_971_971_971_778_778_971_971_214_778_971_806_966_971_971
120,100,12,809,1384_961_961_1385_1385_1384_986_986_765_986_765_986_825_983_956_956_956_825_810_825_826_982_983_982_826_809_810_825_810_827_826_826_766_766_765_827_986_827_826_809
121,2,1,813,947_948_813
122,445,13,815,815_816_1337_1109_1261_1261_1091_1092_1092_1086_1086_1087_1087_1088_1091_1092_1093_1093_1090_1081_1110_1110_1090_1091_1092_1087_1087_1086_1086_1094_1086_1087_1087_1088_1088_1089_1337_1325_1324_1132_954_821_822_821_820_819_1088_1088_1073_1110_815_1087_1093_1094_1073_1096_1095_1095_1090_1089_955_954_817_816_815_955_822_822_822_821_822_819_820_822_821_820_820_819_819_955_953_817_816_931_818_1262_1131_1132_1324_1131_1337_1107_1108_1108_1337_822_822_821_955_955_931
123,1,1,828,829_828
124,1,1,831,831
125,1,1,841,841
126,1,1,844,
127,1,1,849,849
128,2,2,850,850
129,2,2,863,862_863
130,3,2,879,1236_878_879
131,2,2,880,881_1204_880
132,4,3,882,1195_1195_1196_882
133,1,1,889,890_889
134,1,1,906,906
135,1,1,907,
136,1,1,908,962_908
137,48,12,911,912_912_1385_961_962_1386_908_961_912_961_1386_961_911_912_911
138,1,1,914,915_914
139,1,1,918,918
140,62,13,923,922_960_960_925_925_960_960_922_922_923_924_925_922_924
141,21,6,928,1304_929_1305_974_974_1304_974_1304_927_927_928_929
142,1,1,930,930
143,1,1,941,941
144,2,2,945,917_945
145,2,2,952,952
146,3,3,956,
147,8,3,959,959
148,1,1,963,963
149,12,12,965,965
150,2,1,968,970_969_968
151,1,1,975,975
152,1,1,978,978
153,2,2,983,983
154,94,13,990,995_996_1027_996_992_991_992_991_988_994_994_996_995_996_994_993_993_996_1037_1037_1027_1027_995_988_1026_1025_1025_992_1024_1024_992_990_988_989_989_990_991_990_989_996_1027
155,1,1,993,994_993
156,1,1,997,1045_997
157,3,3,998,997_998
158,1,1,999,999
159,12,5,1000,292_998_999_1000
160,1,1,1001,1001
161,61,14,1006,1008_1008_1016_1016_1009_1009_1016_1006_1017_1017_1284_1284_1007_1284_1003_1016_1008_1009_1009_1008_1008_1003_1007_1006_1002_1017_1016_1009_1009_1009_1006
162,1,1,1012,1012
163,1,1,1016,1016
164,4,1,1024,1026_1025_1024
165,1,1,1028,1028
166,2,2,1030,1030
167,2,1,1032,1032
168,6,4,1052,1029_1029_1052_1053_1052
169,15,4,1057,1080_1083_1106_1106_1070_1070_1077_1077_1077_1078_1078_1079_1079_1080_1080_1057
170,1,1,1058,1059_1058
171,167,14,1067,1062_1103_1061_1066_1061_1102_1081_1081_1124_1125_1124_1118_1116_1067_1118_1118_1118_1074_1114_1074_1104_1382_1382_1104_1115_1382_1116_1115_1118_1118_1118_1114_1125_1124_1124_1067_1067_1068_1068_1067_1124_1125_1112_1113_1112_1066_1066_1061_1061_1062_1062_1081_1081_1106_1100_1101_1101_1102_1102_1103_1111_1111_1062_1102_1112
172,1,1,1075,1075
