,F,T,S,E
0,10,10,0,16_16_16_16_16_16_16_16_16_16_0
1,107,24,2,162_126_125_50_51_162_91_92_92_125_162_1_1_1_1_1_1_1_4_1_1_1_1_1_1_1_1_1_1_1_1_50_1_2_3_4_1_1_4_1
2,221,42,5,5_5_5_5_188_5_5_5_5_5_109_5_5_5_5_5_5_5_109_5_5_5_5_5_188_5_5_5_5_109_109_188_5_5_103_103_7_7_7_103_103_103_5_5_5_188_103_103_103_5_103
3,1,1,8,170_8
4,2690,42,9,68_68_116_68_68_142_68_70_70_70_13_113_73_113_73_113_73_113_113_144_12_116_79_236_238_105_105_123_169_167_167_167_167_167_167_167_167_167_167_167_167_167_66_97_97_117_96_96_119_119_119_119_1288_96_118_96_119_119_57_105_105_105_105_238_56_238_56_236_238_56_56_66_66_65_167_167_167_167_167_236_238_236_238_238_206_237_56_56_236_1287_168_105_167_167_167_167_167_167_167_169_169_168_66_95_78_78_79_12_72_14_14_14_14_14_71_113_144_144_144_114_113_113_73_97_56_56_105_105_167_167_167_78_80_80_69_69_69_69_70_80_11_11_95_144_144_14_14_144_14_14_71_71_167_167_167_167_167_66_119_119_121_120_140_120_120_120_120_120_140_120_101_120_101_140_120_120_120_120_120_102_102_101_101_120_140_120_120_101_31_31_31_120_120_120_31_121_140_184_31_119_119_119_119_31_119_119_97_96_123_123_96_118_118_117_31_119_31_31_31_31_31_31_31_31_32_33_33_119_33_140_120_101_120_120_120_101_139_140_120_101_102_101_140_140_140_101_120_101_120_101_101_101_101_139_96_118_119_119_33_101_102_140_120_101_33_119_117_117_123_73_113_1288_96_98_167_167_167_56_56_168_105_58_167_167_56_206_56_105_169_236_237_236_237_236_236_236_168_168_73_14_14_14_14_14_14_146_15_71_71_110_71_71_15_76_15_76_71_111_15_76_146_146_146_15_15_77_15_76_110_71_110_146_146_14_15_15_146_71_110_70_15_146_146_15_15_110_71_71_71_71_111_77_110_77_15_147_146_76_110_110_111_71_71_14_14_14_14_14_14_14_14_14_14_14_14_13_14_144_79_12_143_11_96_95_95_167_167_236_236_167_66_101_101_101_101_122_122_60_60_96_1288_236_236_56_168_118_144_79_79_11_144_144_79_71_79_123_95_11_11_144_79_95_70_116_9_68_142_116_68_10_116_68_68_116_116_68_142_116_170_170_170_170_170_170_170_170_170_170_8_170_170_170_9_170_170_170_170_170_170_170_8_9_9_68_142_9
5,93,14,15,75_110_110_71_71_110_75_71_71_71_76_15_70_70_71_71_71_15_75_75_110_145_75_146_75
6,83,28,17,18_18_17_17_259_17_259_259_259_259_1378_258_258_258_18_258_259_259_258_259_17_17_259
7,22,20,19,422_280_280_19
8,33,17,20,1204_1204_1205_1204_1204_1204_1204_1204_1204_1204_1204_20
9,3751,42,21,1155_1278_1156_1278_1278_1140_1361_1240_1237_1234_1235_1232_1232_1233_1237_1234_1232_1211_1210_1192_1193_1333_1334_1334_1188_1215_1218_1218_1361_1140_1238_1238_1194_882_1196_1334_880_1207_1207_1154_1208_1153_1207_1207_1207_877_1181_1180_1180_1278_1278_1156_1140_1155_1278_1278_1238_1189_1189_1189_1322_1189_1240_1240_1210_1228_1228_1210_1204_1193_1210_1210_1225_1205_1205_881_1334_1189_1218_1188_1240_1150_1150_1152_1240_1181_1234_1234_1235_1235_1235_1234_1234_1210_1205_1237_1237_876_1237_1235_1235_1232_1235_1235_1235_1240_1240_1189_1181_1148_1142_1240_1238_1209_1293_1293_1293_1200_1200_1200_1207_1200_1200_1200_1201_1201_1154_1207_1207_1293_1293_1293_1207_1207_1153_1154_876_876_876_1180_1176_1176_1180_1181_1180_1180_1180_1149_1181_1149_1176_1176_1204_880_880_1211_1211_1209_1229_1228_1230_1228_1229_1229_1230_1230_1229_1228_1228_1209_876_1180_1180_1149_1204_1211_1334_1333_1334_1333_1333_1333_1334_1230_1231_1230_1229_1228_1229_1228_278_1209_1197_278_1209_1210_1211_1180_1181_1180_1211_1237_1234_1237_1209_1228_1228_1229_1189_1188_1322_1225_1205_1205_21_21_21_1206_1181_1181_1149_1238_1238_1150_1238_1142_1361_1205_1204_1234_1234_1234_1234_1234_1232_1235_1235_1234_1237_1237_1237_1211_1333_1333_1333_1334_1334_1211_1237_1237_1234_1235_1207_1154_1154_1207_1154_1293_1293_1153_1153_1293_1293_1154_1293_1153_1154_1237_1237_876_876_1176_1149_1336_1181_1150_1140_1140_1149_1150_1238_1152_1150_1184_1322_1322_21_21_21_21_21_21_21_1206_21_21_1211_1195_1137_1322_1334_1334_1204_1228_1189_1240_1240_1180_1181_1180_1180_1176_1293_1207_1153_1232_1232_877_1234_1180_1174_1180_1176_1181_1182_1181_1181_1150_1181_1181_1149_1238_1240_1240_1150_1151_1238_1151_1142_1140_1140_1155_1140_1140_1142_1336_1180_1192_877_1237_1234_1232_1235_1232_1234_1153_1293_1207_1153_1153_1234_1237_879_880_880_1228_880_1228_880_1231_1231_1230_1230_1229_1229_1228_1228_1322_1190_1142_1342_1323_1322_1189_1142_1156_1140_1155_1140_1184_21_1206_882_1334_1335_1336_1176_1176_1192_1237_1237_1237_877_1334_882_1150_1149_1237_1234_1237_1144_1238_1238_1151_1152_1240_1140_1184_1150_1141_1140_1323_1140_1140_1278_1278_1156_1278_1140_1140_1156_1140_1278_1140_1278_1140_1140_1142_21
