,F,T,S,E
0,48,31,20,19_19_19_19_19_19_19_19_18_18_19_19_19_19_19_19_19_19_19_19_19_19_19_19
1,31,31,21,
2,52,28,54,52_53_52_52_52_52_54_52_52_52_52_52_52_52_54_52_52_52_52_53_54_52_55_54
3,1,1,61,61
4,5,4,70,71_71_71_70
5,2,2,72,72
6,2,2,76,77_77_76
7,1,1,78,78
8,1,1,85,85
9,3,3,89,90_90_90_89
10,1,1,94,94
11,1,1,106,106
12,1,1,120,121_120
13,2,2,124,123_124
14,1,1,141,141
15,9,5,144,147_147_147_147_146_145_144
16,5,2,148,149_148
17,93,31,166,169_170_170_170_169_166_167_167_169_171_170_170_169_168_168_169_171_167_166_169_170_170_169_167_169
18,1,1,171,172_171
19,14,6,174,176_175_176_176_175_174_173
20,1,1,177,178_177
21,3,3,187,188_188_187
22,1,1,196,196
23,1,1,218,218
24,306,31,219,220_217_222_222_217_217_220_217_217_218_220_220_220_217_217_217_227_227_227_227_226_227_227_227_227_226_226_226_228_229_226_226_226_226_227_228_229_226_225_225_224_227_227_226_227_226_226_222_223_220_220_220_220_220_217_220_219_217_218_217_220_217_218_217_217_218_221_220_217_222_222_222_222_217
25,3,3,223,223
26,54,18,236,237_237_238_237_235_238_234_234_234_238_237_237_234_234_235_234_235_238_238_237_238_235_235_237_236_234_234_236
27,1,1,238,238
28,2,2,247,248_248_247
29,1,1,250,251_250
30,37,18,253,252_252_252_251_251_253_249_250_250_251_251_251_253_251_251_251_250_251_251_251_252_253
31,2,1,260,261_260
32,1,1,263,264_263
33,1,1,268,268
34,1,1,270,271_270
35,1,1,273,273
36,3,2,276,277_276
37,1,1,291,292_291
38,3,2,298,296_297_298
39,2,1,299,300_299
40,1,1,304,304
41,4,3,307,308_309_308_307
42,1,1,312,313_312
43,1,1,316,317_316
44,1,1,336,336
45,1,1,345,346_345
46,1,1,349,350_349
47,1,1,353,354_353
48,9,5,358,357_356_357_359_358
49,1,1,388,388
50,15,12,391,393_393_393_393_393_391_393_391_393_393_393_393_392_391
51,1,1,399,400_399
52,4,3,404,404_405_404
53,2,1,418,419_418
54,1,1,420,421_420
55,3,2,422,423_422
56,1,1,427,428_427
57,1,1,430,431_430
58,3,1,432,434_433_432
59,1,1,439,440_439
60,1,1,443,444_443
61,2,2,448,447_448
62,1,1,463,463
63,1,1,465,466_465
64,1,1,475,475
65,18,7,477,480_480_479_477_478_477
66,1,1,481,482_481
67,1,1,484,485_484
68,1,1,490,490
69,34,16,492,491_491_492_493_492
70,42,31,505,504_504_504_504_504_504_504_504_504_504_504_504_504_503_504_504_504_504_504_503_503_503_503_503_503_503_503_503_503_504
71,21,21,506,506
72,29,15,508,508_508_508_507_507_508_510_508_509_508_509_509_510_508
73,3,3,510,510
74,52,31,520,519_519_519_519_519_518_519_519_519_519
75,1,1,535,535
76,2,2,555,554_555
77,12,9,557,556_556_556_556_556_557
78,36,13,559,560_558_558_558_558_558_558_560_558_558_559_558
79,1,1,567,568_567
80,31,31,608,607_607_607_607_607_607_607_607_607_607_607_607_607_607_607_607_607_607_607_607_607_607_607_607_607_607_607_607_607_607
81,16,13,633,632_632_632_632_632_632_632_632_632_633
82,8,5,634,638_638_638_635_635_634
83,1,1,636,636
84,1,1,652,653_652
85,1,1,692,693_692
86,1,1,702,702
87,62,31,709,711_711_711_711_711_711_711_711_711_711_711_711_711_711_711_711_711_711_711_711_711_711_711_711_711_711_711_711_711_711_711
88,31,31,718,719_719_719_719_719_719_719_719_719_719_719_719_719_719_719_719_719_719_719_719_719_719_719_719_719_719_719_719_719_719_719
89,31,31,721,722_722_722_722_722_722_722_722_722_722_722_722_722_722_722_722_722_722_722_722_722_722_722_722_722_722_722_722_722_722_722
90,1,1,727,727
91,47,30,728,728_728_728_728_728_728_728_728_728_728_729_728_728_728
92,1,1,731,732_731
93,20,14,735,735_735_735_735_735_734_735_735
94,59,18,736,737_740_741_740_740_740_740_740_740_740_740_740_740_740_740_739_739_738_737_737_737_737_737_738_738_738_739_738_737_736
95,2,2,751,750_751
96,31,31,758,757_757_757_757_757_757_757_757_757_757_757_757_757_757_757_757_757_757_757_757_757_757_757_757_757_757_757_757_757_757
97,20,16,778,779_779_779_779_777_779_779_779_779_777_779_777_779_779_779_777_779_779_779_779_778
98,4,4,788,789_789_789_789_788
99,1,1,800,801_800
100,1,1,814,815_814
101,1,1,819,819
102,7,3,835,837_836_835
103,11,4,839,840_841_839
104,1,1,842,842
105,7,5,854,855_855_855_855_854
106,1,1,865,865
107,105,31,870,871_871_871_871_875_875_875_875_875_875_875_875_875_875_874_875_875_874_875_875_875_874_874_874_874_874_873_874_873_874_874_874_874_873_874_872_870
108,1,1,877,878_877
109,106,31,883,887_885_887_887_887_884_887_886_887_886_886_884_887_887_884_886_884_887_884_886_887_884_884_884_887_883
110,3,2,888,890_889_888
111,1,1,891,892_891
112,1,1,923,924_923
113,132,31,943,944_940_941_942_940_940_940_940_940_940_940_940_940_941_944_944_940_940_944_944_943_940_940_940_940_940_942_943_943_944_942
114,125,31,945,946_948_948_948_948_948_948_948_945_948_945_948_948_948_948_948_948_948_948_947_945
115,167,31,950,951_949_949_949_951_949_67_68_67_951_951_69_69_69_68_951_951_949_951_949_950_949_949_951_949_68_72_72_71_71_71_71_70_72_72_72_70_72_70_67_68_67_68_69_69_68_72_72_72_72_72_72_71_70_69_68_951_951
116,5,4,957,958_958_956_958_958_957
117,2,1,981,982_981
118,1,1,991,992_991
119,1,1,996,997_996
120,1,1,1005,1005
121,15,9,1009,1011_1011_1011_1010_1011_1011_1011_1011_1011_1010_1009
122,1,1,1034,1034
123,1,1,1035,1036_1035
124,3,2,1103,1104_1103
125,8,5,1111,1112_1111_1113_1112_1111
126,1,1,1131,1131
