,F,N
0,8435,1
1,6944,1
2,3225,1
3,2847,1
4,2112,1
5,1362,1
6,1124,1
7,967,1
8,873,1
9,744,1
10,715,1
11,705,1
12,643,1
13,595,1
14,545,1
15,538,1
16,483,1
17,481,1
18,477,1
19,456,1
20,387,1
21,364,1
22,356,1
23,334,1
24,327,1
25,319,1
26,310,1
27,309,1
28,283,1
29,279,1
30,277,1
31,275,1
32,259,1
33,233,1
34,223,1
35,216,1
36,213,1
37,210,1
38,202,1
39,199,1
40,192,1
41,191,1
42,182,2
43,178,1
44,160,1
45,152,1
46,139,1
47,134,1
48,131,1
49,130,1
50,125,1
51,118,2
52,117,2
53,115,1
54,114,1
55,111,1
56,107,1
57,101,1
58,97,1
59,96,2
60,93,1
61,92,1
62,89,1
63,86,2
64,85,2
65,82,1
66,79,3
67,78,1
68,77,2
69,75,1
70,74,1
71,72,3
72,70,2
73,67,1
74,65,2
75,64,2
76,63,3
77,62,3
78,60,4
79,59,1
80,58,1
81,56,2
82,55,3
83,54,2
84,52,2
85,51,5
86,50,4
87,49,4
88,48,1
89,47,2
90,46,1
91,45,3
92,44,5
93,42,3
94,41,3
95,40,10
96,39,2
97,38,1
98,37,7
99,36,1
100,35,8
101,34,3
102,33,8
103,32,9
104,31,7
105,30,9
106,29,10
107,28,7
108,27,10
109,26,9
110,25,10
111,24,12
112,23,15
113,22,19
114,21,19
115,20,15
116,19,24
117,18,18
118,17,23
119,16,22
120,15,22
121,14,49
122,13,54
123,12,59
124,11,62
125,10,69
126,9,84
127,8,142
128,7,194
129,6,258
130,5,383
131,4,577
132,3,1139
133,2,2622
134,1,10407
