,S,N
0,1392,1
1,1390,2
2,1387,2
3,1386,2
4,1385,2
5,1384,3
6,1382,2
7,1381,7
8,1377,3
9,1376,6
10,1375,3
11,1372,7
12,1371,4
13,1370,8
14,1366,4
15,1365,5
16,1364,6
17,1363,1
18,1362,4
19,1361,1
20,1360,3
21,1359,7
22,1358,2
23,1356,4
24,1354,4
25,1353,3
26,1352,2
27,1351,7
28,1350,1
29,1348,2
30,1347,5
31,1346,4
32,1342,2
33,1341,1
34,1340,1
35,1339,2
36,1338,2
37,1336,1
38,1335,3
39,1334,6
40,1333,1
41,1332,4
42,1331,6
43,1330,3
44,1329,2
45,1328,4
46,1327,10
47,1322,4
48,1321,1
49,1320,2
50,1319,4
51,1318,7
52,1317,5
53,1316,1
54,1315,4
55,1314,2
56,1313,4
57,1312,3
58,1311,7
59,1309,4
60,1308,3
61,1307,2
62,1305,1
63,1302,1
64,1301,3
65,1299,3
66,1298,3
67,1297,5
68,1294,1
69,1293,3
70,1291,2
71,1290,7
72,1289,1
73,1288,1
74,1284,5
75,1283,2
76,1282,4
77,1281,1
78,1280,4
79,1278,1
80,1277,1
81,1275,1
82,1274,4
83,1267,4
84,1266,1
85,1264,6
86,1263,2
87,1261,3
88,1260,2
89,1259,1
90,1257,5
91,1254,5
92,1253,4
93,1251,4
94,1250,2
95,1249,4
96,1248,7
97,1247,5
98,1246,3
99,1245,2
100,1244,2
101,1243,5
102,1242,4
103,1241,1
104,1240,5
105,1239,1
106,1238,1
107,1237,4
108,1236,3
109,1234,1
110,1233,3
111,1232,8
112,1231,6
113,1230,5
114,1229,5
115,1228,5
116,1227,3
117,1225,4
118,1224,2
119,1223,3
120,1222,3
121,1220,2
122,1219,1
123,1218,3
124,1217,2
125,1216,5
126,1215,6
127,1212,3
128,1211,1
129,1210,4
130,1208,1
131,1207,1
132,1206,5
133,1205,3
134,1204,2
135,1203,2
136,1202,1
137,1198,4
138,1194,2
139,1193,4
140,1192,4
141,1191,4
142,1190,1
143,1189,2
144,1188,3
145,1187,5
146,1186,6
147,1185,1
148,1184,2
149,1183,1
150,1182,4
151,1181,4
152,1179,1
153,1177,1
154,1176,1
155,1175,3
156,1174,4
157,1173,7
158,1171,4
159,1170,5
160,1169,5
161,1168,4
162,1167,3
163,1166,1
164,1165,2
165,1164,5
166,1162,2
167,1160,3
168,1159,4
169,1158,7
170,1157,3
171,1156,3
172,1155,9
173,1154,2
174,1153,1
175,1152,3
176,1151,5
177,1150,5
178,1149,2
179,1145,2
180,1143,4
181,1142,2
182,1141,1
183,1140,2
184,1139,4
185,1138,4
186,1136,1
187,1134,1
188,1131,3
189,1130,3
190,1129,5
191,1128,2
192,1126,5
193,1125,3
194,1124,4
195,1123,1
196,1121,1
197,1120,4
198,1119,2
199,1118,2
200,1117,2
201,1114,2
202,1110,5
203,1109,1
204,1108,1
205,1106,1
206,1105,1
207,1104,1
208,1102,2
209,1101,3
210,1100,1
211,1099,6
212,1098,3
213,1097,2
214,1096,2
215,1093,4
216,1092,2
217,1090,2
218,1089,1
219,1088,2
220,1087,5
221,1086,3
222,1085,2
223,1083,3
224,1082,3
225,1081,4
226,1079,5
227,1078,2
228,1077,2
229,1076,2
230,1075,6
231,1073,6
232,1072,3
233,1070,2
234,1068,3
