,T,N
0,30,32
1,29,1
2,27,1
3,25,2
4,24,3
5,23,2
6,22,5
7,21,1
8,20,3
9,18,2
10,17,5
11,15,2
12,14,7
13,13,5
14,12,5
15,11,14
16,10,13
17,9,18
18,8,20
19,7,30
20,6,31
21,5,58
22,4,94
23,3,186
24,2,533
25,1,2119
