,S,N
471,894,6
472,893,14
473,892,9
474,891,14
475,890,2
476,889,14
477,888,13
478,887,29
479,886,7
480,885,3
481,884,7
482,883,22
483,882,1
484,881,15
485,880,2
486,879,1
487,878,2
488,877,7
489,876,37
490,875,2
491,874,11
492,873,18
493,872,5
494,871,6
495,869,5
496,868,13
497,867,6
498,866,2
499,865,1
500,862,1
501,861,9
502,860,13
503,858,9
504,857,29
505,856,6
506,855,6
507,854,1
508,852,16
509,851,4
510,850,19
511,849,5
512,848,8
513,847,19
514,846,26
515,845,5
516,844,2
517,843,9
518,842,6
519,841,22
520,840,25
521,839,12
522,838,6
523,837,1
524,836,2
525,835,26
526,834,7
527,833,30
528,832,8
529,831,10
530,830,24
531,829,5
532,828,18
533,827,12
534,826,7
535,825,23
536,824,23
537,823,1
538,822,3
539,821,14
540,820,20
541,819,7
542,818,20
543,817,13
544,816,8
545,815,11
546,814,16
547,813,4
548,812,3
549,811,8
550,810,13
551,809,26
552,808,16
553,807,29
554,806,31
555,805,17
556,804,4
557,803,2
558,802,6
559,801,8
560,800,13
561,799,19
562,798,19
563,797,23
564,796,13
565,795,5
566,794,16
567,793,17
568,792,14
569,791,2
570,790,19
571,789,33
572,788,2
573,787,7
574,786,17
575,785,15
576,784,17
577,783,10
578,782,4
579,781,2
580,780,21
581,779,7
582,778,32
583,777,12
584,776,34
585,775,19
586,774,23
587,773,6
588,772,14
589,771,8
590,770,3
591,769,4
592,768,11
593,767,33
594,766,13
595,765,14
596,764,19
597,763,28
598,762,4
599,761,2
600,760,3
601,759,10
602,758,23
603,757,5
604,756,11
605,755,36
606,754,29
607,753,15
608,752,8
609,751,2
610,750,8
611,749,16
612,748,14
613,747,7
614,746,6
615,745,2
616,744,29
617,743,17
618,742,17
619,741,28
620,740,15
621,739,8
622,738,7
623,737,9
624,735,9
625,734,11
626,733,3
627,732,24
628,731,15
629,730,17
630,729,15
631,728,4
632,727,25
633,726,12
634,725,6
635,723,2
636,722,15
637,721,14
638,720,10
639,719,21
640,718,11
641,717,6
642,716,13
643,715,10
644,714,8
645,713,4
646,712,6
647,711,6
648,710,22
649,709,4
650,708,30
651,707,20
652,706,9
653,705,21
654,704,17
655,703,20
656,702,14
657,701,24
658,700,23
659,699,17
660,698,17
661,697,13
662,696,6
663,695,7
664,694,3
665,692,23
666,691,5
667,690,24
668,689,16
669,688,24
670,687,15
671,686,1
672,685,33
673,684,18
674,683,12
675,682,6
676,681,22
677,680,12
678,679,12
679,678,5
680,677,4
681,676,28
682,675,16
683,674,10
684,673,12
685,672,29
686,671,25
687,670,17
688,669,22
689,668,27
690,667,24
691,666,6
692,665,8
693,664,2
694,663,5
695,662,6
696,661,19
697,660,14
698,659,20
699,658,20
700,657,24
701,656,25
702,655,9
703,654,7
704,653,21
705,652,17
