,T,N
0,168,7
1,164,1
2,156,1
3,152,1
4,150,1
5,149,1
6,148,1
7,146,1
8,144,1
9,140,2
10,137,1
11,131,1
12,126,1
13,107,1
14,106,1
15,98,1
16,82,1
17,79,1
18,68,1
19,61,1
20,54,2
21,53,1
22,50,1
23,48,1
24,46,2
25,45,1
26,43,2
27,42,1
28,39,3
29,37,3
30,36,1
31,35,2
32,34,1
33,33,3
34,32,3
35,30,5
36,29,3
37,28,5
38,27,2
39,26,3
40,25,1
41,24,3
42,23,4
43,22,4
44,21,2
45,20,4
46,19,3
47,18,6
48,17,11
49,16,9
50,15,12
51,14,16
52,13,23
53,12,22
54,11,33
55,10,41
56,9,57
57,8,72
58,7,98
59,6,147
60,5,263
61,4,464
62,3,1013
63,2,2639
64,1,10631
