,T,N
0,137,1
1,124,1
2,98,1
3,80,1
4,78,3
5,75,1
6,68,1
7,66,1
8,64,1
9,57,1
10,56,1
11,54,1
12,53,1
13,51,1
14,49,2
15,45,2
16,43,1
17,42,2
18,40,1
19,39,3
20,38,1
21,37,4
22,36,1
23,35,2
24,34,1
25,33,2
26,32,5
27,31,3
28,30,2
29,29,2
30,28,5
31,26,4
32,25,1
33,24,3
34,23,4
35,22,5
36,21,5
37,20,7
38,19,6
39,18,13
40,17,10
41,16,11
42,15,7
43,14,18
44,13,21
45,12,24
46,11,14
47,10,39
48,9,42
49,8,56
50,7,75
51,6,114
52,5,167
53,4,305
54,3,626
55,2,1620
56,1,8890
