,E,N
227,945_945_945_917_945_1356_1356_918_1356_918_759_941_941_761_942_761_941_761_945_945_945_917_917_917_759_918_917_758_917_917_945_945_761_941_941_761_918_918_918_917_917_759_917_917_918_917_1356_918_918_917_917_759_1355_918_1355_918_918_759_759_917_917_759_941_941_1355_1355_918_918_917_759_917_761_917_759_917_917_917_917_759_917_917_917_761_1381_917_941_761_917_1381_1381_917_917_942_945_970_970_918_918_918_1356_918_918_918_917_918_1355_1355_918_1356_918_917_918_917_917_917_941_941_762_762_917_758_759_918_1356_1356_1355_1356_918_917_917_759_759_917_917_917_917_918_917_759_918_918_918_918_917_761_941_941_762_762_762_945_945_762_941_762_763_762_941_941_761_759_918_918_917_759_945_1356_1356_918_945_917_761_761_759_758_759_917_917_917_941_761_941_761_762_761_761_758_1355_1355_1356_1356_1356_945_762_945_762_945_941_762_762_762_763_762_970_970_970_970_1381_968_969_969_970_968_969_969_969_917_917_941_761_918_941_941_945_761_945_941_941_945_759_1380_1380_969_970_759_760_918_918_761_759_970_941_941_761_759_941_761_918_759_761_759_761_759_761_945_759_761,1
228,945_941,1
229,945,10
230,944_943_942,1
231,944_942_945_941_761,1
232,944_942,3
233,944,4
234,943_943_942,1
235,943_942,6
236,943,5
237,942_944,1
238,942_943,2
239,942,6
240,941_945,2
241,941_941_761,2
242,941_941,1
243,941_761,1
244,941,3
245,940_983_982_982_983_956_983_957_940_939,1
246,940_956_940_939,1
247,940_956_939,2
248,940_940_940_940_940_940_940_940_939,1
249,940_940_939,2
250,940_939,8
251,940,12
252,94,2
253,93_100_83,1
254,939,8
255,938_938_938_937,1
256,938_938_938_911_938_938_938_937,1
257,938_938_1387_938_911_938_937_938,1
258,938_937,10
259,938,8
260,937_911,1
261,937_1387_1387_938_937_911,1
262,937_1386_912_911_912,1
263,937,4
264,936_936_789_789_791_847_849_851_772_791_851_791_772_772_791_791_851_794_851_849_790_790_849_796_796_796_773_773_850_848_849_850_849_849_849_851_849_849_849_790_790_849_849_791_794_851_771_935_789_789_847_790_791_851_794_772_851_848_849_791_851_851_849_790_789_789_789_790_790_789_789_789_934_934_789_934_934_934_789_934_935_936_789_790_790,1
265,936_935_789,1
266,936_790_789,1
267,936_789,2
268,936,6
269,935_934,1
270,935_789,2
271,935,6
272,934,2
273,933_933_933_775_774,1
274,933_933_933_774,1
275,933_933_775_774,1
276,933_932_932_775_774,1
277,933_932_775_775_933_775_774,1
278,933_932_775_775_774,1
279,933_775_933_774,1
280,933_775_774,1
281,933_774,14
282,933_224_224_225_775_933_774,1
283,933,11
284,932_933_933_775_933_775_775_933_774_775,1
285,932_932_775_774,1
286,932_775_225,1
287,932_775,5
288,932_225_775,1
289,932,7
290,931_818_817,1
291,931_817_817_816,1
292,931_817,4
293,931,8
294,930,5
295,93,4
296,92_92_91,1
297,92_92,1
298,92_91_92_91_125_50_51,1
299,92_91_3,1
300,92_91,7
301,929_929_928,1
302,929_928,2
303,929,9
304,928_928_927,1
305,928_927,9
306,928,13
307,927,3
308,926_861_801,1
309,926_861,3
310,926_803,1
311,926_801_861,1
312,926,9
313,925_924_923,1
314,925_924,2
315,925,5
316,924_985,1
317,924_960_923,1
318,924_923,7
319,924,10
320,923_924,1
321,923,3
322,921_921_920_903,1
323,921_920,1
324,921,1
325,920_903,6
326,920_784_904_903,1
327,920_784_903,1
328,920_784_784_903,1
329,920_1332_1332_1331,1
330,920_1332,1
331,920,5
332,92,7
333,91_92,1
334,91_91_4_1_2_2_90_90_38_38_2_1_1_1_15_15_0_16_0_15_0_0_0_1_2_91_3_4,1
335,91_50_51,1
336,919_903,3
337,919_784_903,1
338,919,7
339,918,4
340,916_985_777_776,1
341,916_985_1265_777,1
342,916_985,1
343,916_916_985,1
344,916_916_916_985,1
345,916_916_852,1
346,916_916_795,1
347,916_852_916_916_795_1264_777_985_852,1
348,916_852,11
349,916_795_794_794,1
350,916_795,4
351,916_1264_985_852_852_916_795,1
352,916,10
353,915_914,3
354,915_899_899_915_914,1
355,915_899,1
356,915,7
357,914_915,1
358,913_868,1
359,913,1
360,912_911,4
361,912,6
362,911_938_911_911_937,1
363,911,2
364,910,2
365,91,5
366,90_3,1
367,90_163_49,1
368,909_909_909_1298_1298_1298_1298_1298_1298_1298_1298_1298_909,1
369,909_909_1298,2
370,909_891_909_1298_910,1
371,909_1298,2
372,908_962,3
373,908_961_962,3
374,908_961_961_908_961_834_908_1386_908_908_962_961,1
375,908_908_1386_961_961_962_962_833_833_834,1
376,908_834,1
377,908,10
378,907_981,2
379,907_907_981,1
380,907_907_907_952_860_861_1267_1267_803_804_907_926_926_861_861_801_801_803_802_801_906_907_981,1
381,907_802,2
382,907,7
383,906_905,7
384,906,5
385,905_856_856_855,1
386,905_855,2
387,905_853_854_952_860_860_855_856,1
388,905,8
389,904_903,2
390,904_784_903,2
391,904,7
392,903_920,1
393,903_784,7
394,903_1331_1332_1332_920,1
395,903,6
396,902_902_902_901,1
397,902_901,7
398,902_899,2
399,902,11
400,901_902_899,1
401,901_902,1
402,900_900_896,1
403,900_900_820,1
404,900_898,1
405,900_896,1
406,900_820,2
407,900,11
408,90,1
409,9,11
410,89_453_388,1
411,89_388,1
412,899_898,8
413,899,2
414,898_899_902,1
415,898_899,1
416,898_896_900_900_820,1
417,898,2
418,897_896,4
419,897,5
420,896_900,1
421,895_895_895_894,1
422,895_894_249,1
423,895_894,12
424,895_249_895_894,1
425,895,9
426,894_895,2
427,894_894_895,1
428,894_894_894_895,1
429,894_894_249_894_894_894_894_895_894_894,1
430,894_250_250_249_250_249_895_895_894_895,1
431,894_249,1
432,894,2
433,893_786,6
434,893,6
435,892_891,7
436,892_786,2
437,892,4
438,891_892,1
439,891_891_831,1
440,891,3
441,89,5
442,88_88_277_27,1
443,88_87_88_277_27,1
444,88_87,1
445,88_86_87,1
446,88_277,2
447,88_131,1
448,889,2
449,888,1
450,887_886,1
451,887,1
452,886_886_886_885,1
453,886_886_885,2
454,886_885,2
455,886,3
456,885_909_909_909_1298,1
457,885_764_823_218_783,1
458,885,3
459,884_884_884_884_884_884_884_884_884_1223_1133_1223_1133_884_884_884_884_884_884_1133_884_884_884_884_1133_1133_1133_1133_1133_1133_884_884_1223_1133_1133_884_883,1
460,884_884_884,1
461,884_884_883,2
462,884_884_1133,1
463,884_883,2
464,884_1133,2
465,884,1
466,883,13
467,881_1205_1225,1
468,881,7
469,880_880_880_1227,1
470,880_880_1210_1210_1194_1194_880_1228_1194_1228_1227_880_1210_1228,1
