,T,N
0,151,6
1,146,1
2,138,1
3,133,1
4,78,1
5,75,1
6,73,1
7,67,1
8,66,1
9,65,1
10,59,1
11,58,1
12,56,2
13,55,1
14,53,1
15,52,3
16,50,1
17,48,2
18,47,1
19,45,2
20,43,3
21,42,1
22,41,3
23,40,4
24,39,1
25,38,6
26,37,3
27,36,3
28,35,2
29,34,3
30,33,5
31,32,4
32,30,6
33,29,3
34,28,1
35,27,7
36,26,4
37,25,4
38,24,6
39,23,15
40,22,10
41,21,9
42,20,3
43,19,9
44,18,8
45,17,9
46,16,19
47,15,19
48,14,25
49,13,36
50,12,20
51,11,48
52,10,39
53,9,52
54,8,73
55,7,128
56,6,175
57,5,274
58,4,422
59,3,896
60,2,2496
61,1,11043
