,E,N
0,998_1028,1
1,996,3
2,995_995_988,1
3,995_988,3
4,995_1027_995_988,1
5,995,4
6,994_994_994_994_994_994_994_994_994_994_993,1
7,994_994_994_993,1
8,994_993,1
9,994,1
10,992,1
11,991_990,1
12,991,2
13,988_995,1
14,988,4
15,987_987_887,1
16,987_887,1
17,987,1
18,986,2
19,985_925_924,1
20,985,1
21,984_837,2
22,984,2
23,983_983_956,1
24,983_956,1
25,983,1
26,982_982_983_963_957_963_983_983_956,1
27,982_958_957_957_982_956,1
28,982_956_983,1
29,982,1
30,981_907,1
31,981,2
32,980_837_980_836,1
33,980,3
34,97_96,1
35,97_118_97_123,1
36,979_978,1
37,979,1
38,978_979,1
39,978_977,1
40,978,3
41,977_978,1
42,976_1311_1311_975,1
43,975_857,2
44,975,1
45,974,1
46,973_814_808,1
47,973,2
48,972,1
49,970_969,2
50,970_1381,3
51,969,1
52,968_967,2
53,968,2
54,967_969_968,1
55,967,1
56,966_965,2
57,966_806,1
58,966,1
59,964_964_964_844,1
60,964_964_844,1
61,964_844,1
62,963_957,1
63,963,3
64,962_961,1
65,962_1386_962_1386_908_962_961,1
66,961_962,1
67,961,1
68,960,1
69,96,2
70,95_95_95_11,1
71,95_143_12,1
72,95_143,2
73,959_830,1
74,958_957,2
75,958,2
76,957_958,1
77,957_956,1
78,957,2
79,956_939,1
80,956,2
81,955,2
82,954_818,2
83,954,1
84,953,2
85,952_952_860,1
86,952_860,1
87,952,4
88,951_949_946_947,1
89,951,6
90,950_947,2
91,950,2
92,95,3
93,949_949_947_946,1
94,949_946_946_946_946_949,1
95,949_946,1
96,949,2
97,948,2
98,947,3
99,946_949,1
100,946_947_951,1
101,946,1
102,945_761_941,1
103,944_942,2
104,943,1
105,942,1
106,941_941_945_761_941_761,1
107,941_761_945,1
108,941,2
109,940_939,4
110,938_937_938,1
111,938_937,2
112,938,1
113,937_938,1
114,936_789,1
115,936,3
116,935_934,1
117,935,1
118,934_935,1
119,934,1
120,933_933_774,2
121,933,3
122,932,2
123,931,4
124,930,2
125,929_928,1
126,929,1
127,928_927,3
128,928,3
129,926,1
130,924_923,3
131,924_916_916_985,1
132,923,1
133,920_904_903,1
134,920_903_784,1
135,920,3
136,92,2
137,919,2
138,918,3
139,916_916_985,1
140,916_916,1
141,916_852,1
142,916_1264_795,1
143,916_1264_776_852_852_916_795,1
144,916,1
145,915,2
146,912_937_937_911,1
147,911_911_912,1
148,911,1
149,909_909_1298,1
150,909,1
151,908_911_1386_961_908_961_961_908_908_962,1
152,908_834,1
153,908,3
154,907,1
155,906_905,2
156,906,2
157,905_856_855,1
158,904,4
159,903_784,2
160,903,2
161,902_901,2
162,902_899,1
163,902,1
164,901,1
165,900,1
166,9,2
167,899_898,1
168,899,2
169,897_896,1
170,896_897,1
171,895_895_895_894,1
172,895_894,3
173,894_895,1
174,894_894_895_894,1
175,893,2
176,892_891,2
177,892,1
178,89,1
179,88_87_130,1
180,88_87,1
181,887,1
182,886_885,1
183,886,3
184,885_823_824_783_218,1
185,885_218_823_783,1
186,884,1
187,883,1
188,882_1206,1
189,882,1
190,880_1193_1194_880_1210,1
191,880,1
192,88,2
193,87_87_88_88_87_86,1
194,87_87_87_379,1
195,87_86,1
196,879,1
197,878_879,1
198,878_1237_1233_1192_1237_1237_878_1236_879,1
199,878,4
200,877_877_876,1
201,877_876,1
202,877_1176_1210_1193,1
203,877,3
204,875_870,1
205,875,1
206,873,2
207,872_872_846,1
208,871,3
209,870_870_870_870_858_858_870_858_870_870_1266_1266_1266_875_1266_875_1266_860_855_854_853_854_858_858,1
210,870,1
211,869_869_1360,2
212,869,1
213,868_867,1
214,868,3
215,867_866,1
216,866,4
217,865_866,1
218,862_865_864_864_930_930_862_865_864_862_862_865_865_864_862_862_862_862_930_865_865_930_862_862_862_930_862_930_862_865_865_862_862_862_865_930_862_930_862_862_862_862_862_930_862_862_862,1
219,861_861_860_854,1
220,861,3
221,860_854,2
222,860_853_854_855_856,1
223,860,1
224,86,1
225,85_25,2
226,859,1
227,858_857,1
228,858,1
229,857,1
230,856_855,4
231,856,3
232,854_859_859_859_853,1
233,854_853,1
234,854,1
235,853,1
236,852_916_985,1
237,852,1
238,851_796_796_773,1
239,851,1
240,85,2
241,84_83,1
242,849_848,4
243,849_791,1
244,849,4
245,848_847,2
246,847_846,1
247,847_790,1
248,847_789,1
249,847,2
250,845_844,1
251,845,3
252,844_844_845_964_844_843,1
253,844,1
254,841_792,1
255,841,2
256,84,2
257,83_82,1
258,839_800,1
259,839,5
260,838,7
261,837_838,1
262,837_837_984,1
263,837_836,1
264,837,1
265,836_980_980_984_984_980_984_984_980,1
266,836_837,1
267,836_836_980,1
268,835,4
269,834_908,1
270,834_834_835_834_833,1
271,834_834_834_834_833,1
272,833_834_961_962_834_834_1386_1386_962_961_961_834_834_834_834,1
273,833,1
274,832_787,4
275,832,1
276,831_832_832_832_832_831_787,1
277,830_829,1
278,83,2
279,82_81,1
280,829_828,1
281,824_783,1
282,824,4
283,823_218,2
284,823,1
285,822,1
286,821,1
287,820,1
288,819_818,1
289,818,2
290,817,1
291,816_817_817_816_815,1
292,816_816_815,1
293,816_815,2
294,816,2
295,815_818_817_817_816,1
296,815_817_931,1
297,815_817_816,1
298,815_815_815_816_818_954_818_817,1
299,815,1
300,814,1
301,813_948,1
302,813_814_807_808,1
303,812_217,2
304,811_763,1
305,811_217_217_812_813_947_813_813_217_217_812_217_811_763_763_217_217_813_812,1
306,811_217,1
307,811,1
308,810_825_809,1
309,810_809,2
310,810,3
311,809_810,1
312,809,2
313,808_814,1
314,808_807,3
315,808,1
316,807_215,1
317,807,1
318,806_779_778_214,1
319,804_803_803_802_801,1
320,804_803_802,1
321,804_803_1267_802,1
322,803_802_803_803_1267_803_804,1
323,803_802,2
324,803_1267,1
325,803,1
326,802_801,1
327,802,4
328,800_839,1
329,7_7_103,1
330,7_103,1
331,79_79_78_1282_78,1
332,79_78_1282_79_1282_78_1282_12,1
333,798,2
334,797_797_797_798,1
335,796,1
336,795_794,1
337,795,1
338,794,1
339,793,1
340,792_792_792_792,1
341,791_771,1
342,790_936_789,1
343,790_851_791_851_795_794_794_851_791_772_791_851_771_849_851_794_772,1
344,790_789_936,1
345,790,3
346,79,1
347,78_79_12_12_79_1282,1
348,78_79_1282,2
349,78_78_78_79,1
350,787_832,3
351,787,2
352,785,1
353,784_785,1
354,783_824,1
355,783,1
356,782_782_781_781_782_781_782_782_782_780_780_781,1
357,782_781_782_782_867,1
358,782_780_781,1
359,782,1
360,781_782,1
361,781,1
362,77_76,1
363,779_779_779_778,1
364,779_778,4
365,779,1
366,778_779,1
367,778_214_779_214_779_778_779,1
368,778,1
369,777_985_777_776,1
370,777_776,1
371,775_933_933_775_933_933_774_775_933_933,1
372,775_774,1
373,775,4
374,774,1
375,773_772,1
376,773,1
377,772_791_851_790_791_791_796_796_796_796_796_773_791_851_772,1
378,772,6
379,77,1
380,768_767,3
381,768,1
382,764_764,1
383,764_218,1
384,76,1
385,759,1
386,758,1
387,757_703_757_534,1
388,757_703,1
389,757_534,1
390,757,2
391,756_726,1
392,755,5
393,754_753_717_752,1
394,754_753_473,1
395,754_753,1
396,754,1
397,753_754,1
398,753_473,2
399,753_472,1
400,753,3
401,752_752_717,1
402,752_752_671,1
403,752_719_718_717_717_718_719_753_718_717,1
404,752_717,1
405,752_672_752_472_671_472,1
406,752_671_671_670_550_551,1
407,752_671,1
408,752,1
409,751_608_608_369_608_369_608_1357_757_1357_733_1357_685_685_686_686_757_733_1357_714_702_702_701_701_733_734_734_1362_369_1358_733_1363_733_722_538_685_369_369_369_538_685_685_686_608_608_646_645_645_608_369_608_751_751_369_369_539_733_702_701_701_1362_1363_1362_484_539_539_733_699_540_541_541_700_700_734_1362_701_734_734_1362_1362_701_1358_1357_733_539_733_733_686_1357_369_608_751,1
410,751,2
411,749_748_654,1
412,749_748,2
413,749_654,2
414,749,1
415,747,1
416,746_652_651_650_649,1
417,746_650_347_584_347_584_648_349_349_746_649_649,1
418,746,1
419,745_620,1
420,745_499_681_710_709_709_497_744_500_500_498,1
421,745,3
422,744_500_500_499_745_620_498_497,1
423,744,4
424,743_560,1
425,743,6
426,742_606,5
427,742,2
428,741_740,1
