,T,N
0,30,28
1,29,2
2,28,2
3,27,1
4,26,3
5,25,2
6,24,1
7,22,2
8,21,3
9,20,1
10,19,1
11,18,2
12,17,7
13,16,3
14,15,3
15,14,6
16,13,7
17,12,11
18,11,6
19,10,15
20,9,19
21,8,20
22,7,22
23,6,30
24,5,45
25,4,120
26,3,195
27,2,490
28,1,2134
