,E,N
0,999,1
1,998_997,1
2,998,4
3,996_995,1
4,996_994_996_996_994_994_994_994_994_994_994_993,1
5,996_993,1
6,996_1027_996_1027_996_988_992_992_990_991_991_989_996_1027_1027_988_1028_1027_996_995_995,1
7,996,14
8,995_996_994_993,1
9,995_995_995_995_995_995_988,1
10,995_995_995_995_995_995_1027_995_995_995_988_988_995_995_996_995,1
11,995_995_995_988_988_995,1
12,995_995_988_988_995,1
13,995_995_988,4
14,995_988_995_995_995_988_996_988_996,1
15,995_988_995_988,1
16,995_988_995,1
17,995_988,8
18,995_1027_1027_988,1
19,995,5
20,994_996_996_996,1
21,994_994_996_996_994_994_994_994_993_994,1
22,994_994_996_994_993,1
23,994_994_994_996_994_995_996_994_994_994_996_994_994_993,1
24,994_994_994_994_994_994_994_993,1
25,994_994_994_994_994_993,1
26,994_994_994_993,1
27,994_994_993_994_996,1
28,994_994_993,1
29,994_993,8
30,994,4
31,992_991_992_992_991_991_990,1
32,992_991,2
33,992_1023,1
34,992,7
35,991_992,1
36,991_990_989,1
37,991_990,1
38,991,4
39,99,3
40,989,7
41,988_995,1
42,988,5
43,987_887,5
44,987,9
45,986_827,1
46,986,2
47,985_924_923,3
48,985_924,2
49,985_777,3
50,985,19
51,984_984_837,1
52,984_984_836_837,1
53,984_836_984_836_984_984_984_980_980_980_984_984_984_836_984_171_171_172_171_171_171_171_171_171_171_171_171_171_171_171_171_171_171_171_172_837_984_984_980_837_980_984_984_980_984_838_980_984_980_980_984_984_984_984_984_984_980_838_984_980_980_980_980_980_984_984_984_838_837_980_980_984_980_980_984_984_980_980_838_984_838_980_980_980_984_984,1
54,984,6
55,983_958_957_983_956,1
56,983_957,1
57,983_956,3
58,983,16
59,982_983_982_982_956,1
60,982_983_956_940_939,1
61,982_983_956,1
62,982_982_983_983_957_983_983_982_982_956,1
63,982_982_983_956,1
64,982_982_956,1
65,982_982_809_810,1
66,982_956,6
67,982_810_809,1
68,982_810,3
69,982_809_809_810,1
70,982,5
71,981,13
72,980_836,5
73,980,5
74,98,1
75,97_97_97_97_96,1
76,97_97_97_97_118,1
77,97_97_97_1288,1
