,T,N
0,168,7
1,167,1
2,162,1
3,161,1
4,156,1
5,143,1
6,117,1
7,89,1
8,88,1
9,84,1
10,83,1
11,82,1
12,80,1
13,79,1
14,71,1
15,70,1
16,69,2
17,65,1
18,64,1
19,63,1
20,62,1
21,59,1
22,57,2
23,55,1
24,53,2
25,52,2
26,50,1
27,49,3
28,48,3
29,47,1
30,45,1
31,41,1
32,40,2
33,39,5
34,37,3
35,36,3
36,35,4
37,34,4
38,33,2
39,32,3
40,29,4
41,28,2
42,27,4
43,26,4
44,25,7
45,24,5
46,23,2
47,22,9
48,21,2
49,20,6
50,19,5
51,18,5
52,17,14
53,16,9
54,15,14
55,14,21
56,13,21
57,12,22
58,11,39
59,10,49
60,9,54
61,8,75
62,7,109
63,6,173
64,5,265
65,4,448
66,3,970
67,2,2629
68,1,9791
