,F,N
0,7285,1
1,6130,1
2,2187,1
3,2160,1
4,2147,1
5,1102,1
6,873,1
7,821,1
8,720,1
9,655,1
10,641,1
11,416,1
12,389,1
13,373,1
14,355,1
15,323,1
16,320,1
17,301,1
18,298,1
19,281,1
20,279,1
21,235,1
22,224,1
23,221,2
24,216,1
25,202,1
26,201,1
27,176,1
28,171,1
29,164,1
30,162,1
31,161,1
32,150,1
33,148,1
34,142,1
35,140,1
36,139,1
37,138,1
38,137,1
39,136,2
40,133,1
41,131,3
42,130,1
43,127,1
44,117,1
45,114,1
46,112,1
47,111,1
48,108,2
49,105,1
50,104,1
51,91,2
52,89,1
53,87,1
54,86,1
55,85,1
56,83,2
57,82,2
58,81,2
59,79,1
60,78,2
61,77,2
62,73,1
63,72,1
64,67,2
65,66,2
66,64,1
67,63,1
68,61,1
69,59,2
70,58,5
71,57,2
72,56,1
73,55,4
74,54,1
75,52,3
76,51,1
77,50,1
78,48,2
79,47,2
80,46,4
81,45,3
82,44,5
83,43,5
84,42,3
85,41,2
86,40,4
87,39,4
88,38,2
89,37,4
90,36,5
91,35,6
92,34,5
93,33,4
94,32,14
95,31,9
96,30,6
97,29,5
98,28,6
99,27,4
100,26,6
101,25,7
102,24,15
103,23,16
104,22,14
105,21,23
106,20,22
107,19,19
108,18,25
109,17,31
110,16,22
111,15,34
112,14,39
113,13,39
114,12,52
115,11,62
116,10,74
117,9,93
118,8,126
119,7,156
120,6,217
121,5,367
122,4,564
123,3,984
124,2,2589
125,1,10125
