,T,N
0,30,22
1,29,1
2,28,2
3,27,2
4,26,1
5,25,1
6,24,3
7,23,3
8,22,1
9,21,2
10,20,3
11,19,4
12,18,5
13,17,4
14,16,1
15,15,6
16,14,4
17,13,5
18,12,5
19,11,10
20,10,6
21,9,11
22,8,15
23,7,27
24,6,35
25,5,61
26,4,87
27,3,203
28,2,507
29,1,2147
