,S,N
0,1396,1
1,1394,1
2,1392,10
3,1390,8
4,1389,3
5,1388,4
6,1387,6
7,1386,9
8,1385,1
9,1384,12
10,1383,5
11,1382,7
12,1381,7
13,1380,5
14,1379,1
15,1378,4
16,1377,21
17,1376,20
18,1375,16
19,1374,3
20,1373,6
21,1372,22
22,1371,9
23,1370,20
24,1368,3
25,1367,7
26,1366,11
27,1365,17
28,1364,17
29,1363,17
30,1362,9
31,1361,1
32,1360,14
33,1359,31
34,1358,3
35,1357,3
36,1356,16
37,1355,19
38,1354,18
39,1353,16
40,1352,13
41,1351,42
42,1350,18
43,1349,9
44,1348,19
45,1347,32
46,1346,14
47,1345,1
48,1344,4
49,1343,8
50,1342,2
51,1341,2
52,1340,6
53,1339,18
54,1338,13
55,1337,4
56,1336,4
57,1335,2
58,1334,25
59,1333,17
60,1332,23
61,1331,15
62,1330,8
63,1329,6
64,1328,25
65,1327,34
66,1326,5
67,1325,3
68,1324,1
69,1323,4
70,1322,22
71,1321,3
72,1320,13
73,1319,14
74,1318,21
75,1317,20
76,1316,6
77,1315,9
78,1314,5
79,1313,12
80,1312,10
81,1311,29
82,1310,17
83,1309,24
84,1308,25
85,1307,17
86,1306,1
87,1305,2
88,1303,1
89,1302,16
90,1301,8
91,1300,13
92,1299,19
93,1298,9
94,1297,22
95,1296,6
96,1295,1
97,1294,4
98,1293,17
99,1292,2
100,1291,16
101,1290,28
102,1289,12
103,1288,19
104,1287,5
105,1286,4
106,1285,4
107,1284,12
108,1283,10
109,1282,4
110,1281,20
111,1280,22
112,1279,12
113,1278,6
114,1277,14
115,1275,7
116,1274,20
117,1270,5
118,1269,1
119,1268,5
120,1267,23
121,1266,9
122,1265,1
123,1264,26
124,1263,5
125,1262,11
126,1261,13
127,1260,7
128,1259,6
129,1258,1
130,1257,20
131,1256,3
132,1255,11
133,1254,22
134,1253,25
135,1252,9
136,1251,17
137,1250,11
138,1249,24
139,1248,32
140,1247,5
141,1246,6
142,1245,7
143,1244,3
144,1243,22
145,1242,18
146,1241,15
147,1240,7
148,1239,5
149,1238,19
150,1237,8
151,1236,1
152,1234,12
153,1233,13
154,1232,21
155,1231,24
156,1230,19
157,1229,23
158,1228,23
159,1226,1
160,1225,32
161,1224,25
162,1223,4
163,1222,4
164,1221,1
165,1220,14
166,1219,8
167,1218,13
168,1217,14
169,1216,27
170,1215,27
171,1214,10
172,1213,4
173,1212,16
174,1211,11
175,1210,12
176,1209,1
177,1208,4
178,1207,1
179,1206,18
180,1205,19
181,1204,8
182,1203,5
183,1202,4
184,1201,18
185,1200,1
186,1199,8
187,1198,28
188,1197,6
