,S,N
0,1393,1
1,1388,1
2,1387,5
3,1385,3
4,1384,3
5,1382,1
6,1380,2
7,1378,1
8,1376,2
9,1375,5
10,1372,6
11,1371,1
12,1370,3
13,1367,6
14,1366,2
15,1364,5
16,1363,1
17,1362,3
18,1361,1
19,1359,3
20,1358,2
21,1356,2
22,1355,2
23,1354,3
24,1353,5
25,1352,2
26,1351,9
27,1350,2
28,1348,6
29,1347,7
30,1346,3
31,1344,1
32,1343,1
33,1340,2
34,1338,1
35,1334,7
36,1333,5
37,1332,2
38,1331,6
39,1330,5
40,1329,4
41,1328,5
42,1327,4
43,1326,1
44,1322,4
45,1319,4
46,1318,3
47,1317,3
48,1316,2
49,1315,3
50,1314,2
51,1313,4
52,1312,1
53,1311,8
54,1310,4
55,1309,2
56,1308,7
57,1307,2
58,1302,5
59,1301,1
60,1300,3
61,1299,3
62,1298,1
63,1297,5
64,1293,3
65,1291,4
66,1290,5
67,1289,1
68,1288,1
69,1286,1
70,1284,1
71,1281,6
72,1280,3
73,1279,3
74,1278,3
75,1275,2
76,1274,6
77,1270,1
78,1269,1
79,1268,1
80,1267,3
81,1266,1
82,1265,3
83,1262,2
84,1261,2
85,1260,1
86,1257,3
87,1256,1
88,1254,1
89,1253,4
90,1251,4
91,1250,1
92,1248,8
93,1247,1
94,1245,1
95,1243,8
96,1242,3
97,1241,1
98,1240,4
99,1237,2
100,1236,1
101,1234,4
102,1233,1
103,1232,4
104,1231,2
105,1230,5
106,1229,6
107,1228,7
108,1225,4
109,1224,7
110,1223,1
111,1220,1
112,1219,1
113,1218,3
114,1217,2
115,1216,6
116,1215,4
117,1214,2
118,1212,3
119,1211,1
120,1208,1
121,1207,1
122,1206,3
123,1205,4
124,1204,1
125,1202,2
126,1201,3
127,1198,4
128,1197,3
129,1195,1
130,1194,2
131,1192,1
132,1188,4
133,1187,2
134,1185,3
135,1184,3
136,1182,1
137,1181,4
138,1176,1
139,1173,4
140,1171,2
141,1170,1
142,1169,5
143,1168,2
144,1167,1
145,1164,3
146,1163,2
147,1162,3
148,1161,1
149,1160,5
150,1159,3
151,1158,4
152,1157,1
153,1156,2
154,1154,2
155,1153,5
156,1152,4
157,1150,3
158,1149,6
159,1146,1
160,1142,1
161,1139,3
162,1133,3
163,1132,3
164,1131,5
165,1130,1
166,1129,6
167,1128,2
168,1127,2
169,1126,6
170,1125,1
171,1124,3
172,1123,3
173,1122,2
174,1121,7
175,1120,2
176,1119,2
177,1118,2
178,1116,1
179,1114,3
180,1113,2
181,1112,1
182,1109,3
183,1103,3
184,1102,1
185,1101,5
186,1100,3
187,1099,6
188,1098,3
189,1097,4
190,1096,4
191,1093,3
192,1092,5
193,1091,1
194,1090,1
195,1089,5
196,1087,6
197,1086,3
