,E,N
0,999_998_1045_997_1029_1052_1053,1
1,999_998,3
2,999_1048_1000_999_998,1
3,999_1048_1000_1048,1
4,999_1028_998,1
5,999,10
6,998_998_998_998_1028,1
7,998_997,1
8,998_1260_1260_1260_1028_1028_998_1028,1
9,998_1028,1
10,998,3
11,997,1
12,996_996_993_994,1
13,996_993,2
14,996,19
15,995_996_996_988_996_991_1024_1024_992_992_991_990_990_1027_1027_993_994_993_996_995_995_995_1027_995_988_1027_988_989_1026_1025_1025_992_1024_1024_992_991_989_990_989_996_1028_1038_1040_1043_1043_1037_1037_1028_1028_1027_994_994_993_994_994_993_996,1
16,995_988_995_988_1027_1037_989_989_989_996_994_993_994_994_993_996_989_989_1027_989_989_994_993_994_993_996_996_1037_989_989_1027_1038_1037_1037_1027_1027_1027_1027_1027_1027_1027_1027_995_996_1027_1027_996_1027_1027_1027_1027_995_1027_995_996_996_995_995_1027_1043_1037_1027_1027_1037_1028_1027_996_989_989_989_989_995_1027_989_1027_995_989_996_996_1027_989_996_1027_989_989_996_996_989_1027_1027,1
17,995_988,1
18,994_996_996_994_994_993,1
19,994_994_994_993,1
20,994_994_993,2
21,994_993,10
22,994,10
23,993_994,1
24,993,1
25,992_992_1026_1026_1025_1025_1024,1
26,992_991,2
27,992_1024,3
28,992,4
29,991_992,2
30,991_990,3
31,991,6
32,990_989,1
33,990,1
34,989,11
35,987_987_887,1
36,987_887,8
37,987_885_887,1
38,987,18
39,986_986_827,1
40,986_827,8
41,986,6
42,985_960_923_924,1
43,985_924,1
44,985_923_924_985_1265_985_1265_1265_777,1
45,985_923_924,1
46,985_916,1
47,985_852_795_916,1
48,985_776_776_777_1265,1
49,985,16
50,984,4
51,983_983_983_982_983_983_963_958_957_963_957_957_956,1
52,983_983_982_982_982_983_983_956_939,1
53,983_983_956_982_983_982_982_983_963_957_957_982_983_983_983_957_956_982,1
54,983_983_956_982,1
55,983_963_963_958_957_956_940_939,1
56,983,5
57,982_983_983_956,1
58,982_983_982_983_982_983_956,1
59,982_982_957_956_983_939,1
60,982_982_956_982_958_957_957_983_982_956_982_939,1
61,982_982_956,1
62,982_957_957_982_983_982_982_983_956_983_940_939,1
63,982_810_809_825,1
64,982,4
65,981_907,1
66,981_802_907,1
67,981,20
68,980_984_984_837_836_980,1
69,980_980_837_172_172_984_837_837_172_172_980_172_172_980_980_980_980_980_984_980_172_172_172_172_984_172_980_980_838_838_172_980_980_172_172_172_838_172_980_172_838_980_171_984_838_838_837_984_984_980_838,1
70,980,1
71,97_96,4
72,979_978_977,1
73,979_978,5
74,979,22
75,978_979,5
76,978_978_979_979_977_977_978_977,1
77,978_978_979,1
78,978_978_978_977,1
79,978_978_977,4
80,978_977_978_979,1
81,978_977,11
82,978,13
83,977_979_977_978,1
84,977_978,2
85,977_977_978_979,1
86,977_977_978,1
87,977,5
88,976_976,1
89,976_975,1
90,976_857_1147_1266_975,1
91,976,14
92,975,3
93,974_974_814,1
94,974_973_974_807_808_808_973_808_814,1
95,974_814_814_807_807_808,1
96,974_814,2
97,974_808_808_808_814,1
98,974,28
99,973_973_972,1
100,973_972,11
101,973_814,3
102,973_813_808_814,1
103,973,12
104,972_814_973,1
105,972,4
106,971_971_971_971_971_971_971_966_971_214_778_779_779_214_214_806_966_971,1
107,971_971_971_806_966,1
108,971_971_806_966_965,1
109,971_971_806,2
110,971_806,10
111,971_778_806,1
112,971,11
113,970_969,2
114,970_968_969,1
115,970_1381,1
116,970,2
117,97,1
118,96_96_97_118,1
119,96_65_118_96_97_1288,1
120,969_968_967,1
121,969_968,4
122,969_967_968,1
123,969,20
124,968_968_968_968_968_968_969_967_967_968,1
125,968_968_967_968,1
126,968_968_967,1
127,968_967,7
128,968,9
129,967_968,3
130,967_967_969_968,1
131,967_967_967_967_967,1
132,967,2
133,966_966_965,2
134,966_965_966,1
135,966_965,15
136,966_806_779_779_778,1
137,966_806_779_214_779_214_779_778,1
138,966,14
139,965_965_965_965_965_966,1
140,965_806_806_965_966,1
141,965,2
142,964_844_843,1
143,964_844,2
144,964_795_1264_845_849_849_849_848_848_843_843_964_845_916_916_795_795_1264_1264_1263_1263_845_964_790_790_791_790_791_849_849_848_848_843_843_843_843_964_964_843_844_845_845_964_843_850_849_849_851_772_794_851_796_796_794_849_849_790_791_791_791_796_773_851_771_851_796_773_772_796_794_790_791_791_772_796_791_772_849_849_790_849_851_1264_916_916_845_1264_1263_1264_916_985_916_794_795_795_1264_845_795_795_794_793_793_849_849_790_791_849_848_850_850_790_850_850_791_850_849_791_849_771_794_851_772_851_851_851_772_851_796_851_796_849_791_849_790_848_849_850_796_796_773_1389_1389_772_794_772_796_772_772_796_796_773_851_771_794_772_916_795_1264_845_795_845_851_796_772_773_771_791_851_851_771_851_794_795_1264_916_916_794_1389_772_851_851_796_773_851_773_773_851_772_772_789_790_790_849_935_789_936_789_790_790_851_796_771_851_796_772_791_790_849_847_848_849_849_848_843_844_843_964_844_843_964_844_985_852_852_852_916_916_1264_1264_845_845_1264_794_795_795_845_1264_1263_1263_1263_845_843_847_843_849_849_794_791_849_849_790_790_849_795_916_852_924_985_985_852_795_845_845_1263_777_985_985_852_916_916_1264_852_794_924_777_985_852_852_916_1264_916_794_1264_916_795_1263_845_795_845_1264_916_852_916_795_795_794_794_851_851_772_791_773_851_773_851_847_848_848_936_789_789_790_790_849_849_790_791_790_790_847_846_847_849_849_791_847_847_848_849_849_849_790_851_773_916_795_852_916_1264_1264_852_916_794_794_851_772_851_773_1389_1389_851_851_851_796_773_773_851_771_773_772_796_796_851_772_936_789_789_790_849_851_851_849_790_790_790_848_843_843_845_1263_845_843_845_843_843_964_845_1263_845_1263_845_964_843_843_964_844_843,1
145,964_1263_1263_845_845_964_845_964_844_964,1
146,964,1
147,963_963_958_956_983_956_957,1
148,963_958_957,1
149,963_958_939,1
150,963_957_958,1
151,963_957,4
152,963_956_963_957_958,1
153,963,15
154,962_962_962_908_834_908_962_1386_1386_961_834_908,1
155,962_962_962_1386_961,1
156,962_962_962_1385_961,1
157,962_961_962_908,1
158,962_961_962_834_834_908_908_1386_961,1
159,962_961_961_908,1
160,962_961,4
161,962_908,1
162,962_835_834_834_908,1
163,962_834_908,2
164,962,3
165,961_962_908,3
166,961_962,2
167,961_961_908_961_908_961_961_962_908,1
168,961_961_908_908_961_961_962_908_908,1
169,961_961_834_962_835_834_835_908_908_962,1
170,961_908_962,1
171,961_908_908_961_961_962_908,1
172,961_1386_961_1385_908_908_962,1
173,961_1386_911,1
174,961,6
175,960_925_924_923,1
176,960_924_924_923,1
177,960_923,5
178,960,23
179,96,9
180,95_95_11,3
181,95_116,1
182,959_959_959_830,1
183,959_959_830,3
184,959_830_829,1
185,959_830,18
186,959,6
187,958_982_956_982_956_983_958_957,1
188,958_963,1
189,958_958_983_956_956_958_957,1
190,958_958_957,1
191,958_957,4
192,958,13
193,957_963,1
194,957_958,2
195,957_956_939,1
196,957,8
197,956_983,1
198,956_982_957_982_958_957_958_957_983_956_983,1
199,956_982_810,1
200,956_940_939,2
201,956,1
202,955_955_955_955_955_955_818,1
203,955_954,6
204,955,12
205,954_955_954_931,1
206,954_954_955_955_954_931,1
207,954_931,4
208,954_819_818,1
209,954_818,1
210,954,11
