,T,N
0,30,8
1,26,1
2,22,1
3,21,1
4,20,1
5,19,2
6,18,3
7,17,3
8,16,1
9,15,4
10,14,1
11,13,5
12,12,7
13,11,7
14,10,13
15,9,14
16,8,10
17,7,19
18,6,36
19,5,55
20,4,100
21,3,205
22,2,513
23,1,2324
