,E,N
0,99,1
1,985,1
2,964,1
3,962,1
4,955,1
5,938,1
6,875,1
7,870,1
8,855,1
9,849,1
10,818,1
11,796,1
12,795,1
13,772,1
14,764,1
15,753,1
16,752,1
17,750,1
18,72,1
19,712,1
20,704,1
21,694,1
22,656,1
23,655,1
24,645,1
25,637,1
26,616,1
27,594,1
28,586,1
29,576,1
30,555,1
31,551_549,1
32,531,1
33,523,1
34,520,1
35,512,1
36,509,1
37,506,1
38,476,1
39,451,1
40,449,1
41,445,1
42,438,1
43,426_134_388,1
44,406,1
45,401,1
46,380,1
47,365,1
48,323,1
49,310,1
50,282,1
51,271,1
52,262,1
53,223,1
54,203_179,1
55,168,1
56,167,1
57,161,1
58,152,1
59,143,1
60,142,1
61,1375,1
62,1370,1
63,1365,1
64,1358_484,1
65,1350,1
66,1323,1
67,1320,1
68,1316,1
69,1298,1
70,1280,1
71,1265,1
72,1255,1
73,125,1
74,1248,1
75,1238,1
76,1231,1
77,1223,1
78,1219,1
79,1211,1
80,1204,1
81,1182,1
82,1180,1
83,1176,1
84,1126,1
85,1110,1
86,1080,1
87,1059,1
88,1054,1
89,1053,1
90,1050,1
91,105,1
92,1048,1
93,1025,1
94,1009,1
95,1004,1
96,100,1
97,,182
