,T,N
0,152,2
1,148,2
2,147,1
3,139,1
4,137,1
5,134,1
6,119,1
7,114,1
8,102,1
9,85,3
10,83,1
11,81,3
12,80,2
13,79,1
14,77,3
15,76,2
16,73,1
17,72,1
18,69,1
19,64,1
20,63,3
21,61,1
22,60,1
23,59,1
24,58,2
25,57,1
26,56,3
27,54,1
28,53,1
29,48,1
30,47,1
31,46,1
32,45,2
33,44,2
34,41,4
35,40,1
36,39,2
37,38,2
38,37,3
39,36,2
40,35,3
41,33,1
42,32,4
43,31,1
44,30,4
45,29,3
46,28,3
47,27,3
48,26,5
49,25,11
50,24,10
51,23,7
52,22,7
53,21,5
54,20,11
55,19,11
56,18,14
57,17,15
58,16,18
59,15,13
60,14,20
61,13,30
62,12,41
63,11,45
64,10,48
65,9,65
66,8,93
67,7,123
68,6,196
69,5,270
70,4,481
71,3,978
72,2,2570
73,1,11367
