,S,N
471,896,8
472,895,3
473,894,8
474,893,19
475,892,19
476,891,22
477,890,1
478,889,5
479,888,7
480,887,15
481,886,16
482,885,14
483,884,18
484,883,26
485,882,3
486,881,21
487,880,1
488,879,4
489,878,3
490,877,11
491,876,23
492,875,1
493,874,5
494,873,24
495,872,9
496,871,13
497,870,1
498,869,17
499,868,16
500,867,9
501,866,4
502,863,1
503,861,12
504,860,9
505,859,1
506,858,9
507,857,32
508,856,16
509,855,15
510,854,5
511,853,6
512,852,35
513,851,4
514,850,4
515,849,6
516,848,20
517,847,25
518,846,28
519,845,16
520,844,4
521,843,24
522,842,3
523,841,18
524,840,25
525,839,22
526,838,8
527,837,3
528,836,4
529,835,28
530,834,13
531,833,25
532,832,4
533,831,21
534,830,24
535,829,6
536,828,7
537,827,19
538,826,2
539,825,21
540,824,20
541,823,7
542,822,9
543,821,10
544,820,20
545,819,10
546,818,19
547,817,8
548,816,4
549,815,8
550,814,17
551,813,16
552,812,15
553,811,5
554,810,14
555,809,19
556,808,27
557,807,24
558,806,20
559,805,16
560,804,8
561,803,5
562,802,9
563,801,14
564,800,14
565,799,17
566,798,7
567,797,6
568,796,14
569,795,12
570,794,23
571,793,13
572,792,11
573,791,9
574,790,25
575,789,30
576,788,5
577,787,4
578,786,17
579,785,12
580,784,23
581,783,11
582,781,5
583,780,16
584,779,12
585,778,30
586,777,15
587,776,16
588,775,23
589,774,25
590,773,12
591,772,18
592,771,14
593,770,3
594,769,2
595,768,6
596,767,29
597,766,10
598,765,17
599,764,22
600,763,30
601,762,6
602,761,4
603,760,3
604,759,19
605,758,18
606,757,1
607,756,11
608,755,27
609,754,25
610,753,16
611,752,12
612,751,5
613,750,10
614,749,22
615,748,16
616,747,9
617,746,7
618,745,3
619,744,25
620,743,25
621,742,23
622,741,30
623,740,14
624,739,12
625,738,5
626,737,17
627,736,3
628,735,27
629,734,18
630,733,3
631,732,29
632,731,9
633,730,20
634,729,27
635,728,10
636,727,29
637,726,15
638,725,7
639,724,5
640,723,11
641,722,11
642,721,13
643,720,11
644,719,11
645,718,6
646,717,5
647,716,12
648,715,14
649,714,5
650,713,5
651,712,13
652,711,7
653,710,27
654,709,11
655,708,29
656,707,24
657,706,29
658,705,21
659,704,24
660,703,16
661,702,17
662,701,16
663,700,19
664,699,18
665,698,24
666,697,8
667,696,22
668,695,10
669,694,3
670,693,3
671,692,25
672,691,17
673,690,21
674,689,19
675,688,28
676,687,11
677,686,1
678,685,27
679,684,23
680,683,4
681,682,1
682,681,28
683,680,33
684,679,21
685,678,11
686,677,14
687,676,24
688,675,18
689,674,16
690,673,7
691,672,17
692,671,22
693,670,24
694,669,26
695,668,35
696,667,22
697,666,7
698,665,10
699,664,21
700,663,9
701,662,10
702,661,14
703,660,15
704,659,26
705,658,19
706,657,17
707,656,23
708,655,14
709,654,18
710,653,16
711,652,5
712,651,31
713,650,4
714,649,8
715,648,17
716,647,26
717,646,34
718,645,13
719,644,20
720,643,27
721,642,9
722,641,18
723,640,24
724,639,21
725,638,20
726,637,17
727,636,20
728,635,12
729,634,30
730,633,2
731,632,11
732,631,2
733,630,15
734,629,7
735,628,14
736,627,20
737,626,27
738,625,25
739,624,21
740,623,24
741,622,7
742,621,24
743,620,4
744,619,19
745,618,10
746,617,14
747,616,13
748,615,17
749,614,3
750,611,31
751,610,14
752,609,1
753,608,6
754,606,25
755,604,7
756,603,26
757,602,17
758,601,2
759,599,2
760,598,1
761,597,1
762,596,35
763,595,21
764,594,20
765,593,22
766,592,12
767,591,3
768,590,17
769,589,33
770,588,18
771,587,20
772,586,4
773,585,2
774,584,10
775,583,34
776,582,6
777,581,14
778,580,1
779,579,4
780,577,1
781,576,15
782,575,8
783,574,17
784,573,6
785,572,11
786,571,8
787,570,30
788,569,19
789,568,3
790,567,1
791,565,13
792,564,27
793,563,27
794,562,16
795,561,19
796,560,8
797,559,4
798,558,9
799,557,11
800,556,26
801,555,6
802,554,7
803,553,4
804,552,13
805,551,7
806,550,6
807,549,2
808,548,9
809,547,27
810,546,12
811,545,2
812,544,3
813,543,3
814,542,13
815,541,27
816,540,21
817,539,10
818,538,22
819,537,2
820,536,10
821,535,34
822,534,2
823,533,5
824,532,15
825,531,19
826,530,2
827,529,3
828,528,9
829,527,4
830,526,13
831,525,19
832,524,7
833,523,18
834,522,26
835,521,21
836,520,6
837,519,14
838,518,14
839,517,19
840,516,17
841,515,20
842,514,27
843,513,7
844,512,3
845,511,23
846,510,27
847,509,7
848,508,27
849,507,4
850,505,2
851,504,17
852,503,14
853,502,23
854,501,16
855,500,9
856,499,2
857,498,2
858,497,25
859,496,29
860,495,19
861,494,29
