,S,N
471,888,1
472,887,2
473,886,10
474,885,1
475,884,2
476,883,19
477,882,3
478,881,22
479,880,27
480,879,24
481,878,10
482,877,17
483,876,6
484,875,8
485,874,6
486,873,9
487,871,14
488,870,3
489,869,10
490,868,3
491,867,9
492,866,11
493,865,5
494,864,2
495,863,10
496,862,4
497,861,5
498,860,11
499,859,21
500,858,2
501,857,8
502,856,17
503,855,21
504,854,14
505,853,18
506,852,12
507,851,8
508,850,1
509,849,7
510,848,12
511,847,2
512,846,6
513,845,20
514,844,24
515,843,8
516,842,3
517,841,10
518,840,15
519,839,7
520,838,5
521,837,5
522,836,13
523,835,10
524,834,3
525,833,16
526,832,21
527,831,4
528,830,1
529,829,4
530,828,3
531,827,2
532,825,7
533,824,7
534,823,11
535,822,2
536,821,1
537,820,6
538,819,4
539,818,12
540,817,7
541,816,25
542,815,23
543,814,8
544,813,6
545,812,18
546,811,10
547,810,6
548,809,7
549,808,16
550,807,12
551,806,8
552,804,28
553,803,16
554,802,9
555,801,1
556,800,3
557,799,2
558,798,10
559,797,7
560,796,6
561,795,23
562,794,13
563,793,2
564,792,6
565,791,14
566,790,6
567,789,6
568,788,4
569,787,23
570,786,2
571,785,1
572,784,11
573,783,10
574,782,10
575,781,29
576,780,3
577,779,4
578,778,32
579,777,4
580,776,1
581,775,17
582,774,28
583,773,8
584,772,16
585,771,29
586,770,3
587,769,4
588,768,1
589,767,12
590,766,4
591,764,13
592,763,11
593,762,3
594,761,24
595,760,6
596,759,14
597,758,14
598,757,19
599,755,7
600,754,10
601,753,6
602,752,12
603,751,25
604,750,3
605,749,14
606,748,2
607,747,1
608,746,11
609,745,12
610,744,10
611,743,10
612,742,6
613,741,9
614,740,17
615,739,1
616,738,9
617,737,7
618,736,13
619,735,14
620,734,17
621,733,19
622,732,5
623,731,4
624,730,9
625,729,19
626,728,15
627,727,10
628,726,2
629,725,7
630,724,3
631,723,6
632,722,8
633,721,13
634,720,1
635,719,12
636,718,28
637,717,26
638,716,5
639,715,5
640,714,2
641,713,15
642,712,1
643,711,6
644,710,11
645,709,8
646,708,13
647,707,12
648,706,18
