,F,N
0,7886,1
1,5386,1
2,3652,1
3,3547,1
4,3465,1
5,2932,1
6,2839,1
7,1452,1
8,1156,1
9,1020,1
10,651,1
11,602,1
12,540,1
13,538,1
14,511,1
15,442,1
16,431,1
17,423,1
18,381,1
19,345,1
20,336,1
21,326,1
22,296,1
23,287,1
24,286,1
25,283,1
26,273,1
27,261,1
28,252,1
29,230,2
30,217,1
31,200,1
32,191,1
33,188,1
34,186,1
35,182,1
36,181,2
37,175,1
38,170,1
39,167,3
40,160,2
41,148,1
42,144,1
43,142,1
44,137,1
45,131,1
46,123,1
47,121,1
48,119,1
49,118,1
50,117,1
51,114,1
52,110,1
53,109,1
54,108,1
55,105,2
56,104,1
57,103,1
58,102,1
59,98,1
60,96,1
61,93,1
62,92,1
63,91,1
64,90,1
65,87,1
66,82,1
67,81,1
68,79,1
69,77,1
70,76,1
71,75,3
72,74,1
73,73,2
74,72,3
75,71,1
76,70,2
77,69,2
78,68,2
79,67,1
80,66,1
81,65,1
82,64,1
83,63,2
84,62,1
85,61,3
86,60,3
87,59,3
88,58,4
89,57,1
90,56,2
91,55,2
92,54,3
93,53,3
94,52,2
95,51,3
96,50,1
97,49,4
98,48,3
99,47,4
100,46,6
101,45,2
102,44,3
103,43,5
104,42,3
105,41,5
106,40,7
107,39,6
108,38,3
109,37,2
110,36,4
111,35,6
112,34,2
113,33,7
114,32,7
115,31,6
116,30,4
117,29,8
118,28,8
119,27,9
120,26,4
121,25,17
122,24,6
123,23,14
124,22,10
125,21,12
126,20,13
127,19,21
128,18,31
129,17,25
130,16,37
131,15,29
132,14,40
133,13,40
134,12,48
135,11,52
136,10,76
137,9,116
138,8,148
139,7,189
140,6,245
141,5,393
142,4,566
143,3,1148
144,2,2817
145,1,10964
