,E,N
0,99_99_33,1
1,996,1
2,995_996,1
3,995_988,1
4,995_1028_1027_1028_1027_995_988,1
5,995,2
6,994_994_994_994_994_994_994_994_994_994_996_994_994_996_994_994_994_996_996_994_995_996_996_994,1
7,992_991,1
8,992,2
9,99,1
10,988_996_995_988,1
11,988_995,1
12,988,1
13,987_887,3
14,987,3
15,986_827,2
16,985_916,1
17,985,2
18,984,2
19,983_982_983_956,1
20,983,2
21,982_956,2
22,982,2
23,980,1
24,98,2
25,97_96,2
26,979_978,2
27,979,4
28,978_978,1
29,978_977,3
30,978,3
31,977,1
32,976_975,4
33,975,3
34,974_814_808,1
35,974_814,1
36,974,1
37,973_972,1
38,973,1
39,971_806,2
40,971,2
41,97,2
42,96_123,1
43,969_968,1
44,969,3
45,968_967,4
46,968,2
47,966_965,4
48,966,1
49,964_964_964_844,1
50,964_848_964_843_964,1
51,964,3
52,963,1
53,962_962_962_834_908,1
54,962,1
55,961_962,1
56,961_1386_1386_1386_1386_962_1386_962_1386_1386_908_834_908_908_1386_1386_1386_962_1386_1386_1386_1386_1386_908_834_908_834_908_908_962_1386_1386_962_1386_962,1
57,960_923,1
58,960,4
59,96,1
60,95_95_95_95_95_95_95_11,1
61,95_95_95_11,1
62,95_95_11,1
63,95_95,1
64,95_11,2
65,959,1
66,958_957,1
67,958,2
68,957_963,1
69,957,5
70,956_983_956,1
71,956_956_983,2
72,956_939,1
73,955_954,2
74,954_818_817,1
75,954_818,1
76,953_816,1
77,952_860,3
78,952,5
79,951_947,1
80,951,4
81,950_949_951_950_946,1
82,950_946_950_950_947_951_947_946_949_949_813,1
83,950,3
84,95,1
85,94_93,1
86,949_946,1
87,948,1
88,947_951,1
89,947,1
90,946_946_946_949,1
91,945_941,1
92,945,2
93,943,1
94,942,3
95,941,1
96,940_956_939,1
97,940_939,2
98,940,4
99,93_100_83,1
100,939_940_956_940_939,1
101,939_940,2
102,938_937,5
103,938,1
104,936_789,2
105,936,2
106,935_934,1
107,935_789,3
108,934_934_934_934_934_934_935,1
109,934,1
110,933_775_775,1
111,933_775_774,1
112,933_774,6
113,933,1
114,932_774_775,1
115,932,1
116,931_931,1
117,931_817,1
118,931,2
119,92_91,3
120,929,4
121,928_927,2
122,928,3
123,927,2
124,926,1
125,925_924,1
126,925,1
127,924_923,1
128,924,1
129,921,2
130,920_920_903_784,1
131,920_920_784_1332_920_920_903,1
132,920_903,1
133,919,1
134,917_918_918_761_761_917_917_917_918_918_917_917_761_941_941_941_761_761_917_917_917_917_917_917_917_918_918_918_918_918_1355_918_917_941_941_942_945_945_941_761_941_941_762_941_761_970_970_970_970_918_945_918_759_759_761_969_969_758_918_917,1
135,916_852,1
136,915_914,1
137,915_899,1
138,913,1
139,912,1
140,911_912,1
141,911,2
142,91,1
143,907,1
144,906,1
145,904_903_784,1
146,904,3
147,903_784,1
148,903,1
149,902_902_901,1
150,902_901,4
151,902_899,2
152,902,1
153,900_896,1
154,900,1
155,899,2
156,898,1
157,897_896,1
158,897,1
159,895_894,2
160,895,3
161,894_894_895,1
162,894_894,1
163,894,3
164,893,1
165,892_891,1
166,892,3
167,891,1
168,88_88,1
169,88_87,1
170,888_887,1
171,886_886_885,1
172,886_885,4
173,886,3
174,885_823_824_783,1
175,885,1
176,884_883,1
177,884,1
178,883,3
179,88,2
180,87_88_87,1
181,87_87_88,1
182,87_87_277_87_88_277,1
183,879,2
184,878_1236_878_878_878_878_1237_1233_878_1237_878_1237_1233_878_1237_878_1237_1237_1234_1233_1233_878_1237_878_1237_1237_1237_878_1237_1234_1232_1232_878_1234_878_1236_1237_1232_1234_1234_1234_1237_1237_1232_1237_1237_877,1
185,877_876,1
186,877,2
187,876,4
188,875_1266,1
189,874,3
190,872_872_847_872_872_872_872_872_872_872_847_846_872,1
191,872_847_872_847_872_872_872_872_872_872,1
192,872_847_846,1
193,872_846,1
194,871,3
195,870_875_870_858_859,1
196,87,1
197,869_1360_868,1
198,869,1
199,867_868_868_868_868_868_868_866,1
200,866,4
