,S,N
0,1394,2
1,1393,2
2,1390,2
3,1389,4
4,1388,2
5,1387,6
6,1386,7
7,1385,9
8,1384,15
9,1382,5
10,1381,13
11,1380,2
12,1378,6
13,1377,21
14,1376,23
15,1375,7
16,1374,7
17,1372,27
18,1371,17
19,1370,13
20,1367,11
21,1366,21
22,1365,15
23,1364,17
24,1363,11
25,1362,19
26,1361,1
27,1360,10
28,1359,23
29,1358,9
30,1357,1
31,1356,15
32,1355,13
33,1354,20
34,1353,21
35,1352,12
36,1351,35
37,1350,18
38,1349,9
39,1348,14
40,1347,31
41,1346,9
42,1345,1
43,1344,8
44,1343,6
45,1342,1
46,1341,1
47,1340,6
48,1339,18
49,1338,11
50,1337,4
51,1336,10
52,1335,1
53,1334,18
54,1333,16
55,1332,19
56,1331,28
57,1330,18
58,1329,13
59,1328,31
60,1327,25
61,1326,11
62,1325,3
63,1323,2
64,1322,21
65,1321,2
66,1320,10
67,1319,21
68,1318,17
69,1317,20
70,1316,9
71,1315,14
72,1314,3
73,1313,11
74,1312,15
75,1311,25
76,1310,25
77,1309,22
78,1308,24
79,1307,10
80,1306,2
81,1302,10
82,1301,18
83,1300,10
84,1299,13
85,1298,11
86,1297,19
87,1295,2
88,1294,3
89,1293,24
90,1292,5
91,1291,11
92,1290,22
93,1289,6
94,1288,18
95,1287,1
96,1286,2
97,1285,12
98,1284,14
99,1283,5
100,1282,1
101,1281,21
102,1280,19
103,1279,13
104,1278,9
105,1277,7
106,1275,6
107,1274,20
108,1273,3
109,1272,1
110,1270,6
111,1268,6
112,1267,17
113,1266,9
114,1265,10
115,1264,19
116,1263,8
117,1262,9
118,1261,15
119,1260,7
120,1259,4
121,1257,21
122,1256,1
123,1255,6
124,1254,21
125,1253,17
126,1252,7
127,1251,18
128,1250,15
129,1249,14
130,1248,32
131,1247,6
132,1246,3
133,1245,5
134,1244,6
135,1243,25
136,1242,17
137,1241,12
138,1240,16
139,1238,12
140,1237,18
141,1236,3
142,1234,14
143,1233,15
144,1232,14
145,1231,15
146,1230,10
147,1229,30
148,1228,17
149,1227,3
150,1225,23
151,1224,22
152,1223,9
153,1222,7
154,1220,10
155,1219,6
156,1218,10
157,1217,16
158,1216,32
159,1215,21
160,1214,6
161,1213,4
162,1212,10
163,1211,4
164,1210,10
165,1209,1
166,1208,6
167,1207,9
168,1206,18
169,1205,16
170,1204,6
171,1203,7
172,1202,7
173,1201,5
174,1200,7
175,1199,6
176,1198,17
177,1197,15
178,1195,5
179,1194,11
180,1193,1
181,1192,5
182,1191,4
183,1190,1
184,1189,4
185,1188,5
186,1187,11
187,1186,12
188,1185,16
189,1184,9
190,1182,13
191,1181,15
192,1180,2
193,1177,1
194,1176,7
195,1175,3
196,1174,1
197,1173,23
198,1172,11
199,1171,18
200,1170,14
201,1169,24
202,1168,9
203,1167,10
204,1166,4
205,1165,3
206,1164,26
207,1163,3
208,1162,6
209,1161,15
210,1160,23
211,1159,14
212,1158,27
213,1157,6
214,1156,18
215,1155,16
216,1154,25
217,1153,22
218,1152,21
219,1151,19
220,1150,21
221,1149,22
222,1148,3
223,1147,10
224,1145,4
225,1144,2
226,1143,8
227,1142,5
228,1141,7
229,1140,5
230,1139,11
231,1138,11
232,1137,2
233,1136,1
234,1134,5
235,1133,14
236,1132,19
237,1131,7
238,1130,10
239,1129,22
240,1128,9
241,1127,13
242,1126,24
243,1125,10
244,1124,19
245,1123,5
246,1122,4
247,1121,15
248,1120,16
249,1119,14
250,1118,15
251,1117,6
252,1116,9
253,1115,10
254,1114,23
255,1113,2
256,1112,2
257,1110,11
258,1109,15
259,1106,3
260,1105,4
261,1104,7
262,1103,12
263,1102,16
264,1101,29
265,1100,13
266,1099,31
267,1098,28
268,1097,21
269,1096,14
270,1095,12
271,1094,8
272,1093,28
273,1092,8
274,1090,12
275,1089,15
276,1088,14
277,1087,24
278,1086,17
279,1085,11
280,1084,2
281,1083,23
282,1082,18
283,1081,8
284,1080,1
285,1079,14
286,1078,16
287,1077,9
288,1076,19
289,1075,17
290,1074,7
291,1073,24
292,1072,7
293,1070,11
294,1069,1
295,1068,16
296,1067,7
297,1066,22
298,1065,6
299,1064,32
300,1063,11
301,1062,12
302,1061,34
303,1060,15
304,1059,12
305,1058,27
306,1057,17
307,1056,11
308,1055,22
309,1054,14
310,1053,23
311,1052,18
312,1051,15
313,1050,13
314,1049,15
315,1048,17
316,1047,11
317,1046,2
318,1045,4
319,1044,8
320,1043,5
321,1042,3
322,1041,17
323,1040,11
324,1039,7
325,1038,4
326,1037,17
327,1036,5
328,1035,13
329,1034,18
330,1033,4
331,1032,21
332,1031,25
333,1030,7
334,1029,19
335,1028,11
336,1027,25
337,1026,13
338,1025,7
339,1024,9
340,1023,9
341,1022,2
342,1021,14
343,1020,11
344,1019,23
345,1018,14
346,1017,9
347,1016,15
348,1015,19
349,1014,13
350,1013,14
351,1012,19
352,1011,21
353,1010,29
354,1009,4
355,1008,10
356,1007,17
357,1006,7
358,1005,26
359,1004,17
360,1003,17
361,1002,11
362,1001,16
363,1000,23
364,999,1
365,998,7
366,997,7
367,996,16
368,995,10
369,994,5
370,993,19
371,992,27
372,991,17
373,990,2
374,989,2
375,988,19
376,987,13
377,986,1
378,985,25
379,984,14
380,983,16
381,982,2
382,981,11
383,980,24
384,979,22
385,978,14
386,977,13
387,976,3
388,975,25
389,974,15
390,973,5
391,972,7
392,971,8
393,970,3
394,969,18
395,968,15
396,967,12
397,966,4
