,F,N
0,2084,1
1,1327,1
2,626,1
3,558,1
4,304,1
5,297,1
6,290,1
7,208,1
8,203,1
9,196,1
10,194,1
11,175,1
12,165,1
13,156,1
14,152,1
15,138,1
16,135,1
17,125,2
18,116,1
19,101,1
20,99,1
21,95,1
22,93,1
23,89,1
24,87,1
25,82,1
26,80,1
27,75,1
28,69,1
29,68,1
30,66,1
31,63,1
32,62,1
33,57,1
34,55,1
35,53,2
36,52,1
37,49,1
38,44,1
39,43,2
40,42,2
41,39,3
42,38,1
43,36,2
44,33,1
45,31,2
46,30,2
47,29,1
48,28,1
49,27,2
50,26,3
51,25,4
52,24,2
53,23,3
54,22,2
55,21,2
56,20,4
57,19,6
58,18,5
59,17,6
60,16,3
61,15,9
62,14,5
63,13,8
64,12,10
65,11,15
66,10,17
67,9,19
68,8,21
69,7,41
70,6,45
71,5,83
72,4,104
73,3,236
74,2,488
75,1,1983
