,F,N
0,1409,1
1,1039,1
2,837,1
3,736,1
4,481,1
5,344,1
6,300,1
7,299,1
8,243,1
9,237,1
10,211,1
11,210,1
12,209,1
13,184,1
14,156,1
15,154,1
16,146,2
17,130,1
18,125,1
19,109,1
20,108,1
21,102,1
22,96,1
23,95,1
24,82,1
25,81,1
26,78,1
27,71,1
28,68,1
29,67,1
30,66,1
31,63,1
32,60,3
33,56,2
34,54,2
35,50,2
36,44,1
37,42,2
38,41,2
39,40,2
40,39,1
41,36,1
42,35,1
43,33,1
44,32,2
45,31,2
46,30,2
47,29,1
48,28,2
49,27,1
50,26,3
51,25,3
52,24,5
53,23,4
54,22,3
55,21,2
56,20,6
57,19,2
58,18,5
59,17,8
60,16,9
61,15,7
62,14,9
63,13,11
64,12,16
65,11,19
66,10,14
67,9,25
68,8,22
69,7,35
70,6,52
71,5,65
72,4,114
73,3,206
74,2,550
75,1,1934
