,E,N
212,848_847,1
213,848,1
214,847,3
215,843,4
216,84,3
217,83_83_83_93_93_83_100,1
218,835,1
219,834_834_834_908,1
220,834,1
221,833_834_834_908_908_835_833_834_835_834,1
222,833,6
223,831_831_1299,1
224,831_830,1
225,831_1299_892_891_892_831_832_831_831_831_786_787_892_786_786_831_832_979_978_979_787_831_892_893_893_892_892_785_892_892_785_785_785_831_786_893_786_787_831_787_787_832_786_786_788_832_831_891_891_892_892_785_786_786_831_831,1
226,831_1299,2
227,831,1
228,830_829,1
229,830_828_829,1
230,830,2
231,82_81,5
232,829_828,1
233,827,3
234,826,3
235,825_810_810_809_810,1
236,825_810_810_809,1
237,825_810,1
238,825_809,1
239,825,1
240,822_821,3
241,821_822,1
242,821_821_820_819,1
243,821,3
244,820_819,1
245,82,3
246,81_82,1
247,819,3
248,818,2
249,816_817_818_815_815_815_817_818_817_1262_1380_1262_818_818_815_815_818_818_815_815_819_818_954_818_815_815_817_953_817_817_819_818_817_815_818_818_817_817_818_817_931_819_819_818_818,1
250,814_974,1
251,814_973_972,1
252,814_808_808_807_215,1
253,814_808,1
254,814,2
255,811_812_811_763_811_763_824_783_783_1298_909_1298_910_910_1298_1298_909_910_886_219_220_824_784_784_783_783_823_219_764_764_763_763_813_813_811_948_813_948_814_813_813_812_812_812_216_812_811_764_763_763_811_813_813_812_812_811_812_824_885_824_824_885_885_218_218_824_824_784_824_824_783_885_886_885_885_218_811_216_885_903_784_784_824_783_885_219_885_824_885_219_219_824_824_783_885_1298_909_219_220_220_885_219_219_811_811_216_813_216_811_811_813_813_811_813_812_783_885_784_784_824_784_217_948_948_813_951_951_951_951_946_947_947_949_951_951_951_947_949_813_950_951_813_950_813_951_948_948_948_948_951_763_763_948_216,1
256,810_825_825_826_810_809,1
257,810_810_810_809,1
258,810_810_809,1
259,810_809,1
260,810,1
261,81,1
262,809_809_810,1
263,808_215_808_215_807,1
264,808,3
265,807_215,1
266,807,1
267,806,1
268,805,5
269,802,1
270,799_174,1
271,797,1
272,796_793,1
273,796_773,1
274,796,1
275,794,2
276,793_796,1
277,793_793_796,1
278,793,2
279,789_936,1
280,789_935_789,1
281,789_789,1
282,789,2
283,786,3
284,785,2
285,784,4
286,783,1
287,780,1
288,779_806_214,1
289,779_779_778,1
290,779_778,3
291,779_214_779_215_214_214_779_779_778,1
292,779_214_778,1
293,779,1
294,778_214,1
295,778,2
296,777_777_777_777_777_1265_1265_985_776,1
297,777_776,3
298,777_1265_777,1
299,777,2
300,776,4
301,775_932,1
302,775,2
303,774_933,2
304,774_775_932,1
305,774,1
306,773_796_796_796_773_843_843_847_847_794_843_847_848_848_850_849_796_793_848_849_849_790_791_790_847_790_848_848_849_849_773_848_848_850_850_791_849_790_850_848_847_849_791_772_852_985_916_916_794_773_772_1389_772_795_794_794_796_796_773_772_796_796_772_772_773_796_772_772_850_847_790_772_935_789_789_789_847_789_789_935_789_789_848_850_790_1389_772_772_851_794_849_848_850_849_847_849_772_772,1
307,768_768_768_767,2
308,768_768_767,1
309,768_767,4
310,768,2
311,767,2
312,766_827_766_766_827_765,1
313,766_765,1
314,766,1
315,765_767_765_765_765_827_765_765_766,1
316,765_765_765_765_765_766,1
317,764_764_763,1
318,764_763,2
319,764,5
320,763,1
321,762,3
322,758,6
323,756_726,1
324,756,1
325,755,9
326,754,4
327,753_754,2
328,753,2
329,752_718_717_675_674,1
