,T,N
0,37,33
1,34,2
2,33,1
3,31,4
4,30,4
5,29,2
6,28,1
7,26,2
8,24,1
9,23,2
10,22,3
11,21,4
12,20,1
13,18,2
14,17,5
15,16,6
16,15,4
17,14,6
18,13,4
19,12,7
20,11,8
21,10,10
22,9,10
23,8,18
24,7,22
25,6,33
26,5,38
27,4,117
28,3,213
29,2,547
30,1,2087
