,E,N
0,9_8,1
1,996,4
2,995_995_995_988,1
3,995_995_988_1027,1
4,995_988,1
5,995,1
6,994_988_988_995_995_996_995_996_994_993_994_996,1
7,992_992_991,1
8,992_991,1
9,992,2
10,99,2
11,987_887,2
12,987,5
13,986_827,1
14,986_766_765_827,1
15,985_924,1
16,985_852_852_916_985_777,1
17,985,3
18,984_984_837_836_984_980_837_836_836_836_980_980_984_980,1
19,984,2
20,983_983_983_982_956,1
21,983_983_956,1
22,983_956,1
23,983,2
24,982_983_957_982_982_956_939,1
25,982_956,3
26,981,2
27,980,4
28,98,2
29,97_97_96,1
30,97_97,1
31,97_96,1
32,979_978,2
33,979,3
34,978_979,1
35,978_978_977_978_979_979,1
36,978_977_978_979,1
37,978_977,3
38,978,1
39,977,1
40,976_975,2
41,976,1
42,975,3
43,974_814,2
44,974,1
45,973_972,1
46,973,1
47,971_806,3
48,971,3
49,969_967,1
50,969,3
51,968_969,1
52,968_967,2
53,968,2
54,967,2
55,966_966_965,1
56,966,1
57,964,2
58,963_958_958_957,1
59,963,1
60,962_961,1
61,962_908,1
62,962,2
63,961,1
64,960_923,2
65,95_95_95_11,1
66,95_11,3
67,959,1
68,958_957,1
69,958,3
70,957_958,1
71,957,2
72,955_954_931,1
73,955_954,1
74,955,3
75,954,1
76,953_815_815_817_815_815_816_818_817,1
77,953,3
78,952_860,1
79,952,4
80,951_950_946_947,1
81,951,4
82,950,6
83,95,1
84,949_949_946,1
85,949,3
86,948,5
87,947_951_813,1
88,947_949_949_951_951_813_947_948_813_947_813_813_949_946_946_947_946,1
89,947_947_813,1
90,947,2
91,946_949,1
92,946,1
93,945,1
94,944_942,1
95,944,2
96,943_942,2
97,942,2
98,941_945,1
99,940_983_982_982_983_956_983_957_940_939,1
100,940_956_939,1
101,940_940_940_940,1
102,940_939,2
103,940,2
104,939_939_940_939,1
105,939,1
106,938_938_938_937,1
107,938_938_938_911_938_938_938_937,1
108,938_938,1
109,938_937,2
110,938,1
111,936,3
112,935,3
113,934,2
114,933_933_933_774,1
115,933_933_775_933_774,1
116,933_775_933_774,1
117,933_775_774,1
118,933_774,1
119,933_224_224_225_775_933_774,1
120,933,1
121,932,3
122,931,2
123,93,2
124,92_91_92_125_50_51,1
125,92_91,2
126,929,2
127,928_927,3
128,928,3
129,927,1
130,926,3
131,925,2
132,924,2
133,92,2
134,919,3
135,916_985_1265_777,1
136,916_916,1
137,916_852,1
138,916,2
139,914_915,1
140,912_911,2
141,911,1
142,909_909_909_1298_1298_1298_1298_1298_1298_1298_1298_1298,1
143,908_961_962,1
144,908_961_961_908_961_834_908_1386_908_908_962_961,1
145,908,2
146,907,1
147,906_905,1
148,906,1
149,905_853_854_952_860_860_855_856,1
150,905,1
151,904,2
152,903_920,1
153,903_784,1
154,903,1
155,902_901,4
156,902,2
157,901_902_899,1
158,900_898,1
159,900_896,1
160,900_820,2
161,900,1
162,90,1
163,9,1
164,89_453_388,1
165,899_898,3
166,898_899,1
167,897_896,1
168,897,1
169,895_895_895_894,1
170,895_894,1
171,895,2
172,894_895,2
173,894,1
174,892_891,1
175,891_891_831,1
176,891,1
177,89,1
178,88_87_88_277_27,1
179,88_86_87,1
180,887_886,1
181,886_886_885,1
182,886_885,1
183,885_909_909_909_1298,1
184,885,1
185,884_884_883,1
186,884_1133,1
187,883,6
188,881,1
189,88,3
190,87_88,2
191,87_86,3
192,87_277_87_86_87,1
193,878_877,1
194,878_1233_1237_1237_878_878_1237_878_1236_1236_1175_1149_1181_1181_1180_1180_1180_1176_1176_1181_1191_1176_878_1210_1211_878_878_878_879_1237_1237_1233_1236_1233_878_1237_1210_1210_1141_1195_1336_1336_882_882_1361_1140_1144_1143_1144_1144_1144_1144_882_882_1333_1334_1334_882_882_1137_1189_1137_1188_1137_1218_1189_1189_1189_1184_1144_1240_1144_1144_1144_1144_1240_1144_1151_1151_1238_1238_1240_1142_1336_1336_1182_1182_1140_1140_1140_1140_1155_1140_1140_1140_1140_1140_1140_1140_1140_1156_1140_1140_1361_882_882_882_882_882_882_882_882_882_882_1137_1189_1195_1336_1336_1177_1336_1210_1210_1193_880_1228_880_1229_1228_1228_880_1195_1210_1210_1210_1210_880_880_1227_1228_880_1194_1210_1195_1195_1194_1205_882_1205_882_881_881_1227_1194_1195_1137_1181_1181_1149_1149_1149_1181_1149_1184_1184_1361_1182_1184_1149_1184_1195_1334_1336_1336_1322_1323_1189_1137_1190_1190_1179_1184_1184_1361_1361_1336_1189_1322_1336_882_1145_1144_1141_1145_1140_1182_1183_1182_1184_1184_1334_882_882_1188_1137_1322_1323_882_882_1333_1333_1194_1336_1336_1336_1143_1184_1182_1184_1144_1140_1278_1155_1140_1155_1278_1140_1140_1182_1184_1323_1322_1322_1322_882_882_882_1194_1322_1323_1184_1184_1361_878_1180_1180_1180_1180_1180_1176_1149_1181_1181_1176_1176_1191_1180_1180_1180_1180_1149_1181_1149_1149_1176_878_1191_1176_1176_1180_1227_878_1237_1233_1236_1210_1236_1236_1237_1237_1236_878_881_1205_1205_1204_1227_1204_880_880_1227_1228_1227_880_1194_1210_1210_1210_1193_1192_1191_877_877_1176_1191_1180_1180_877_1194_1194_1210_877_1181_1180_1180_1174_1176_1191_1193_1192,1
195,876,5
196,875,1
197,874_858,1
198,874,4
199,872_872_872,1
200,871,2
201,870_871_854_859,1
202,870_870_858_870_871_871_870_858_870_858_858_858_1266_1266_858_1311_1266_858_858_858_858_853_855_854_855_854_870_854_853_870_858_870_871_871_871_858_1311_1311_1266_875_875_871_858_859_874_857,1
203,870_870_858_853_858_859,1
204,87,2
205,86_87_88,1
206,868_867,2
207,866,1
208,862_865_865_862_862_862_862_930_930_862_862_862_865_862_930_862_862_930_862_862_865_865_930_930_862_862_930_865_862_862_862_867_867_868_868_867_866_862_862_868_1360_869_868_868_869_868_869_868_869_868_868_868_868_867_866_865_930_862_930_862_862_862,1
209,861_861_801,1
210,861_801,1
211,861,3
212,860_855_855_855_905_905_856,1
213,860,3
214,86,2
215,85_25,1
216,858_858_874,1
217,858_857,2
218,857,3
219,856_905_854_854_855_856_855,1
220,856,6
221,855_855_860_860_854,1
222,855_855,1
223,855_854_853,1
224,854_853,1
225,853,1
226,852_916,1
227,852,2
228,850,3
229,849_848,1
230,849,1
231,848_847,2
232,848_844_845_964_964_844_843,1
233,848_843,2
234,848,4
235,847,1
236,843,1
237,842,2
238,841,1
239,840_800_800_800_800_800_800_800_840_800_800_800_792_800_800_792_800_792_800_792_800_800_792_800_800_792_800_792_839_839_227_227_800_800_792_792_792_792_800,1
240,839_839_227_839_842,1
241,839,3
242,835,3
243,834_834_834_834_834_833_834_835,1
244,834_834_834_834_833,1
245,834_834_834_833,1
246,834_833,1
247,834,1
248,833_834,1
249,832_787,3
250,832_1299_891_891_891_831_832_832_787,1
251,832,4
252,831,1
253,83,1
254,827,2
255,826,1
256,825_809,1
257,825,2
258,824_824_783,1
259,824_783_783_813_812_812_823_823_823_823_823_218_218_823_823_218_219_219_823_811_813_812_813_812_811_763_813_812_813_812_812_218_218_811_812_217_811_813_812_218_811_216_811_811_812_812_764_763_763_811_811_813_812_783_823,1
260,823,3
261,822,2
262,821_821_820,1
263,821,1
264,82,2
265,818_954,1
266,818_817_816_815_815_818_818_817,1
267,818,4
268,817_817_816_815,1
269,817_815_817_817_817_815_816,1
270,817_815_816,1
271,817,1
272,815,2
273,814_974,1
274,814_808,1
275,814_807_808,1
276,814_215_807_808,1
277,814,2
278,813_948,1
279,813,1
280,810_810_809,1
281,810_809,5
282,810,5
283,81,1
284,809,1
285,808_807_215,1
286,808,1
287,807_808,1
288,807,1
289,806_779_214_778,1
290,806_778,1
291,805,1
