,F,N
0,17224,1
1,16592,1
2,15083,1
3,13984,1
4,12230,1
5,7816,1
6,6127,1
7,3106,1
8,2659,1
9,2486,1
10,2118,1
11,1202,1
12,1124,1
13,988,1
14,898,1
15,678,1
16,672,1
17,651,1
18,588,1
19,528,1
20,402,1
21,400,1
22,363,1
23,345,1
24,333,1
25,317,1
26,267,2
27,265,1
28,250,2
29,240,1
30,231,1
31,208,1
32,184,1
33,167,1
34,165,1
35,162,1
36,151,1
37,145,1
38,137,1
39,129,1
40,128,1
41,118,1
42,116,1
43,115,1
44,112,3
45,108,1
46,107,1
47,105,1
48,103,1
49,102,1
50,97,1
51,93,1
52,92,1
53,91,1
54,90,1
55,89,1
56,88,3
57,85,2
58,82,1
59,81,1
60,78,1
61,77,2
62,76,1
63,72,1
64,71,2
65,70,1
66,69,1
67,68,2
68,66,2
69,63,1
70,61,1
71,60,1
72,59,3
73,58,3
74,57,2
75,56,1
76,54,1
77,53,1
78,52,3
79,51,1
80,50,2
81,48,1
82,47,1
83,46,3
84,45,3
85,44,2
86,43,3
87,42,2
88,41,2
89,40,3
90,39,3
91,38,4
92,37,3
93,36,5
94,35,1
95,34,7
96,33,6
97,32,3
98,31,5
99,30,2
100,29,3
101,28,5
102,27,8
103,26,6
104,25,9
105,24,8
106,23,10
107,22,13
108,21,10
109,20,12
110,19,13
111,18,25
112,17,18
113,16,19
114,15,29
115,14,25
116,13,45
117,12,62
118,11,45
119,10,65
120,9,93
121,8,144
122,7,161
123,6,241
124,5,350
125,4,602
126,3,1159
127,2,2646
128,1,9665
