,ID,N
0,4555,1137
1,4545,1101
2,5555,1086
3,5545,1054
4,1621,2
5,2904,2
6,7510,2
7,5350,2
8,1344,2
9,4705,2
10,5239,2
11,2242,2
12,1640,2
13,4690,2
14,1991,2
15,2154,2
16,3696,2
17,7435,2
18,3069,2
19,1057,2
20,4138,2
21,3982,2
22,2640,1
23,5525,1
24,3603,1
25,4708,1
26,4710,1
27,4711,1
28,4685,1
29,4718,1
30,5548,1
31,4666,1
32,3607,1
33,1687,1
34,2686,1
35,703,1
36,4726,1
37,2644,1
38,678,1
39,681,1
40,1721,1
41,653,1
42,1716,1
43,7397,1
44,3581,1
45,1722,1
46,3579,1
47,3578,1
48,4729,1
49,3577,1
50,5533,1
51,673,1
52,3565,1
53,2650,1
54,676,1
55,6428,1
56,7392,1
57,3523,1
58,7347,1
59,2730,1
60,2733,1
61,3477,1
62,6494,1
63,5467,1
64,6499,1
65,781,1
66,7275,1
67,1613,1
68,796,1
69,800,1
70,801,1
71,804,1
72,6517,1
73,4809,1
74,4811,1
75,4814,1
76,812,1
77,1601,1
78,7251,1
79,2732,1
80,766,1
81,3533,1
82,3485,1
83,1678,1
84,4735,1
85,2694,1
86,1668,1
87,5496,1
88,2705,1
89,1662,1
90,3510,1
91,7322,1
92,7316,1
93,3499,1
94,750,1
95,5481,1
96,1647,1
97,4769,1
98,7301,1
99,6485,1
100,5475,1
101,3486,1
102,5559,1
103,606,1
104,1742,1
105,7539,1
106,6264,1
107,4514,1
108,446,1
109,448,1
110,450,1
111,452,1
112,455,1
113,7583,1
114,7574,1
115,1864,1
116,4530,1
117,3743,1
118,2536,1
119,5651,1
120,489,1
121,2549,1
122,4554,1
123,2554,1
124,501,1
125,2510,1
126,438,1
127,7600,1
128,3796,1
129,6217,1
130,384,1
131,2474,1
132,387,1
133,6225,1
134,391,1
135,7637,1
136,404,1
137,7621,1
138,4500,1
139,1902,1
140,7619,1
141,1900,1
142,416,1
143,417,1
144,4492,1
145,4495,1
146,4497,1
147,503,1
148,3711,1
149,7430,1
150,514,1
151,575,1
152,3653,1
153,6363,1
154,4624,1
155,7466,1
156,2609,1
157,5584,1
158,4628,1
159,4631,1
160,595,1
161,2617,1
162,5577,1
163,4638,1
164,6377,1
165,1760,1
166,1600,1
167,1752,1
168,1748,1
169,1743,1
170,572,1
171,6356,1
172,2599,1
173,6331,1
174,1827,1
175,6320,1
176,3700,1
177,6321,1
178,528,1
179,531,1
180,1814,1
181,6327,1
182,2579,1
183,561,1
184,6339,1
185,1800,1
186,4600,1
187,7495,1
188,553,1
189,7493,1
190,3670,1
191,5600,1
192,4817,1
193,3428,1
194,1599,1
195,1098,1
196,6985,1
197,6983,1
198,1106,1
199,2950,1
200,5056,1
201,2960,1
202,5065,1
203,3176,1
204,5257,1
205,2967,1
206,6960,1
207,6742,1
208,3170,1
209,1134,1
210,5253,1
211,1136,1
212,2972,1
213,1138,1
214,6952,1
215,5046,1
216,6989,1
217,5080,1
218,1389,1
219,6686,1
220,1049,1
221,7032,1
222,7029,1
223,1419,1
224,3231,1
225,5013,1
226,5297,1
227,5018,1
228,1413,1
229,7016,1
230,7010,1
231,1077,1
232,2934,1
233,1081,1
234,6708,1
235,6711,1
236,6714,1
237,1091,1
238,3162,1
239,3157,1
240,7041,1
241,3010,1
242,3107,1
243,1208,1
244,1309,1
245,1307,1
246,6887,1
247,5207,1
248,3095,1
249,6803,1
250,6805,1
251,3083,1
252,1235,1
253,3077,1
254,6857,1
255,3074,1
256,1249,1
257,5179,1
258,5164,1
259,6829,1
260,6839,1
261,1314,1
262,1199,1
263,6942,1
264,6899,1
265,1151,1
266,5245,1
267,6757,1
268,2983,1
269,3147,1
270,1160,1
271,3145,1
272,5240,1
273,1171,1
274,3134,1
275,1175,1
276,1180,1
277,1184,1
278,3124,1
279,6784,1
280,3119,1
281,1319,1
282,6786,1
283,6900,1
284,1424,1
285,1431,1
286,4820,1
287,875,1
288,2801,1
289,883,1
290,1548,1
291,4874,1
292,890,1
293,5399,1
294,3372,1
295,4883,1
296,3366,1
297,2818,1
298,3361,1
299,6584,1
300,7165,1
301,2823,1
302,2824,1
303,4897,1
304,7157,1
305,7156,1
306,5383,1
307,878,1
308,1556,1
309,6600,1
310,3395,1
311,2761,1
312,3430,1
313,3822,1
314,4836,1
315,840,1
316,2776,1
317,5428,1
318,7220,1
319,3411,1
320,1574,1
321,6548,1
322,3406,1
323,4850,1
324,856,1
325,5421,1
326,2787,1
327,6553,1
328,3397,1
329,7202,1
330,3344,1
331,5372,1
332,3246,1
333,4958,1
334,2880,1
335,1000,1
336,7078,1
337,1457,1
338,6659,1
339,4973,1
340,7069,1
341,1450,1
342,1449,1
343,1447,1
344,3264,1
345,4983,1
346,2897,1
347,2898,1
348,1024,1
349,3258,1
350,2903,1
351,4993,1
352,7047,1
353,2878,1
354,1470,1
355,2843,1
356,2876,1
357,943,1
358,3326,1
359,7127,1
360,7125,1
361,2854,1
362,1492,1
363,965,1
364,966,1
365,6633,1
366,5346,1
367,7102,1
368,3300,1
369,4948,1
370,978,1
371,4951,1
372,981,1
373,983,1
374,984,1
375,6643,1
376,6216,1
377,4000,1
378,3056,1
379,3913,1
380,5767,1
381,1996,1
382,4081,1
383,4225,1
384,284,1
385,7918,1
386,3908,1
387,281,1
388,2405,1
389,2147,1
390,4069,1
391,2282,1
392,3915,1
393,6189,1
394,2144,1
395,2143,1
396,5782,1
397,7907,1
398,4367,1
399,2138,1
400,109,1
401,7901,1
402,5889,1
403,7898,1
404,5796,1
405,5885,1
406,298,1
407,6161,1
408,2162,1
409,3890,1
410,2191,1
411,5982,1
412,5928,1
413,4421,1
414,6181,1
415,3866,1
416,3867,1
417,4197,1
418,1969,1
419,2176,1
420,3870,1
421,58,1
422,60,1
423,2263,1
424,5754,1
425,66,1
426,6172,1
427,2429,1
428,1979,1
429,6170,1
430,6002,1
431,7937,1
432,2165,1
433,73,1
434,74,1
435,2295,1
436,6122,1
437,2031,1
438,5865,1
439,4275,1
440,2070,1
441,4313,1
442,202,1
443,201,1
444,200,1
445,6084,1
446,2100,1
447,2077,1
448,4303,1
449,2468,1
450,2339,1
451,7851,1
452,5856,1
453,7849,1
454,3993,1
455,2082,1
456,169,1
457,2083,1
458,4287,1
459,5853,1
460,2334,1
461,7837,1
462,180,1
463,7842,1
464,154,1
465,6052,1
466,4246,1
467,2067,1
468,2127,1
469,5805,1
470,4252,1
471,125,1
472,7780,1
473,126,1
474,4256,1
475,4258,1
476,133,1
477,7879,1
478,4037,1
479,4260,1
480,236,1
481,2365,1
482,4263,1
483,5819,1
484,4029,1
485,3962,1
486,5870,1
487,224,1
488,2057,1
489,2061,1
490,3970,1
491,7866,1
492,214,1
493,2244,1
494,90,1
495,176,1
496,36,1
497,5958,1
498,5977,1
499,8,1
500,5947,1
501,3831,1
502,2227,1
503,4125,1
504,1938,1
505,7682,1
506,2199,1
507,4449,1
508,7663,1
509,364,1
510,5938,1
511,2228,1
512,7664,1
513,7665,1
514,26,1
515,7977,1
516,4171,1
517,23,1
518,3846,1
519,1940,1
520,3844,1
521,1948,1
522,7668,1
523,4168,1
524,6206,1
525,7986,1
526,2215,1
527,7671,1
528,4119,1
529,5720,1
530,5405,0
531,5352,0
532,5195,0
533,5175,0
534,5874,0
535,5355,0
536,5354,0
537,5353,0
538,5351,0
539,5951,0
540,5875,0
541,5349,0
542,5174,0
543,5348,0
