,F,N
0,6,667
1,1,34808
2,2,8105
3,5,958
4,3,3221
5,7,449
6,4,1724
7,8,358
8,13,123
9,9,245
10,31,15
11,11,161
12,17,63
13,12,120
14,10,198
15,14,101
16,20,35
17,455,2
18,16,69
19,26,38
20,42,7
21,129,3
22,52,11
23,172,1
24,154,2
25,344,1
26,29,17
27,340,1
28,18,65
29,78,6
30,678,1
31,386,1
32,27,30
33,333,1
34,545,1
35,76,6
36,49,9
37,109,3
38,82,4
39,89,2
40,48,7
41,34,12
42,28,30
43,21,34
44,134,1
45,469,1
46,108,2
47,164,1
48,223,1
49,156,2
50,94,3
51,35,9
52,30,13
53,79,5
54,55,4
55,70,3
56,23,44
57,234,1
58,92,2
59,25,29
60,39,10
61,15,82
62,63,8
63,193,2
64,60,7
65,22,39
66,293,1
67,150,1
68,91,4
69,62,3
70,1305,1
71,77,6
72,32,16
73,73,3
74,56,6
75,40,11
76,38,11
77,36,12
78,131,1
79,216,1
80,64,6
81,41,11
82,155,1
83,93,5
84,110,2
85,90,3
86,236,2
87,71,2
88,47,3
89,51,8
90,1035,1
91,196,2
92,44,5
93,45,7
94,19,32
95,58,9
96,106,2
97,157,1
98,53,4
99,57,7
100,85,2
101,81,1
102,46,7
103,33,17
104,24,28
105,142,2
106,43,7
107,68,3
108,290,1
109,61,6
110,59,3
111,67,2
112,99,2
113,80,1
114,72,4
115,69,3
116,96,2
117,50,2
118,133,1
119,114,3
120,119,2
121,310,1
122,54,1
123,128,1
124,374,1
125,66,2
126,209,1
127,102,2
128,645,1
129,328,1
130,1066,1
131,439,1
132,117,3
133,453,1
134,101,1
135,141,1
136,324,1
137,254,1
138,301,1
139,146,2
140,319,1
141,181,2
142,786,1
143,186,1
144,406,1
145,873,1
146,464,1
147,244,1
148,103,1
149,126,1
150,88,2
151,509,1
152,37,9
153,75,2
154,385,1
155,122,1
156,195,1
157,113,1
158,165,1
159,97,2
160,277,1
161,87,2
162,289,1
163,144,1
164,219,1
165,65,2
166,285,2
167,440,1
168,354,1
169,83,3
170,127,1
171,363,1
172,504,1
173,180,1
174,218,1
175,121,1
176,225,1
177,203,1
178,130,2
179,300,1
180,152,1
181,112,1
182,243,1
183,120,1
184,74,1
