,T,N
0,30,31
1,29,4
2,28,4
3,27,9
4,26,4
5,25,8
6,24,4
7,23,6
8,22,4
9,21,5
10,20,2
11,19,4
12,18,13
13,17,7
14,16,6
15,15,14
16,14,12
17,13,12
18,12,16
19,11,17
20,10,20
21,9,38
22,8,42
23,7,52
24,6,71
25,5,121
26,4,155
27,3,328
28,2,867
29,1,4050
