,F,N
0,208,1
1,199,1
2,173,1
3,165,1
4,160,1
5,157,1
6,156,1
7,140,1
8,117,1
9,111,1
10,109,1
11,106,1
12,104,1
13,102,1
14,100,1
15,99,1
16,97,1
17,93,1
18,91,1
19,88,1
20,85,1
21,84,1
22,82,1
23,79,1
24,77,1
25,75,1
26,72,1
27,68,1
28,67,1
29,65,3
30,64,1
31,63,3
32,62,3
33,60,1
34,59,2
35,58,1
36,56,1
37,55,1
38,54,1
39,51,2
40,50,2
41,49,1
42,47,3
43,46,2
44,45,1
45,44,1
46,43,1
47,42,5
48,41,3
49,40,1
50,38,3
51,37,1
52,36,2
53,35,4
54,34,2
55,32,3
56,31,5
57,30,5
58,29,8
59,28,7
60,27,5
61,26,8
62,25,6
63,24,5
64,23,7
65,22,7
66,21,8
67,20,4
68,19,8
69,18,11
70,17,10
71,16,15
72,15,21
73,14,21
74,13,27
75,12,27
76,11,27
77,10,40
78,9,37
79,8,58
80,7,80
81,6,115
82,5,155
83,4,238
84,3,441
85,2,987
86,1,3988
