,F,N
0,758,1
1,581,1
2,562,1
3,483,1
4,472,1
5,417,1
6,346,1
7,335,1
8,327,1
9,299,1
10,284,1
11,252,1
12,247,1
13,218,1
14,208,1
15,207,1
16,205,1
17,197,1
18,192,1
19,191,1
20,186,1
21,183,1
22,182,1
23,180,1
24,174,1
25,169,2
26,163,2
27,156,2
28,154,1
29,153,1
30,152,1
31,148,1
32,147,2
33,143,1
34,142,1
35,139,2
36,135,1
37,130,2
38,129,1
39,125,1
40,123,2
41,122,1
42,119,1
43,118,1
44,116,2
45,113,2
46,111,1
47,110,2
48,109,1
49,108,1
50,107,1
51,105,3
52,104,1
53,99,1
54,96,2
55,95,2
56,89,1
57,88,1
58,87,2
59,86,2
60,85,2
61,84,1
62,82,1
63,81,5
64,80,1
65,79,7
66,78,1
67,77,1
68,76,1
69,75,1
70,74,1
71,73,2
72,72,3
73,71,3
74,70,3
75,69,3
76,68,5
77,67,1
78,66,1
79,65,2
80,64,1
81,63,5
82,62,2
83,61,6
84,60,5
85,59,6
86,57,2
87,56,5
88,55,3
89,54,4
90,53,5
91,52,8
92,51,4
93,50,2
94,49,2
95,48,5
96,47,7
97,46,7
98,45,6
99,44,6
100,43,4
101,42,9
102,41,6
103,40,12
104,39,4
105,38,6
106,37,6
107,36,6
108,35,10
109,34,9
110,33,8
111,32,24
112,31,11
113,30,6
114,29,23
115,28,21
116,27,25
117,26,14
118,25,12
119,24,14
120,23,28
121,22,25
122,21,33
123,20,27
124,19,43
125,18,42
126,17,39
127,16,66
128,15,64
129,14,86
130,13,85
131,12,96
132,11,107
133,10,141
134,9,191
135,8,287
136,7,301
137,6,450
138,5,670
139,4,1072
140,3,1948
141,2,4561
142,1,19846
