,F,P
0,7.958692385189404,-7.313220387090301
1,7.612826921730179,-6.620073206530356
2,7.523099366521938,-6.214608098422191
3,7.148539014447123,-5.926926025970411
4,6.6866695775469855,-5.703782474656201
5,6.6540733953438975,-5.521460917862246
6,6.336689798758105,-5.367310238034988
7,6.275678957531395,-5.233778845410465
8,6.198921813543386,-5.115995809754082
9,6.016741017611491,-5.0106352940962555
10,5.9271780022654355,-4.915325114291931
11,5.859268554507379,-4.8283137373023015
12,5.666547417118027,-4.748271029628765
13,5.385623720506962,-4.674163057475043
14,5.231720205117219,-4.605170185988091
15,5.216251034108017,-4.54063166485052
16,5.170798399489881,-4.480007043034085
17,5.1110607336574665,-4.422848629194137
18,5.107048490817866,-4.368781407923861
19,5.106672033166337,-4.31748811353631
20,5.033747655840717,-4.268697949366879
21,5.02879936018537,-4.222177933731985
22,4.954733702361936,-4.177726171161152
23,4.922856739049446,-4.135166556742356
24,4.90135271721118,-4.0943445622221
25,4.8913629293897944,-4.05512384906882
26,4.890865649520657,-4.017383521085972
27,4.867584783592772,-3.9810158769150976
28,4.799598072069976,-3.9459245571038273
29,4.794928069018166,-3.912023005428146
30,4.740132220614411,-3.879233182605155
31,4.689829098076762,-3.847484484290575
32,4.674121492983816,-3.816712825623821
33,4.669241070143179,-3.78685986247414
34,4.644915127075655,-3.757872325600888
35,4.6007165593944706,-3.7297014486341915
36,4.598732696805772,-3.702302474446077
37,4.574389464383061,-3.6756342273639158
38,4.487863351682844,-3.649658740960655
39,4.4623484993577565,-3.624340932976365
40,4.420022693124713,-3.5996483203859935
41,4.387532354809512,-3.575550768806933
42,4.38445531849858,-3.552020271396739
43,4.3731659674245895,-3.5290307531720404
44,4.348354896481423,-3.506557897319982
45,4.309846496357853,-3.4845789906012063
46,4.275370028914239,-3.463072785380243
47,4.273716560778041,-3.4420193761824103
48,4.266967091749177,-3.421400088979675
49,4.252202729498869,-3.4011973816621555
50,4.236612808587797,-3.3813947543659757
51,4.222221515399948,-3.3619766685088743
52,4.213451106613604,-3.3429284735381795
53,4.197731885416351,-3.3242363405260273
54,4.187325480506015,-3.3058872018578307
55,4.131953787375656,-3.287868696355152
56,4.11699473698334,-3.270169119255751
57,4.0539572553584415,-3.252777376543882
58,4.041372477525767,-3.235682943184582
59,4.0039962495119585,-3.2188758248682006
60,3.98037817157901,-3.20234652291699
61,3.9727145085511224,-3.1860860020452098
62,3.937950999916513,-3.170085660698769
63,3.93205500825921,-3.1543373037306295
64,3.925589561320259,-3.138833117194664
65,3.8703399489016443,-3.123565645063876
66,3.8684481492623197,-3.1085277676993353
67,3.8531856452136415,-3.0937126819141945
68,3.852847159873949,-3.079113882493042
69,3.8489145608084403,-3.0647251450409425
70,3.833145770364944,-3.050540510048986
71,3.806954667001665,-3.036554268074246
72,3.806696781933654,-3.0227609459419105
73,3.787590698960346,-3.0091552938861317
74,3.7804036469878954,-2.995732273553991
75,3.7658627940525666,-2.9824870468039704
76,3.7503139995014765,-2.9694149652366177
77,3.7496855437370815,-2.9565115604007097
78,3.69983912882951,-2.94377253462328
79,3.6749987950760508,-2.9311937524164198
80,3.656131208946212,-2.9187712324178627
81,3.6523516775667644,-2.906501139826048
82,3.624535036095889,-2.8943797792937036
83,3.618936265477604,-2.8824035882469876
84,3.609066360662704,-2.870569130599985
85,3.5916078287887183,-2.8588730908367936
86,3.5661681761994473,-2.8473122684357177
87,3.5591473038863803,-2.835883572612095
88,3.5591314082527754,-2.824584017358162
89,3.5416531142793706,-2.8134107167600364
90,3.5393015337796343,-2.8023608805734512
91,3.5388252078429963,-2.7914318100412614
92,3.532052063354098,-2.7806208939370456
93,3.512408019685113,-2.7699256048202976
94,3.5047732075290763,-2.7593434954897607
95,3.4841465023542777,-2.7488721956224653
96,3.4609238231767496,-2.7385094085869186
97,3.453856938019084,-2.7282529084197296
98,3.445184562863671,-2.7181005369557116
99,3.4358386876112355,-2.70805020110221
100,3.4067051653789626,-2.698099870249042
101,3.402359326280472,-2.6882475738060303
102,3.4020979978069654,-2.6784913988606656
103,3.397144071767186,-2.668829487948929
104,3.3805551776256024,-2.659260036932778
105,3.3714738038862495,-2.649781292978234
106,3.342370094406984,-2.640391552628395
107,3.3274181346731058,-2.631089159966082
108,3.327393227467239,-2.6218725048611575
109,3.320172692306004,-2.6127400212978853
110,3.3187025927531457,-2.6036901857779675
111,3.307638182160261,-2.594721515795207
112,3.2935078088865204,-2.585832568377961
113,3.2893524615493366,-2.577021938695806
114,3.2707909389756424,-2.5682882587270512
115,3.26462137181024,-2.559630195983937
116,3.260327089455463,-2.551046452292545
117,3.256085511345016,-2.5425357626246368
